FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區寶業里23鄰文衡路505號,64,6400500,6400500-025,23鄰,文衡路,,,,,,505號,120.345993367824,22.6417478345642
高雄市鳳山區文山里7鄰文衡路149號,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號十樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號十樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號四樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號四樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號五樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號五樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號六樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號六樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號七樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號七樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號八樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號八樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號九樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號九樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號十一樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號十一樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路149號十二樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,149號十二樓,120.356168054827,22.6386786470529
高雄市鳳山區文山里7鄰文衡路151號,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號十樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號十樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號四樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號四樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號五樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號五樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號六樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號六樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號七樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號七樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號八樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號八樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號九樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號九樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號十一樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號十一樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路151號十二樓,64,6401200,6401200-048,7鄰,文衡路,,,,,,151號十二樓,120.356182591935,22.6387324383368
高雄市鳳山區文山里7鄰文衡路153號,64,6401200,6401200-048,7鄰,文衡路,,,,,,153號,120.356197646202,22.6387796392539
高雄市鳳山區文山里7鄰文衡路155號,64,6401200,6401200-048,7鄰,文衡路,,,,,,155號,120.356209031796,22.638820774843
高雄市鳳山區文山里7鄰文衡路157號,64,6401200,6401200-048,7鄰,文衡路,,,,,,157號,120.356221487546,22.6388619147277
高雄市鳳山區文山里7鄰文衡路159號,64,6401200,6401200-048,7鄰,文衡路,,,,,,159號,120.356232877782,22.6389020569519
高雄市鳳山區文山里7鄰文衡路161號,64,6401200,6401200-048,7鄰,文衡路,,,,,,161號,120.356245333545,22.6389431968347
高雄市鳳山區文山里7鄰文衡路163號,64,6401200,6401200-048,7鄰,文衡路,,,,,,163號,120.356257881973,22.63898533047
高雄市鳳山區文山里7鄰文衡路165號,64,6401200,6401200-048,7鄰,文衡路,,,,,,165號,120.356272348787,22.639033341788
高雄市鳳山區文山里7鄰文衡路167號,64,6401200,6401200-048,7鄰,文衡路,,,,,,167號,120.356282779651,22.6390705903196
高雄市鳳山區文山里7鄰文衡路169號,64,6401200,6401200-048,7鄰,文衡路,,,,,,169號,120.356295258584,22.6391067633831
高雄市鳳山區文山里11鄰文衡路175巷6號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷6號三樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號三樓,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷6號四樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號四樓,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷6號五樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號五樓,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷6號六樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號六樓,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷6號七樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,6號七樓,120.35590173141,22.6393772793515
高雄市鳳山區文山里11鄰文衡路175巷8號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷8號三樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號三樓,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷8號四樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號四樓,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷8號五樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號五樓,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷8號六樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號六樓,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷8號七樓,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,8號七樓,120.35582675675,22.639390704894
高雄市鳳山區文山里11鄰文衡路175巷9號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,9號,120.355901547319,22.6392268625874
高雄市鳳山區文山里11鄰文衡路175巷10號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,10號,120.355759537211,22.6394101218487
高雄市鳳山區文山里11鄰文衡路175巷11號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,11號,120.355833545944,22.6392366225725
高雄市鳳山區文山里11鄰文衡路175巷12號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,12號,120.355722925868,22.6394167478031
高雄市鳳山區文山里11鄰文衡路175巷13號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,13號,120.355765551213,22.6392449556981
高雄市鳳山區文山里11鄰文衡路175巷15號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,15號,120.35569752308,22.6392604500381
高雄市鳳山區文山里11鄰文衡路175巷16號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,16號,120.355633791795,22.6394518714152
高雄市鳳山區文山里11鄰文衡路175巷17號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,17號,120.355624897494,22.6392687644961
高雄市鳳山區文山里11鄰文衡路175巷18號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,18號,120.355501003181,22.6394872439614
高雄市鳳山區文山里11鄰文衡路175巷19號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,19號,120.355586224338,22.6392815049766
高雄市鳳山區文山里11鄰文衡路175巷21號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,21號,120.355549144786,22.6392842277302
高雄市鳳山區文山里11鄰文衡路175巷23號,64,6401200,6401200-048,11鄰,文衡路,,175巷,,,,23號,120.35549728747,22.6393098201285
高雄市鳳山區文山里7鄰文衡路179號,64,6401200,6401200-048,7鄰,文衡路,,,,,,179號,120.356386429864,22.6393547522979
高雄市鳳山區文山里7鄰文衡路181號,64,6401200,6401200-048,7鄰,文衡路,,,,,,181號,120.35639646827,22.6393927217057
高雄市鳳山區文山里7鄰文衡路183號,64,6401200,6401200-048,7鄰,文衡路,,,,,,183號,120.356406410656,22.6394304198051
高雄市鳳山區文山里7鄰文衡路185號,64,6401200,6401200-048,7鄰,文衡路,,,,,,185號,120.356414228726,22.6394646776957
高雄市鳳山區文山里7鄰文衡路187號,64,6401200,6401200-048,7鄰,文衡路,,,,,,187號,120.356424975916,22.6394966896568
高雄市鳳山區文山里7鄰文衡路189號,64,6401200,6401200-048,7鄰,文衡路,,,,,,189號,120.356426881495,22.6395470888431
高雄市鳳山區文山里7鄰文衡路191號,64,6401200,6401200-048,7鄰,文衡路,,,,,,191號,120.356238354687,22.6396684276721
高雄市鳳山區文山里7鄰文衡路193號,64,6401200,6401200-048,7鄰,文衡路,,,,,,193號,120.35613547051,22.639720934717
高雄市鳳山區文山里11鄰文衡路207號,64,6401200,6401200-048,11鄰,文衡路,,,,,,207號,120.355994930445,22.6398162767839
高雄市鳳山區文山里11鄰文衡路207之1號,64,6401200,6401200-048,11鄰,文衡路,,,,,,207之1號,120.356029867949,22.6397889004356
高雄市鳳山區文山里11鄰文衡路209號,64,6401200,6401200-048,11鄰,文衡路,,,,,,209號,120.355947387931,22.6398303543979
