FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市林園區仁愛里3鄰文賢北路2號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,2號,120.392036901487,22.5036376660931
高雄市林園區仁愛里3鄰文賢北路4號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,4號,120.39202478991,22.5036824228594
高雄市林園區仁愛里3鄰文賢北路6號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,6號,120.392007589597,22.5037239905615
高雄市林園區仁愛里3鄰文賢北路8號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,8號,120.391991524091,22.5037660953694
高雄市林園區仁愛里3鄰文賢北路10號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,10號,120.391978240529,22.5038099175215
高雄市林園區仁愛里3鄰文賢北路12號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,12號,120.391966150164,22.5038520373287
高雄市林園區仁愛里3鄰文賢北路14號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,14號,120.391950403268,22.5038812832817
高雄市林園區仁愛里3鄰文賢北路16號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,16號,120.391933727937,22.5039339248823
高雄市林園區仁愛里3鄰文賢北路17號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,17號,120.391605408948,22.5040135031707
高雄市林園區仁愛里3鄰文賢北路18號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,18號,120.391850626292,22.504096402839
高雄市林園區仁愛里3鄰文賢北路19號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,19號,120.391590611572,22.5040634064201
高雄市林園區仁愛里3鄰文賢北路20號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,20號,120.391804373362,22.5041893732936
高雄市林園區仁愛里3鄰文賢北路21號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,21號,120.391574933918,22.5041056842342
高雄市林園區仁愛里3鄰文賢北路22號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,22號,120.391785617908,22.504246477335
高雄市林園區仁愛里3鄰文賢北路23號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,23號,120.391560160104,22.5041479744908
高雄市林園區仁愛里3鄰文賢北路24號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,24號,120.391762654298,22.5042923851882
高雄市林園區仁愛里3鄰文賢北路25號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,25號,120.391547224639,22.5041877249653
高雄市林園區仁愛里3鄰文賢北路26號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,26號,120.391747736081,22.5043388110847
高雄市林園區仁愛里3鄰文賢北路27號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,27號,120.391533366747,22.5042317074629
高雄市林園區仁愛里3鄰文賢北路29號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,29號,120.391517676496,22.5043723862847
高雄市林園區仁愛里3鄰文賢北路51號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,51號,120.391209437668,22.5050623410473
高雄市林園區仁愛里3鄰文賢北路53號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,53號,120.391189748971,22.5051105189177
高雄市林園區仁愛里3鄰文賢北路55號,64,6401300,6401300-020,3鄰,文賢北路,,,,,,55號,120.391179506835,22.5051433257145
高雄市林園區仁愛里18鄰文賢北路57號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,57號,120.391163701898,22.5051879781327
高雄市林園區仁愛里18鄰文賢北路59號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,59號,120.391153050403,22.5052454649202
高雄市林園區仁愛里18鄰文賢北路61號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,61號,120.391138006293,22.5052850538572
高雄市林園區仁愛里18鄰文賢北路63號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,63號,120.391099381648,22.5053604064682
高雄市林園區仁愛里18鄰文賢北路65號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,65號,120.391024267501,22.5053564198527
高雄市林園區仁愛里18鄰文賢北路66號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,66號,120.391510299236,22.5051433202266
高雄市林園區仁愛里18鄰文賢北路67號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,67號,120.390981404501,22.5053564384326
高雄市林園區仁愛里18鄰文賢北路68號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,68號,120.391493116595,22.5051829914309
高雄市林園區仁愛里18鄰文賢北路69號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,69號,120.390944842055,22.505360364123
高雄市林園區仁愛里18鄰文賢北路70號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,70號,120.391475960022,22.5052167023153
高雄市林園區仁愛里18鄰文賢北路71號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,71號,120.390904126007,22.5053584039942
高雄市林園區仁愛里18鄰文賢北路72號,64,6401300,6401300-020,18鄰,文賢北路,,,,,,72號,120.391467356834,22.5052503551989
