FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市三民區鼎泰里56鄰明賢街2號十樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號十樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號五樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號五樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號六樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號六樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號七樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號七樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號八樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號八樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號九樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號九樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號十一樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號十一樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號十二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號十二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號十三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號十三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2號十四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2號十四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號十樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號十樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號五樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號五樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號六樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號六樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號七樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號七樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號八樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號八樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號九樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號九樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號十一樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號十一樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號十二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號十二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號十三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號十三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之1號十四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之1號十四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號十樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號十樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號五樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號五樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號六樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號六樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號七樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號七樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號八樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號八樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號九樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號九樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號十一樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號十一樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號十二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號十二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號十三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號十三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之2號十四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之2號十四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號十樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號十樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號五樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號五樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號六樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號六樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號七樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號七樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號八樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號八樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號九樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號九樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號十一樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號十一樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號十二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號十二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號十三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號十三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街2之3號十四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,2之3號十四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號十樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號十樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號五樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號五樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號六樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號六樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號七樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號七樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號八樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號八樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號九樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號九樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號十一樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號十一樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號十二樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號十二樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號十三樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號十三樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里56鄰明賢街6號十四樓,64,6400500,6400500-007,56鄰,明賢街,,,,,,6號十四樓,120.313783121875,22.6608475530283
高雄市三民區鼎泰里68鄰明賢街29號,64,6400500,6400500-007,68鄰,明賢街,,,,,,29號,120.31339502808,22.6604820089336
高雄市三民區鼎泰里68鄰明賢街31號,64,6400500,6400500-007,68鄰,明賢街,,,,,,31號,120.313219607655,22.66053544111
高雄市三民區鼎泰里39鄰明賢街32號,64,6400500,6400500-007,39鄰,明賢街,,,,,,32號,120.313288460632,22.6607795731254
高雄市三民區鼎泰里68鄰明賢街33號,64,6400500,6400500-007,68鄰,明賢街,,,,,,33號,120.313052016101,22.6605798759941
高雄市三民區鼎泰里39鄰明賢街34號,64,6400500,6400500-007,39鄰,明賢街,,,,,,34號,120.31297366509,22.6608775609271
高雄市三民區鼎泰里39鄰明賢街36號,64,6400500,6400500-007,39鄰,明賢街,,,,,,36號,120.312663814337,22.6609575170208
高雄市三民區鼎泰里39鄰明賢街36之1號,64,6400500,6400500-007,39鄰,明賢街,,,,,,36之1號,120.312588934885,22.6610112262314
高雄市三民區鼎泰里40鄰明賢街38號,64,6400500,6400500-007,40鄰,明賢街,,,,,,38號,120.312353437086,22.6617328401075
高雄市三民區鼎泰里40鄰明賢街40號,64,6400500,6400500-007,40鄰,明賢街,,,,,,40號,120.312377357503,22.6618142187055
高雄市三民區鼎泰里40鄰明賢街42號,64,6400500,6400500-007,40鄰,明賢街,,,,,,42號,120.312395494532,22.6618865508509
高雄市三民區鼎泰里40鄰明賢街42之1號,64,6400500,6400500-007,40鄰,明賢街,,,,,,42之1號,120.312418441982,22.6619679252667
高雄市三民區鼎泰里40鄰明賢街46號,64,6400500,6400500-007,40鄰,明賢街,,,,,,46號,120.312438515399,22.662040256686
高雄市三民區鼎泰里68鄰明賢街53號十樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號二樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號二樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號三樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號三樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號四樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號四樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號五樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號五樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號六樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號六樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號七樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號七樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號八樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號八樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號九樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號九樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十一樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十一樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十二樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十二樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十三樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十三樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十四樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十四樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十五樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十五樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十六樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十六樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十七樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十七樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十八樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十八樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號十九樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號十九樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號二十樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號二十樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號二十一樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號二十一樓,120.312881315871,22.6606525994629
高雄市三民區鼎泰里68鄰明賢街53號二十二樓,64,6400500,6400500-007,68鄰,明賢街,,,,,,53號二十二樓,120.312881315871,22.6606525994629
