FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區明正里17鄰明道中街1號,64,6400900,6400900-003,17鄰,明道中街,,,,,,1號,120.326174895183,22.5822503443534
高雄市前鎮區明正里17鄰明道中街2號,64,6400900,6400900-003,17鄰,明道中街,,,,,,2號,120.326027513477,22.5823988241088
高雄市前鎮區明正里17鄰明道中街2之1號,64,6400900,6400900-003,17鄰,明道中街,,,,,,2之1號,120.326004519612,22.5823657563225
高雄市前鎮區明正里17鄰明道中街3號,64,6400900,6400900-003,17鄰,明道中街,,,,,,3號,120.326150355098,22.5822172701022
高雄市前鎮區明正里17鄰明道中街5號,64,6400900,6400900-003,17鄰,明道中街,,,,,,5號,120.326113443903,22.5821884426031
高雄市前鎮區明正里17鄰明道中街6號,64,6400900,6400900-003,17鄰,明道中街,,,,,,6號,120.325967566541,22.5823455349344
高雄市前鎮區明正里17鄰明道中街7號,64,6400900,6400900-003,17鄰,明道中街,,,,,,7號,120.326078855457,22.5821559222247
高雄市前鎮區明正里17鄰明道中街8號,64,6400900,6400900-003,17鄰,明道中街,,,,,,8號,120.325936788638,22.5823253304155
高雄市前鎮區明正里17鄰明道中街9號,64,6400900,6400900-003,17鄰,明道中街,,,,,,9號,120.326058521701,22.5821377753988
高雄市前鎮區明正里17鄰明道中街10號,64,6400900,6400900-003,17鄰,明道中街,,,,,,10號,120.325895213671,22.5823036537281
高雄市前鎮區明正里17鄰明道中街11號,64,6400900,6400900-003,17鄰,明道中街,,,,,,11號,120.326025589933,22.5821105449568
高雄市前鎮區明正里17鄰明道中街12號,64,6400900,6400900-003,17鄰,明道中街,,,,,,12號,120.325870638801,22.5822777406869
高雄市前鎮區明正里17鄰明道中街13號,64,6400900,6400900-003,17鄰,明道中街,,,,,,13號,120.326004283733,22.5820923940448
高雄市前鎮區明正里17鄰明道中街14號,64,6400900,6400900-003,17鄰,明道中街,,,,,,14號,120.325833671844,22.5822603819632
高雄市前鎮區明正里17鄰明道中街15號,64,6400900,6400900-003,17鄰,明道中街,,,,,,15號,120.325963484466,22.5820831921178
高雄市前鎮區明正里17鄰明道中街16號,64,6400900,6400900-003,17鄰,明道中街,,,,,,16號,120.325802900923,22.5822387505875
高雄市前鎮區明正里17鄰明道中街17號,64,6400900,6400900-003,17鄰,明道中街,,,,,,17號,120.325942168554,22.5820650411571
高雄市前鎮區明正里17鄰明道中街18號,64,6400900,6400900-003,17鄰,明道中街,,,,,,18號,120.325773645577,22.5822214242106
高雄市前鎮區明正里17鄰明道中街19號,64,6400900,6400900-003,17鄰,明道中街,,,,,,19號,120.325901007395,22.5820642634009
高雄市前鎮區明正里17鄰明道中街20號,64,6400900,6400900-003,17鄰,明道中街,,,,,,20號,120.325744420882,22.5821997993127
高雄市前鎮區明正里17鄰明道中街21號,64,6400900,6400900-003,17鄰,明道中街,,,,,,21號,120.325882642552,22.5820312059886
高雄市前鎮區明正里17鄰明道中街22號,64,6400900,6400900-003,17鄰,明道中街,,,,,,22號,120.32571675638,22.582175309174
高雄市前鎮區明正里17鄰明道中街23號,64,6400900,6400900-003,17鄰,明道中街,,,,,,23號,120.325851864686,22.5820110104852
高雄市前鎮區明正里17鄰明道中街24號,64,6400900,6400900-003,17鄰,明道中街,,,,,,24號,120.325693704072,22.58215227428
高雄市前鎮區明正里17鄰明道中街25號,64,6400900,6400900-003,17鄰,明道中街,,,,,,25號,120.325824162574,22.5819922547435
高雄市前鎮區明正里17鄰明道中街26號,64,6400900,6400900-003,17鄰,明道中街,,,,,,26號,120.325661382782,22.5821334991236
高雄市前鎮區明正里17鄰明道中街27號,64,6400900,6400900-003,17鄰,明道中街,,,,,,27號,120.325788741904,22.581974902499
高雄市前鎮區明正里17鄰明道中街28號,64,6400900,6400900-003,17鄰,明道中街,,,,,,28號,120.32563214141,22.5821133100275
高雄市前鎮區明正里17鄰明道中街29號,64,6400900,6400900-003,17鄰,明道中街,,,,,,29號,120.325774495065,22.581946937646
高雄市前鎮區明正里17鄰明道中街30號,64,6400900,6400900-003,17鄰,明道中街,,,,,,30號,120.325596727723,22.5820945218783
高雄市前鎮區明正里17鄰明道中街31號,64,6400900,6400900-003,17鄰,明道中街,,,,,,31號,120.325729754565,22.5819403019204
高雄市前鎮區明正里17鄰明道中街32號,64,6400900,6400900-003,17鄰,明道中街,,,,,,32號,120.325564396735,22.5820757466621
高雄市前鎮區明正里17鄰明道中街33號,64,6400900,6400900-003,17鄰,明道中街,,,,,,33號,120.325695898353,22.5819172126543
高雄市前鎮區明正里17鄰明道中街35號,64,6400900,6400900-003,17鄰,明道中街,,,,,,35號,120.32566203512,22.5818955682743
高雄市前鎮區明正里17鄰明道中街37號,64,6400900,6400900-003,17鄰,明道中街,,,,,,37號,120.325631271295,22.5818725010049
高雄市前鎮區明正里17鄰明道中街51號,64,6400900,6400900-003,17鄰,明道中街,,,,,,51號,120.32557290808,22.5818015993105
高雄市前鎮區明正里17鄰明道中街53號,64,6400900,6400900-003,17鄰,明道中街,,,,,,53號,120.325535114215,22.5817743483606
