FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市苓雅區廣澤里12鄰永樂街180號,64,6400800,6400800-015,12鄰,永樂街,,,,,,180號,120.306284658082,22.6155005687509
高雄市苓雅區廣澤里11鄰永樂街181號,64,6400800,6400800-015,11鄰,永樂街,,,,,,181號,120.306359415135,22.6153561568165
高雄市苓雅區廣澤里12鄰永樂街182號,64,6400800,6400800-015,12鄰,永樂街,,,,,,182號,120.306249188413,22.6154918091586
高雄市苓雅區廣澤里11鄰永樂街183號,64,6400800,6400800-015,11鄰,永樂街,,,,,,183號,120.306313928881,22.6153430643599
高雄市苓雅區廣澤里12鄰永樂街184號,64,6400800,6400800-015,12鄰,永樂街,,,,,,184號,120.306212186533,22.6154801802016
高雄市苓雅區廣澤里11鄰永樂街185號,64,6400800,6400800-015,11鄰,永樂街,,,,,,185號,120.306275366106,22.6153342914037
高雄市苓雅區廣澤里12鄰永樂街186號,64,6400800,6400800-015,12鄰,永樂街,,,,,,186號,120.306181339664,22.6154728764617
高雄市苓雅區廣澤里11鄰永樂街187號,64,6400800,6400800-015,11鄰,永樂街,,,,,,187號,120.306226862228,22.615306131696
高雄市苓雅區廣澤里11鄰永樂街187號二樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,187號二樓,120.306226862228,22.615306131696
高雄市苓雅區廣澤里11鄰永樂街187號三樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,187號三樓,120.306226862228,22.615306131696
高雄市苓雅區廣澤里11鄰永樂街187號四樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,187號四樓,120.306226862228,22.615306131696
高雄市苓雅區廣澤里11鄰永樂街187號五樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,187號五樓,120.306226862228,22.615306131696
高雄市苓雅區廣澤里12鄰永樂街188號,64,6400800,6400800-015,12鄰,永樂街,,,,,,188號,120.306145867439,22.6154626899847
高雄市苓雅區廣澤里11鄰永樂街189號,64,6400800,6400800-015,11鄰,永樂街,,,,,,189號,120.306159017197,22.615286476551
高雄市苓雅區廣澤里11鄰永樂街189號二樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,189號二樓,120.306159017197,22.615286476551
高雄市苓雅區廣澤里11鄰永樂街189號三樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,189號三樓,120.306159017197,22.615286476551
高雄市苓雅區廣澤里11鄰永樂街189號四樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,189號四樓,120.306159017197,22.615286476551
高雄市苓雅區廣澤里11鄰永樂街189號五樓,64,6400800,6400800-015,11鄰,永樂街,,,,,,189號五樓,120.306159017197,22.615286476551
