FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市小港區山明里23鄰泰興街1號,64,6401100,6401100-022,23鄰,泰興街,,,,,,1號,120.368146923991,22.5647304021336
高雄市小港區山明里23鄰泰興街1之1號,64,6401100,6401100-022,23鄰,泰興街,,,,,,1之1號,120.368146923991,22.5647304021336
高雄市小港區山明里23鄰泰興街1之2號,64,6401100,6401100-022,23鄰,泰興街,,,,,,1之2號,120.368146923991,22.5647304021336
高雄市小港區山明里23鄰泰興街1之3號,64,6401100,6401100-022,23鄰,泰興街,,,,,,1之3號,120.368146923991,22.5647304021336
高雄市小港區山明里23鄰泰興街1之4號,64,6401100,6401100-022,23鄰,泰興街,,,,,,1之4號,120.368146923991,22.5647304021336
高雄市小港區山明里18鄰泰興街2號,64,6401100,6401100-022,18鄰,泰興街,,,,,,2號,120.367837534633,22.5647781058728
高雄市小港區山明里23鄰泰興街3號,64,6401100,6401100-022,23鄰,泰興街,,,,,,3號,120.368145809247,22.5646933622806
高雄市小港區山明里23鄰泰興街3之1號,64,6401100,6401100-022,23鄰,泰興街,,,,,,3之1號,120.368145809247,22.5646933622806
高雄市小港區山明里23鄰泰興街3之2號,64,6401100,6401100-022,23鄰,泰興街,,,,,,3之2號,120.368145809247,22.5646933622806
高雄市小港區山明里23鄰泰興街3之3號,64,6401100,6401100-022,23鄰,泰興街,,,,,,3之3號,120.368145809247,22.5646933622806
高雄市小港區山明里23鄰泰興街3之4號,64,6401100,6401100-022,23鄰,泰興街,,,,,,3之4號,120.368145809247,22.5646933622806
高雄市小港區山明里23鄰泰興街5號,64,6401100,6401100-022,23鄰,泰興街,,,,,,5號,120.368144683599,22.564658715557
高雄市小港區山明里23鄰泰興街5之1號,64,6401100,6401100-022,23鄰,泰興街,,,,,,5之1號,120.368144683599,22.564658715557
高雄市小港區山明里23鄰泰興街5之2號,64,6401100,6401100-022,23鄰,泰興街,,,,,,5之2號,120.368144683599,22.564658715557
高雄市小港區山明里23鄰泰興街5之3號,64,6401100,6401100-022,23鄰,泰興街,,,,,,5之3號,120.368144683599,22.564658715557
高雄市小港區山明里23鄰泰興街5之4號,64,6401100,6401100-022,23鄰,泰興街,,,,,,5之4號,120.368144683599,22.564658715557
高雄市小港區山明里18鄰泰興街6號,64,6401100,6401100-022,18鄰,泰興街,,,,,,6號,120.367837963473,22.5646691053345
高雄市小港區山明里23鄰泰興街7號,64,6401100,6401100-022,23鄰,泰興街,,,,,,7號,120.368143531934,22.5646276449434
高雄市小港區山明里18鄰泰興街12巷1號,64,6401100,6401100-022,18鄰,泰興街,,12巷,,,,1號,120.367812543343,22.5644435956323
高雄市小港區山明里18鄰泰興街12巷3號,64,6401100,6401100-022,18鄰,泰興街,,12巷,,,,3號,120.367757604643,22.5644415553515
高雄市小港區山明里18鄰泰興街12巷5號,64,6401100,6401100-022,18鄰,泰興街,,12巷,,,,5號,120.36770261741,22.5644394967993
高雄市小港區山明里18鄰泰興街12巷7號,64,6401100,6401100-022,18鄰,泰興街,,12巷,,,,7號,120.367647630221,22.5644374291978
高雄市小港區山明里18鄰泰興街12巷9號,64,6401100,6401100-022,18鄰,泰興街,,12巷,,,,9號,120.367592642992,22.5644353706081
高雄市小港區山明里18鄰泰興街16號,64,6401100,6401100-022,18鄰,泰興街,,,,,,16號,120.367892557905,22.5644245842672
高雄市小港區山明里18鄰泰興街18號,64,6401100,6401100-022,18鄰,泰興街,,,,,,18號,120.367862918044,22.5643355139565
高雄市小港區山明里18鄰泰興街18之1號,64,6401100,6401100-022,18鄰,泰興街,,,,,,18之1號,120.367862918044,22.5643355139565
高雄市小港區山明里18鄰泰興街18之2號,64,6401100,6401100-022,18鄰,泰興街,,,,,,18之2號,120.367862918044,22.5643355139565
高雄市小港區山明里18鄰泰興街18之3號,64,6401100,6401100-022,18鄰,泰興街,,,,,,18之3號,120.367862918044,22.5643355139565
高雄市小港區山明里18鄰泰興街18之4號,64,6401100,6401100-022,18鄰,泰興街,,,,,,18之4號,120.367862918044,22.5643355139565
高雄市小港區山明里18鄰泰興街20號,64,6401100,6401100-022,18鄰,泰興街,,,,,,20號,120.367865209146,22.5642723251517
高雄市小港區山明里18鄰泰興街20之1號,64,6401100,6401100-022,18鄰,泰興街,,,,,,20之1號,120.367865209146,22.5642723251517
高雄市小港區山明里18鄰泰興街20之2號,64,6401100,6401100-022,18鄰,泰興街,,,,,,20之2號,120.367865209146,22.5642723251517
高雄市小港區山明里18鄰泰興街20之3號,64,6401100,6401100-022,18鄰,泰興街,,,,,,20之3號,120.367865209146,22.5642723251517
高雄市小港區山明里18鄰泰興街20之4號,64,6401100,6401100-022,18鄰,泰興街,,,,,,20之4號,120.367865209146,22.5642723251517
高雄市小港區山明里18鄰泰興街22號,64,6401100,6401100-022,18鄰,泰興街,,,,,,22號,120.367884902939,22.5642182175513
高雄市小港區山明里18鄰泰興街24號,64,6401100,6401100-022,18鄰,泰興街,,,,,,24號,120.367887012276,22.5641821024873
高雄市小港區山明里18鄰泰興街26號,64,6401100,6401100-022,18鄰,泰興街,,,,,,26號,120.367848611729,22.5641356503809
高雄市小港區山明里18鄰泰興街28號,64,6401100,6401100-022,18鄰,泰興街,,,,,,28號,120.367853088732,22.5640920761227
高雄市小港區山明里18鄰泰興街30號,64,6401100,6401100-022,18鄰,泰興街,,,,,,30號,120.367857813172,22.5640560797115
高雄市小港區山明里18鄰泰興街32號,64,6401100,6401100-022,18鄰,泰興街,,,,,,32號,120.367862547333,22.5640200833382
高雄市小港區山明里18鄰泰興街36號,64,6401100,6401100-022,18鄰,泰興街,,,,,,36號,120.367867271767,22.5639840869263
高雄市小港區山明里18鄰泰興街36之1號,64,6401100,6401100-022,18鄰,泰興街,,,,,,36之1號,120.367629292845,22.5646482361837
高雄市小港區山明里18鄰泰興街38號,64,6401100,6401100-022,18鄰,泰興街,,,,,,38號,120.367872070602,22.5639467000572
高雄市小港區山明里18鄰泰興街40號,64,6401100,6401100-022,18鄰,泰興街,,,,,,40號,120.367877286863,22.5639051967662
高雄市小港區山明里12鄰泰興街52號,64,6401100,6401100-022,12鄰,泰興街,,,,,,52號,120.367871638863,22.5638238337842
高雄市小港區山明里12鄰泰興街56號,64,6401100,6401100-022,12鄰,泰興街,,,,,,56號,120.367873174943,22.5637812232906
高雄市小港區山明里12鄰泰興街58號,64,6401100,6401100-022,12鄰,泰興街,,,,,,58號,120.367874545042,22.5637430282248
高雄市小港區山明里12鄰泰興街60號,64,6401100,6401100-022,12鄰,泰興街,,,,,,60號,120.367875847537,22.5637068648321
高雄市小港區山明里12鄰泰興街62號,64,6401100,6401100-022,12鄰,泰興街,,,,,,62號,120.367877256989,22.5636707018596
高雄市小港區山明里12鄰泰興街66號,64,6401100,6401100-022,12鄰,泰興街,,,,,,66號,120.367878734504,22.5636345391546
高雄市小港區山明里12鄰泰興街68號,64,6401100,6401100-022,12鄰,泰興街,,,,,,68號,120.36788004672,22.5635983757995
高雄市小港區山明里12鄰泰興街70號,64,6401100,6401100-022,12鄰,泰興街,,,,,,70號,120.367881643456,22.5635595223725
高雄市小港區山明里12鄰泰興街72之1號,64,6401100,6401100-022,12鄰,泰興街,,,,,,72之1號,120.367885877799,22.5634774486838
高雄市小港區山明里24鄰泰興街127號,64,6401100,6401100-022,24鄰,泰興街,,,,,,127號,120.368162394191,22.5642630537779
高雄市小港區山明里24鄰泰興街129號,64,6401100,6401100-022,24鄰,泰興街,,,,,,129號,120.368164451882,22.5642147829957
高雄市小港區山明里24鄰泰興街139號,64,6401100,6401100-022,24鄰,泰興街,,,,,,139號,120.368175535294,22.5639824811055
高雄市小港區山明里24鄰泰興街141號,64,6401100,6401100-022,24鄰,泰興街,,,,,,141號,120.368177263927,22.5639445403091
高雄市小港區山明里24鄰泰興街143號,64,6401100,6401100-022,24鄰,泰興街,,,,,,143號,120.368178981024,22.5639069968242
