FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市左營區尾北里10鄰洲仔東街35號,64,6400300,6400300-009,10鄰,洲仔東街,,,,,,35號,120.299552964889,22.683398161725
高雄市左營區尾北里10鄰洲仔東街85號,64,6400300,6400300-009,10鄰,洲仔東街,,,,,,85號,120.300322202341,22.6842990514038
高雄市左營區尾北里8鄰洲仔東街131號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,131號,120.300554966853,22.6845721610275
高雄市左營區尾北里8鄰洲仔東街133號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,133號,120.300572848684,22.6845962605956
高雄市左營區尾北里8鄰洲仔東街137號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,137號,120.300651351112,22.6847200611226
高雄市左營區尾北里8鄰洲仔東街139號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,139號,120.300690575869,22.6847555331517
高雄市左營區尾北里8鄰洲仔東街141號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,141號,120.300787433279,22.6849464300081
高雄市左營區尾北里8鄰洲仔東街145號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,145號,120.30065882688,22.6849729601215
高雄市左營區尾北里8鄰洲仔東街147號,64,6400300,6400300-009,8鄰,洲仔東街,,,,,,147號,120.300719265151,22.684955162887
高雄市左營區尾北里19鄰洲仔東街155號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,155號,120.3008559598,22.6850550786428
高雄市左營區尾北里19鄰洲仔東街157號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,157號,120.30087920775,22.6850822900834
高雄市左營區尾北里19鄰洲仔東街159號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,159號,120.300904336894,22.6851185222926
高雄市左營區尾北里19鄰洲仔東街161號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,161號,120.300925609405,22.685145707039
高雄市左營區尾北里19鄰洲仔東街163號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,163號,120.300944935569,22.6851728832839
高雄市左營區尾北里19鄰洲仔東街165號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,165號,120.300968154453,22.6852000765238
高雄市左營區尾北里19鄰洲仔東街167號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,167號,120.300990354329,22.68523630496
高雄市左營區尾北里19鄰洲仔東街169號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,169號,120.301012609785,22.685263493987
高雄市左營區尾北里19鄰洲仔東街171號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,171號,120.301031935983,22.6852906702218
高雄市左營區尾北里19鄰洲仔東街173號,64,6400300,6400300-009,19鄰,洲仔東街,,,,,,173號,120.301056082293,22.6853268981168
高雄市左營區尾北里26鄰洲仔東街177號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,177號,120.301141640189,22.6853453328668
高雄市左營區尾北里26鄰洲仔東街179號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,179號,120.301166805498,22.6853725345755
高雄市左營區尾北里26鄰洲仔東街181號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,181號,120.301192885743,22.6853997131823
高雄市左營區尾北里26鄰洲仔東街183號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,183號,120.301208377531,22.6854268997509
高雄市左營區尾北里26鄰洲仔東街185號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,185號,120.301234516047,22.6854541056973
高雄市左營區尾北里26鄰洲仔東街187號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,187號,120.301251905687,22.6854812734537
高雄市左營區尾北里26鄰洲仔東街189號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,189號,120.301272205142,22.6855084539083
高雄市左營區尾北里26鄰洲仔東街191號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,191號,120.301292504605,22.6855356343605
高雄市左營區尾北里26鄰洲仔東街193號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,193號,120.301315723617,22.685562827552
高雄市左營區尾北里26鄰洲仔東街195號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,195號,120.301336023097,22.6855900079989
高雄市左營區尾北里26鄰洲仔東街197號,64,6400300,6400300-009,26鄰,洲仔東街,,,,,,197號,120.301359174141,22.6856171737958
高雄市左營區尾北里18鄰洲仔東街201號二樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號二樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號三樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號四樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號四樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號五樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號五樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號六樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號六樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號七樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號七樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號八樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號八樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號九樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號九樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號十樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號十樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號十一樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號十一樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號十二樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號十二樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號十三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號十三樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街201號十四樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,201號十四樓,120.301373681435,22.6857694933303
高雄市左營區尾北里18鄰洲仔東街203號三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號三樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號四樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號四樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號五樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號五樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號六樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號六樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號七樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號七樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號八樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號八樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號九樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號九樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號十樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號十樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號十一樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號十一樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號十二樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號十二樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號十三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號十三樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街203號十四樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,203號十四樓,120.301291661445,22.6858613379871
高雄市左營區尾北里18鄰洲仔東街205號三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號三樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號四樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號四樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號五樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號五樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號六樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號六樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號七樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號七樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號八樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號八樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號九樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號九樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號十樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號十樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號十一樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號十一樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號十二樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號十二樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街205號十三樓,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,205號十三樓,120.301390204648,22.6859657104623
高雄市左營區尾北里18鄰洲仔東街233號,64,6400300,6400300-009,18鄰,洲仔東街,,,,,,233號,120.301836350972,22.6863442335647
