FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市左營區尾北里6鄰洲仔路40號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,40號,120.300337342637,22.6850166904815
高雄市左營區尾北里6鄰洲仔路60號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,60號,120.301340767637,22.6867141870953
高雄市左營區尾北里18鄰洲仔路63號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,63號,120.301630280729,22.686755943649
高雄市左營區尾北里18鄰洲仔路65號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,65號,120.301616485513,22.686712717115
高雄市左營區尾北里6鄰洲仔路66號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,66號,120.301326730727,22.6866610619268
高雄市左營區尾北里18鄰洲仔路67巷2號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,2號,120.301612370901,22.6866220317643
高雄市左營區尾北里18鄰洲仔路67巷4號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,4號,120.301640403424,22.6866020157793
高雄市左營區尾北里18鄰洲仔路67巷6號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,6號,120.301668817182,22.6865874288535
高雄市左營區尾北里18鄰洲仔路67巷8號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,8號,120.301694792525,22.6865662208737
高雄市左營區尾北里18鄰洲仔路67巷10號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,10號,120.301726629981,22.6865501046361
高雄市左營區尾北里18鄰洲仔路67巷12號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,12號,120.301750857517,22.6865261888683
高雄市左營區尾北里18鄰洲仔路67巷14號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,14號,120.3017804471,22.6865061796492
高雄市左營區尾北里18鄰洲仔路67巷16號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,16號,120.301808458077,22.68649040793
高雄市左營區尾北里18鄰洲仔路67巷18號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,18號,120.30183491881,22.6864732748521
高雄市左營區尾北里18鄰洲仔路67巷20號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,20號,120.301866058151,22.6864547172742
高雄市左營區尾北里18鄰洲仔路67巷22號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,22號,120.301897107483,22.6864347143986
高雄市左營區尾北里18鄰洲仔路67巷24號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,24號,120.301923568194,22.6864175813054
高雄市左營區尾北里18鄰洲仔路67巷26號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,26號,120.301956250432,22.686401829929
高雄市左營區尾北里18鄰洲仔路67巷28號,64,6400300,6400300-009,18鄰,洲仔路,,67巷,,,,28號,120.301970043701,22.6863878023083
高雄市左營區尾北里6鄰洲仔路68號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,68號,120.301295919477,22.6866148713039
高雄市左營區尾北里18鄰洲仔路69號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,69號,120.301574879084,22.6866650345497
高雄市左營區尾北里6鄰洲仔路70號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,70號,120.301266658022,22.6865701323384
高雄市左營區尾北里18鄰洲仔路71號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,71號,120.301553322954,22.6866361328324
高雄市左營區尾北里6鄰洲仔路72號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,72號,120.301234282387,22.6865253797745
高雄市左營區尾北里6鄰洲仔路72之1號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,72之1號,120.301134360527,22.6863934307117
高雄市左營區尾北里18鄰洲仔路73號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,73號,120.301528761997,22.686585634826
高雄市左營區尾北里6鄰洲仔路108號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,108號,120.300935256124,22.6861527352886
高雄市左營區尾北里6鄰洲仔路110號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,110號,120.300906092201,22.686107996685
高雄市左營區尾北里6鄰洲仔路112之1號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,112之1號,120.300491078106,22.6857705157772
高雄市左營區尾北里6鄰洲仔路112之2號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,112之2號,120.300409578953,22.6857979739474
高雄市左營區尾北里18鄰洲仔路115號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,115號,120.301125346956,22.6860136990533
高雄市左營區尾北里6鄰洲仔路116號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,116號,120.300799285862,22.6861649649568
高雄市左營區尾北里18鄰洲仔路117號,64,6400300,6400300-009,18鄰,洲仔路,,,,,,117號,120.301076134553,22.6859690445371
高雄市左營區尾北里6鄰洲仔路118號,64,6400300,6400300-009,6鄰,洲仔路,,,,,,118號,120.300752802156,22.6861905714302
