FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區竹西里25鄰溫江街10號,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號二樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號二樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號三樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號三樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號四樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號四樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號五樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號五樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號六樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號六樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街10號七樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,10號七樓,120.321958969257,22.6119159592804
高雄市前鎮區竹西里25鄰溫江街12號,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號二樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號二樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號三樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號三樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號四樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號四樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號五樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號五樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號六樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號六樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里25鄰溫江街12號七樓,64,6400900,6400900-044,25鄰,溫江街,,,,,,12號七樓,120.32183215789,22.611954129201
高雄市前鎮區竹西里24鄰溫江街15巷1號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,1號,120.321861844562,22.6118231013779
高雄市前鎮區竹西里24鄰溫江街15巷2號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,2號,120.321640706811,22.6117730487484
高雄市前鎮區竹西里24鄰溫江街15巷3號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,3號,120.321847421921,22.6117869175277
高雄市前鎮區竹西里24鄰溫江街15巷4號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,4號,120.32162629396,22.6117368649207
高雄市前鎮區竹西里24鄰溫江街15巷5號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,5號,120.321836899673,22.6117507501567
高雄市前鎮區竹西里24鄰溫江街15巷6號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,6號,120.321613826445,22.6117006893141
高雄市前鎮區竹西里24鄰溫江街15巷7號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,7號,120.321824432145,22.6117145655346
高雄市前鎮區竹西里24鄰溫江街15巷8號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,8號,120.321603304264,22.6116645219291
高雄市前鎮區竹西里24鄰溫江街15巷9號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,9號,120.321812937244,22.6116783940521
高雄市前鎮區竹西里24鄰溫江街15巷10號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,10號,120.321590827034,22.6116283462796
高雄市前鎮區竹西里24鄰溫江街15巷11號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,11號,120.321800469685,22.6116422184587
高雄市前鎮區竹西里24鄰溫江街15巷12號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,12號,120.321578359537,22.6115921706703
高雄市前鎮區竹西里24鄰溫江街15巷13號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,13號,120.321788974795,22.6116060469745
高雄市前鎮區竹西里24鄰溫江街15巷14號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,14號,120.32156686471,22.6115559991714
高雄市前鎮區竹西里24鄰溫江街15巷15號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,15號,120.321776462978,22.6115789019201
高雄市前鎮區竹西里24鄰溫江街15巷16號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,16號,120.321555325604,22.6115288582122
高雄市前鎮區竹西里24鄰溫江街15巷17號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,17號,120.321763057317,22.6115336916316
高雄市前鎮區竹西里24鄰溫江街15巷19號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,19號,120.321752535109,22.611497524255
高雄市前鎮區竹西里24鄰溫江街15巷20號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,20號,120.321543123879,22.6114384903263
高雄市前鎮區竹西里24鄰溫江街15巷21號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,21號,120.321741040243,22.6114613527672
高雄市前鎮區竹西里24鄰溫江街15巷22號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,22號,120.321531629073,22.6114023188247
高雄市前鎮區竹西里24鄰溫江街15巷24號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,24號,120.321519161611,22.6113661432107
高雄市前鎮區竹西里24鄰溫江街15巷26號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,26號,120.321506640141,22.6113389980951
高雄市前鎮區竹西里24鄰溫江街15巷28號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,28號,120.321496118013,22.6113028307028
高雄市前鎮區竹西里24鄰溫江街15巷30號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,30號,120.321482677907,22.6112666509741
高雄市前鎮區竹西里24鄰溫江街15巷31號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,31號,120.321668063672,22.6112443339785
高雄市前鎮區竹西里24鄰溫江街15巷31之1號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,31之1號,120.321668063672,22.6112443339785
高雄市前鎮區竹西里24鄰溫江街15巷31之2號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,31之2號,120.321668063672,22.6112443339785
高雄市前鎮區竹西里24鄰溫江街15巷31之3號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,31之3號,120.321668063672,22.6112443339785
高雄市前鎮區竹西里24鄰溫江街15巷33號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,33號,120.321657541508,22.6112081665955
高雄市前鎮區竹西里24鄰溫江街15巷33之1號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,33之1號,120.321657541508,22.6112081665955
高雄市前鎮區竹西里24鄰溫江街15巷33之2號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,33之2號,120.321657541508,22.6112081665955
高雄市前鎮區竹西里24鄰溫江街15巷33之3號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,33之3號,120.321657541508,22.6112081665955
高雄市前鎮區竹西里24鄰溫江街15巷35號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,35號,120.321638354005,22.6111538921008
高雄市前鎮區竹西里24鄰溫江街15巷35之1號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,35之1號,120.321638354005,22.6111538921008
高雄市前鎮區竹西里24鄰溫江街15巷35之2號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,35之2號,120.321638354005,22.6111538921008
高雄市前鎮區竹西里24鄰溫江街15巷35之3號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,35之3號,120.321638354005,22.6111538921008
高雄市前鎮區竹西里24鄰溫江街15巷37號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,37號,120.321617309711,22.6110815573301
高雄市前鎮區竹西里24鄰溫江街15巷37之1號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,37之1號,120.321617309711,22.6110815573301
高雄市前鎮區竹西里24鄰溫江街15巷37之2號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,37之2號,120.321617309711,22.6110815573301
高雄市前鎮區竹西里24鄰溫江街15巷37之3號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,37之3號,120.321617309711,22.6110815573301
高雄市前鎮區竹西里24鄰溫江街15巷39號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷39號二樓,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號二樓,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷39號三樓,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號三樓,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷39號四樓,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號四樓,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷39號五樓,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號五樓,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷39號六樓,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,39號六樓,120.321598077915,22.6110363224022
高雄市前鎮區竹西里24鄰溫江街15巷41號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,41號,120.321587768073,22.6109330576001
高雄市前鎮區竹西里24鄰溫江街15巷43號,64,6400900,6400900-044,24鄰,溫江街,,15巷,,,,43號,120.321577102427,22.6109043399558
高雄市前鎮區竹西里24鄰溫江街17號,64,6400900,6400900-044,24鄰,溫江街,,,,,,17號,120.321566036613,22.6118399127136
高雄市前鎮區竹西里25鄰溫江街19號,64,6400900,6400900-044,25鄰,溫江街,,,,,,19號,120.32151853306,22.6118394229238
高雄市前鎮區竹西里25鄰溫江街21號,64,6400900,6400900-044,25鄰,溫江街,,,,,,21號,120.321482176132,22.6118528875633
高雄市前鎮區竹西里25鄰溫江街23號,64,6400900,6400900-044,25鄰,溫江街,,,,,,23號,120.321449739614,22.6118563356312
高雄市前鎮區竹西里25鄰溫江街25號,64,6400900,6400900-044,25鄰,溫江街,,,,,,25號,120.321405691339,22.6118633197966
高雄市前鎮區竹西里25鄰溫江街27號,64,6400900,6400900-044,25鄰,溫江街,,,,,,27號,120.321371694236,22.6118696239909
高雄市前鎮區竹西里25鄰溫江街29號,64,6400900,6400900-044,25鄰,溫江街,,,,,,29號,120.321333078604,22.6118716100225
高雄市前鎮區竹西里25鄰溫江街31號,64,6400900,6400900-044,25鄰,溫江街,,,,,,31號,120.321301413984,22.6118743478967
高雄市前鎮區竹西里25鄰溫江街33號,64,6400900,6400900-044,25鄰,溫江街,,,,,,33號,120.321263545666,22.6118806356977
高雄市前鎮區竹西里25鄰溫江街35號,64,6400900,6400900-044,25鄰,溫江街,,,,,,35號,120.321228002016,22.6118869333211
高雄市前鎮區竹西里25鄰溫江街37號,64,6400900,6400900-044,25鄰,溫江街,,,,,,37號,120.321190890689,22.6118975319629
高雄市前鎮區竹西里25鄰溫江街39號,64,6400900,6400900-044,25鄰,溫江街,,,,,,39號,120.321156886524,22.6119052719669
高雄市前鎮區竹西里25鄰溫江街41號,64,6400900,6400900-044,25鄰,溫江街,,,,,,41號,120.321120561186,22.6119122887181
