FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區明孝里21鄰漁港中二路17號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17號,120.314966955034,22.5751258601148
高雄市前鎮區明孝里21鄰漁港中二路17之10號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之10號,120.314803510984,22.5753989849518
高雄市前鎮區明孝里21鄰漁港中二路17之1號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之1號,120.315039061857,22.5751373836746
高雄市前鎮區明孝里21鄰漁港中二路17之11號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之11號,120.314787951315,22.5754247194854
高雄市前鎮區明孝里21鄰漁港中二路17之16號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之16號,120.314723018983,22.5754430820929
高雄市前鎮區明孝里21鄰漁港中二路17之3號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之3號,120.314968097308,22.5752075752934
高雄市前鎮區明孝里21鄰漁港中二路17之4號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之4號,120.31494325646,22.5752361420614
高雄市前鎮區明孝里21鄰漁港中二路17之5號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之5號,120.314921505185,22.5752632951363
高雄市前鎮區明孝里21鄰漁港中二路17之6號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之6號,120.314892056952,22.5752875345822
高雄市前鎮區明孝里21鄰漁港中二路17之7號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之7號,120.314871830538,22.5753189927919
高雄市前鎮區明孝里21鄰漁港中二路17之8號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之8號,120.314847003846,22.5753446878229
高雄市前鎮區明孝里21鄰漁港中二路17之9號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,17之9號,120.314817534288,22.5753732348352
高雄市前鎮區明孝里20鄰漁港中二路20號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,20號,120.321034183854,22.5693121408044
高雄市前鎮區明孝里20鄰漁港中二路21號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,21號,120.320130027735,22.5695504791473
高雄市前鎮區明孝里20鄰漁港中二路21之1號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,21之1號,120.320232302552,22.5694713506107
高雄市前鎮區明孝里20鄰漁港中二路24之1號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,24之1號,120.320351921094,22.5693155879584
高雄市前鎮區明孝里21鄰漁港中二路32號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,32號,120.317410388775,22.5727508984047
高雄市前鎮區明孝里21鄰漁港中二路32之1號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,32之1號,120.317436271182,22.5727199424977
高雄市前鎮區明孝里21鄰漁港中二路32之2號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,32之2號,120.31746218884,22.5726818253391
高雄市前鎮區明孝里21鄰漁港中二路32之3號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,32之3號,120.317493238683,22.5726461140926
高雄市前鎮區明孝里20鄰漁港中二路36號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,36號,120.31997004499,22.5697835277829
高雄市前鎮區明孝里20鄰漁港中二路42號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,42號,120.319872544362,22.5699379478249
高雄市前鎮區明孝里20鄰漁港中二路48號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,48號,120.319515567597,22.5703762354369
高雄市前鎮區明孝里20鄰漁港中二路48之18號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,48之18號,120.319787975685,22.5705720919303
高雄市前鎮區明孝里20鄰漁港中二路48之20號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,48之20號,120.319813753574,22.5705899916406
高雄市前鎮區明孝里20鄰漁港中二路50號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,50號,120.319403386348,22.5708785395494
高雄市前鎮區明孝里21鄰漁港中二路52號,64,6400900,6400900-002,21鄰,漁港中二路,,,,,,52號,120.316424743221,22.5739459854794
高雄市前鎮區明孝里20鄰漁港中二路60號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,60號,120.318432329894,22.571523511133
高雄市前鎮區明孝里20鄰漁港中二路60之1號,64,6400900,6400900-002,20鄰,漁港中二路,,,,,,60之1號,120.318334084923,22.5716329266771
