FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區潮寮里12鄰田單五街3號,64,6401400,6401400-014,12鄰,田單五街,,,,,,3號,120.431979437504,22.5728276467543
高雄市大寮區潮寮里12鄰田單五街5號,64,6401400,6401400-014,12鄰,田單五街,,,,,,5號,120.431764924584,22.5727554540057
高雄市大寮區潮寮里12鄰田單五街6號,64,6401400,6401400-014,12鄰,田單五街,,,,,,6號,120.43171029879,22.5733424502712
高雄市大寮區潮寮里12鄰田單五街7號,64,6401400,6401400-014,12鄰,田單五街,,,,,,7號,120.431491322622,22.5728622431775
高雄市大寮區潮寮里12鄰田單五街8號,64,6401400,6401400-014,12鄰,田單五街,,,,,,8號,120.431435510167,22.5733850073361
高雄市大寮區潮寮里12鄰田單五街8之1號,64,6401400,6401400-014,12鄰,田單五街,,,,,,8之1號,120.431161889112,22.5733799751991
高雄市大寮區潮寮里12鄰田單五街9號,64,6401400,6401400-014,12鄰,田單五街,,,,,,9號,120.431321727485,22.572865598712
高雄市大寮區潮寮里12鄰田單五街10號,64,6401400,6401400-014,12鄰,田單五街,,,,,,10號,120.430973504653,22.5734334034253
高雄市大寮區潮寮里12鄰田單五街11號,64,6401400,6401400-014,12鄰,田單五街,,,,,,11號,120.431105064916,22.572748604197
高雄市大寮區潮寮里12鄰田單五街12號,64,6401400,6401400-014,12鄰,田單五街,,,,,,12號,120.430598742471,22.5735250943998
高雄市大寮區潮寮里12鄰田單五街13號,64,6401400,6401400-014,12鄰,田單五街,,,,,,13號,120.430912442156,22.5727450323639
高雄市大寮區潮寮里12鄰田單五街14號,64,6401400,6401400-014,12鄰,田單五街,,,,,,14號,120.430321161019,22.5735372055101
高雄市大寮區潮寮里12鄰田單五街15號,64,6401400,6401400-014,12鄰,田單五街,,,,,,15號,120.430639963445,22.5727936469721
高雄市大寮區潮寮里12鄰田單五街16號,64,6401400,6401400-014,12鄰,田單五街,,,,,,16號,120.430020525513,22.5735274699054
高雄市大寮區潮寮里12鄰田單五街17號,64,6401400,6401400-014,12鄰,田單五街,,,,,,17號,120.430437874906,22.572845490782
高雄市大寮區潮寮里12鄰田單五街18號,64,6401400,6401400-014,12鄰,田單五街,,,,,,18號,120.429737315936,22.5734421166152
高雄市大寮區潮寮里12鄰田單五街19號,64,6401400,6401400-014,12鄰,田單五街,,,,,,19號,120.430207484262,22.5728274251171
高雄市大寮區潮寮里12鄰田單五街20號,64,6401400,6401400-014,12鄰,田單五街,,,,,,20號,120.429374085885,22.5733543113175
高雄市大寮區潮寮里12鄰田單五街21號,64,6401400,6401400-014,12鄰,田單五街,,,,,,21號,120.430001929007,22.5728709476537
高雄市大寮區潮寮里12鄰田單五街23號,64,6401400,6401400-014,12鄰,田單五街,,,,,,23號,120.429744703096,22.5727810807834
高雄市大寮區潮寮里12鄰田單五街25號,64,6401400,6401400-014,12鄰,田單五街,,,,,,25號,120.429543987994,22.5729480723408
高雄市大寮區潮寮里12鄰田單五街27號,64,6401400,6401400-014,12鄰,田單五街,,,,,,27號,120.429342451778,22.5727475030093
