FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市湖內區公舘里17鄰福生五街8號,64,6402500,6402500-004,17鄰,福生五街,,,,,,8號,120.223436843042,22.9052212899838
高雄市湖內區公舘里17鄰福生五街10號,64,6402500,6402500-004,17鄰,福生五街,,,,,,10號,120.223410787891,22.9051922025901
高雄市湖內區公舘里17鄰福生五街12號,64,6402500,6402500-004,17鄰,福生五街,,,,,,12號,120.223376322064,22.9051560214489
高雄市湖內區公舘里17鄰福生五街16號,64,6402500,6402500-004,17鄰,福生五街,,,,,,16號,120.223332575193,22.9051166704646
高雄市湖內區公舘里17鄰福生五街18號,64,6402500,6402500-004,17鄰,福生五街,,,,,,18號,120.223287935799,22.9050851353131
高雄市湖內區公舘里17鄰福生五街20號,64,6402500,6402500-004,17鄰,福生五街,,,,,,20號,120.223257623665,22.9050607228225
高雄市湖內區公舘里17鄰福生五街31號,64,6402500,6402500-004,17鄰,福生五街,,,,,,31號,120.224152980124,22.9047728507343
高雄市湖內區公舘里17鄰福生五街33號,64,6402500,6402500-004,17鄰,福生五街,,,,,,33號,120.224236651034,22.904742258357
高雄市湖內區公舘里17鄰福生五街35號,64,6402500,6402500-004,17鄰,福生五街,,,,,,35號,120.224309041444,22.9047155570923
高雄市湖內區公舘里17鄰福生五街37號,64,6402500,6402500-004,17鄰,福生五街,,,,,,37號,120.224363789299,22.904695641706
高雄市湖內區公舘里17鄰福生五街39號,64,6402500,6402500-004,17鄰,福生五街,,,,,,39號,120.224419880875,22.9046742609261
高雄市湖內區公舘里17鄰福生五街41號,64,6402500,6402500-004,17鄰,福生五街,,,,,,41號,120.224474286118,22.9046528809257
高雄市湖內區公舘里17鄰福生五街43號,64,6402500,6402500-004,17鄰,福生五街,,,,,,43號,120.224518025233,22.9046336341757
高雄市湖內區公舘里17鄰福生五街45號,64,6402500,6402500-004,17鄰,福生五街,,,,,,45號,120.224559050396,22.904616830401
高雄市湖內區公舘里17鄰福生五街47號,64,6402500,6402500-004,17鄰,福生五街,,,,,,47號,120.22460175115,22.9045984815864
高雄市湖內區公舘里17鄰福生五街49號,64,6402500,6402500-004,17鄰,福生五街,,,,,,49號,120.224645294567,22.9045793602692
高雄市湖內區公舘里17鄰福生五街51號,64,6402500,6402500-004,17鄰,福生五街,,,,,,51號,120.224687982105,22.9045633321445
高雄市湖內區公舘里17鄰福生五街53號,64,6402500,6402500-004,17鄰,福生五街,,,,,,53號,120.224734855593,22.9045465478288
高雄市湖內區公舘里17鄰福生五街55號,64,6402500,6402500-004,17鄰,福生五街,,,,,,55號,120.224776325226,22.904530423435
高雄市湖內區公舘里17鄰福生五街57號,64,6402500,6402500-004,17鄰,福生五街,,,,,,57號,120.224818686981,22.9045116846054
高雄市湖內區公舘里17鄰福生五街59號,64,6402500,6402500-004,17鄰,福生五街,,,,,,59號,120.224859066607,22.9044935411227
