FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市左營區新上里28鄰立文路2號,64,6400300,6400300-040,28鄰,立文路,,,,,,2號,120.30658560948,22.6645847315862
高雄市左營區新上里28鄰立文路42號,64,6400300,6400300-040,28鄰,立文路,,,,,,42號,120.306153211435,22.6645599216276
高雄市左營區新上里28鄰立文路46號,64,6400300,6400300-040,28鄰,立文路,,,,,,46號,120.305971199069,22.6645681638858
高雄市左營區新上里28鄰立文路48號,64,6400300,6400300-040,28鄰,立文路,,,,,,48號,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號十樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號十樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號四樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號四樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號五樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號五樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號六樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號六樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號七樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號七樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號八樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號八樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號九樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號九樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號十一樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號十一樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路48號十二樓,64,6400300,6400300-040,28鄰,立文路,,,,,,48號十二樓,120.305929313215,22.6645770130752
高雄市左營區新上里28鄰立文路50號,64,6400300,6400300-040,28鄰,立文路,,,,,,50號,120.305886490018,22.6645768275444
高雄市左營區新上里47鄰立文路51號,64,6400300,6400300-040,47鄰,立文路,,,,,,51號,120.305741240057,22.6642890777486
高雄市左營區新上里28鄰立文路52號,64,6400300,6400300-040,28鄰,立文路,,,,,,52號,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號十樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號十樓,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號四樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號四樓,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號五樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號五樓,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號六樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號六樓,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號七樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號七樓,120.30584464954,22.6645766552908
高雄市左營區新上里28鄰立文路52號八樓,64,6400300,6400300-040,28鄰,立文路,,,,,,52號八樓,120.30584464954,22.6645766552908
