FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳥松區仁美里13鄰美德一街1號,64,6401800,6401800-005,13鄰,美德一街,,,,,,1號,120.388852449954,22.6516997769776
高雄市鳥松區仁美里13鄰美德一街2號,64,6401800,6401800-005,13鄰,美德一街,,,,,,2號,120.38905726181,22.6514555530602
高雄市鳥松區仁美里13鄰美德一街6號,64,6401800,6401800-005,13鄰,美德一街,,,,,,6號,120.389123899751,22.6515217587508
高雄市鳥松區仁美里13鄰美德一街8號,64,6401800,6401800-005,13鄰,美德一街,,,,,,8號,120.389207876407,22.6516253004696
高雄市鳥松區仁美里13鄰美德一街10號,64,6401800,6401800-005,13鄰,美德一街,,,,,,10號,120.389268224625,22.6516991131318
高雄市鳥松區仁美里13鄰美德一街12號,64,6401800,6401800-005,13鄰,美德一街,,,,,,12號,120.389365635266,22.6518275405707
高雄市鳥松區仁美里13鄰美德一街16號,64,6401800,6401800-005,13鄰,美德一街,,,,,,16號,120.389390359729,22.6518690859905
高雄市鳥松區仁美里13鄰美德一街18號,64,6401800,6401800-005,13鄰,美德一街,,,,,,18號,120.389423594885,22.6519002784448
高雄市鳥松區仁美里13鄰美德一街20號,64,6401800,6401800-005,13鄰,美德一街,,,,,,20號,120.389453677051,22.6519403993421
高雄市鳥松區仁美里13鄰美德一街28號,64,6401800,6401800-005,13鄰,美德一街,,,,,,28號,120.389496530582,22.6520408041041
高雄市鳥松區仁美里13鄰美德一街30號,64,6401800,6401800-005,13鄰,美德一街,,,,,,30號,120.389550416019,22.65208878211
高雄市鳥松區仁美里13鄰美德一街89號,64,6401800,6401800-005,13鄰,美德一街,,,,,,89號,120.389800078644,22.6531463416678
高雄市鳥松區仁美里13鄰美德一街91號,64,6401800,6401800-005,13鄰,美德一街,,,,,,91號,120.389792120982,22.6531988704353
高雄市鳥松區仁美里13鄰美德一街93號,64,6401800,6401800-005,13鄰,美德一街,,,,,,93號,120.38978672053,22.6532561952447
高雄市鳥松區仁美里13鄰美德一街95號,64,6401800,6401800-005,13鄰,美德一街,,,,,,95號,120.38978265189,22.6533027785115
高雄市鳥松區仁美里13鄰美德一街97號,64,6401800,6401800-005,13鄰,美德一街,,,,,,97號,120.389769515505,22.6533624579878
高雄市鳥松區仁美里13鄰美德一街99號,64,6401800,6401800-005,13鄰,美德一街,,,,,,99號,120.389758867674,22.653442466163
高雄市鳥松區仁美里13鄰美德一街100號,64,6401800,6401800-005,13鄰,美德一街,,,,,,100號,120.390004074376,22.6531772629107
高雄市鳥松區仁美里13鄰美德一街101號,64,6401800,6401800-005,13鄰,美德一街,,,,,,101號,120.389752877002,22.6535892926504
高雄市鳥松區仁美里13鄰美德一街102號,64,6401800,6401800-005,13鄰,美德一街,,,,,,102號,120.390006565664,22.6532388261029
高雄市鳥松區仁美里13鄰美德一街103號,64,6401800,6401800-005,13鄰,美德一街,,,,,,103號,120.389748597726,22.6536328949591
高雄市鳥松區仁美里13鄰美德一街105號,64,6401800,6401800-005,13鄰,美德一街,,,,,,105號,120.389757170868,22.6536744691288
高雄市鳥松區仁美里13鄰美德一街106號,64,6401800,6401800-005,13鄰,美德一街,,,,,,106號,120.389998004013,22.6533003472267
高雄市鳥松區仁美里13鄰美德一街107號,64,6401800,6401800-005,13鄰,美德一街,,,,,,107號,120.389757190634,22.6537140239614
高雄市鳥松區仁美里13鄰美德一街108號,64,6401800,6401800-005,13鄰,美德一街,,,,,,108號,120.38999500282,22.6533541952995
高雄市鳥松區仁美里13鄰美德一街109號,64,6401800,6401800-005,13鄰,美德一街,,,,,,109號,120.389746498512,22.6537556150827
高雄市鳥松區仁美里13鄰美德一街110號,64,6401800,6401800-005,13鄰,美德一街,,,,,,110號,120.38998918173,22.6534208563283
高雄市鳥松區仁美里13鄰美德一街111號,64,6401800,6401800-005,13鄰,美德一街,,,,,,111號,120.389742139494,22.6537952435494
高雄市鳥松區仁美里13鄰美德一街112號,64,6401800,6401800-005,13鄰,美德一街,,,,,,112號,120.3899889551,22.6534721502227
高雄市鳥松區仁美里13鄰美德一街113號,64,6401800,6401800-005,13鄰,美德一街,,,,,,113號,120.389737860606,22.6538387555503
高雄市鳥松區仁美里13鄰美德一街115號,64,6401800,6401800-005,13鄰,美德一街,,,,,,115號,120.389731467118,22.6538763895007
高雄市鳥松區仁美里13鄰美德一街117號,64,6401800,6401800-005,13鄰,美德一街,,,,,,117號,120.389735776345,22.6539140642047
高雄市鳥松區仁美里13鄰美德一街119號,64,6401800,6401800-005,13鄰,美德一街,,,,,,119號,120.389714294056,22.6539753916133
