FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市大寮區三隆里43鄰義隆街1號,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街1號三樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號三樓,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街1號四樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號四樓,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街1號五樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號五樓,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街1號六樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號六樓,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街1號七樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,1號七樓,120.406737536393,22.605841140141
高雄市大寮區三隆里43鄰義隆街3號,64,6401400,6401400-005,43鄰,義隆街,,,,,,3號,120.406784910015,22.6058172028641
高雄市大寮區三隆里43鄰義隆街5號,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號二樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號二樓,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號三樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號三樓,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號四樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號四樓,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號五樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號五樓,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號六樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號六樓,120.406862702238,22.60591267536
高雄市大寮區三隆里43鄰義隆街5號七樓,64,6401400,6401400-005,43鄰,義隆街,,,,,,5號七樓,120.406862702238,22.60591267536
高雄市大寮區三隆里26鄰義隆街13號,64,6401400,6401400-005,26鄰,義隆街,,,,,,13號,120.407187252491,22.6056686868652
高雄市大寮區三隆里26鄰義隆街15號,64,6401400,6401400-005,26鄰,義隆街,,,,,,15號,120.407220991641,22.6056487629858
高雄市大寮區三隆里26鄰義隆街17號,64,6401400,6401400-005,26鄰,義隆街,,,,,,17號,120.407255803391,22.6056282109006
高雄市大寮區三隆里26鄰義隆街36號,64,6401400,6401400-005,26鄰,義隆街,,,,,,36號,120.406986580205,22.6055357342075
高雄市大寮區三隆里26鄰義隆街38號,64,6401400,6401400-005,26鄰,義隆街,,,,,,38號,120.407018659676,22.6055172491739
高雄市大寮區三隆里26鄰義隆街40號,64,6401400,6401400-005,26鄰,義隆街,,,,,,40號,120.407053567137,22.6054970587193
高雄市大寮區三隆里26鄰義隆街42號,64,6401400,6401400-005,26鄰,義隆街,,,,,,42號,120.407084768896,22.6054791122807
高雄市大寮區三隆里44鄰義隆街45號,64,6401400,6401400-005,44鄰,義隆街,,,,,,45號,120.408004669999,22.605236777965
高雄市大寮區三隆里26鄰義隆街46號,64,6401400,6401400-005,26鄰,義隆街,,,,,,46號,120.407117043642,22.6054604473312
高雄市大寮區三隆里44鄰義隆街47號,64,6401400,6401400-005,44鄰,義隆街,,,,,,47號,120.408184266624,22.6054308807783
高雄市大寮區三隆里26鄰義隆街48號,64,6401400,6401400-005,26鄰,義隆街,,,,,,48號,120.407151560859,22.6054405263387
高雄市大寮區三隆里15鄰義隆街50巷1號,64,6401400,6401400-005,15鄰,義隆街,,50巷,,,,1號,120.407538563948,22.6051259659144
高雄市大寮區三隆里15鄰義隆街50巷3號,64,6401400,6401400-005,15鄰,義隆街,,50巷,,,,3號,120.407516709609,22.6050961737916
高雄市大寮區三隆里15鄰義隆街50巷5號,64,6401400,6401400-005,15鄰,義隆街,,50巷,,,,5號,120.407494758788,22.6050662006929
高雄市大寮區三隆里15鄰義隆街50巷7號,64,6401400,6401400-005,15鄰,義隆街,,50巷,,,,7號,120.407473001731,22.6050364089233
高雄市大寮區三隆里15鄰義隆街52號,64,6401400,6401400-005,15鄰,義隆街,,,,,,52號,120.407567518836,22.6052238767817
高雄市大寮區三隆里15鄰義隆街56號,64,6401400,6401400-005,15鄰,義隆街,,,,,,56號,120.407604081557,22.6052032407704
高雄市大寮區三隆里15鄰義隆街58號,64,6401400,6401400-005,15鄰,義隆街,,,,,,58號,120.407638304146,22.6051839507419
高雄市大寮區三隆里15鄰義隆街60號,64,6401400,6401400-005,15鄰,義隆街,,,,,,60號,120.407673209502,22.605164211683
高雄市大寮區三隆里16鄰義隆街61號,64,6401400,6401400-005,16鄰,義隆街,,,,,,61號,120.408426653329,22.6049981131046
高雄市大寮區三隆里15鄰義隆街62號,64,6401400,6401400-005,15鄰,義隆街,,,,,,62號,120.407710552232,22.6051431269825
高雄市大寮區三隆里16鄰義隆街63號,64,6401400,6401400-005,16鄰,義隆街,,,,,,63號,120.408506859703,22.6049612918764
高雄市大寮區三隆里15鄰義隆街66號,64,6401400,6401400-005,15鄰,義隆街,,,,,,66號,120.407746042694,22.6051230288323
高雄市大寮區三隆里15鄰義隆街68巷2號,64,6401400,6401400-005,15鄰,義隆街,,68巷,,,,2號,120.407655164283,22.6050625481337
高雄市大寮區三隆里15鄰義隆街68巷6號,64,6401400,6401400-005,15鄰,義隆街,,68巷,,,,6號,120.407634465493,22.6050354695426
高雄市大寮區三隆里15鄰義隆街68巷8號,64,6401400,6401400-005,15鄰,義隆街,,68巷,,,,8號,120.407611735776,22.6050056742023
高雄市大寮區三隆里15鄰義隆街68巷10號,64,6401400,6401400-005,15鄰,義隆街,,68巷,,,,10號,120.407587748604,22.604974248667
高雄市大寮區三隆里13鄰義隆街80號,64,6401400,6401400-005,13鄰,義隆街,,,,,,80號,120.407949256193,22.6049120954604
高雄市大寮區三隆里13鄰義隆街96巷1號,64,6401400,6401400-005,13鄰,義隆街,,96巷,,,,1號,120.408317768571,22.6046902116426
高雄市大寮區三隆里13鄰義隆街96巷3號,64,6401400,6401400-005,13鄰,義隆街,,96巷,,,,3號,120.40829795897,22.6046598853083
高雄市大寮區三隆里13鄰義隆街96巷5號,64,6401400,6401400-005,13鄰,義隆街,,96巷,,,,5號,120.408278825585,22.604630645165
高雄市大寮區三隆里13鄰義隆街96巷7號,64,6401400,6401400-005,13鄰,義隆街,,96巷,,,,7號,120.408259112106,22.6046005901055
高雄市大寮區三隆里13鄰義隆街96巷9號,64,6401400,6401400-005,13鄰,義隆街,,96巷,,,,9號,120.408238529445,22.6045690869049
