FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區興邦里1鄰翠文街42號,64,6400900,6400900-021,1鄰,翠文街,,,,,,42號,120.312554736299,22.5925385602907
高雄市前鎮區興邦里1鄰翠文街46號,64,6400900,6400900-021,1鄰,翠文街,,,,,,46號,120.312535106419,22.5925745992138
高雄市前鎮區興邦里1鄰翠文街48號,64,6400900,6400900-021,1鄰,翠文街,,,,,,48號,120.312522284226,22.5926106672749
高雄市前鎮區興邦里1鄰翠文街49號,64,6400900,6400900-021,1鄰,翠文街,,,,,,49號,120.312361320582,22.5924514345718
高雄市前鎮區興邦里1鄰翠文街50號,64,6400900,6400900-021,1鄰,翠文街,,,,,,50號,120.312504599384,22.5926467145194
高雄市前鎮區興邦里1鄰翠文街51號,64,6400900,6400900-021,1鄰,翠文街,,,,,,51號,120.31234222496,22.5924915124976
高雄市前鎮區興邦里1鄰翠文街52號,64,6400900,6400900-021,1鄰,翠文街,,,,,,52號,120.312483996945,22.592682749272
高雄市前鎮區興邦里1鄰翠文街53號,64,6400900,6400900-021,1鄰,翠文街,,,,,,53號,120.312325070231,22.5925265595802
高雄市前鎮區興邦里1鄰翠文街55號,64,6400900,6400900-021,1鄰,翠文街,,,,,,55號,120.312311009034,22.5925594796223
高雄市前鎮區興邦里1鄰翠文街56號,64,6400900,6400900-021,1鄰,翠文街,,,,,,56號,120.312657820383,22.592737677701
高雄市前鎮區興邦里1鄰翠文街57號,64,6400900,6400900-021,1鄰,翠文街,,,,,,57號,120.31228921174,22.5925952292805
高雄市前鎮區興邦里1鄰翠文街58號,64,6400900,6400900-021,1鄰,翠文街,,,,,,58號,120.312607187314,22.5929144363406
高雄市前鎮區興邦里1鄰翠文街59號,64,6400900,6400900-021,1鄰,翠文街,,,,,,59號,120.312272053396,22.5926309987999
高雄市前鎮區興邦里1鄰翠文街60號,64,6400900,6400900-021,1鄰,翠文街,,,,,,60號,120.312562499342,22.5928966531926
