FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市苓雅區林德里12鄰英明路285號,64,6400800,6400800-043,12鄰,英明路,,,,,,285號,120.322903675295,22.6210058763305
高雄市苓雅區林德里10鄰英明路289號,64,6400800,6400800-043,10鄰,英明路,,,,,,289號,120.322830419637,22.6212179877383
高雄市苓雅區林德里22鄰英明路293巷2號,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,2號,120.322536142433,22.6216370260483
高雄市苓雅區林德里22鄰英明路293巷2號二樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,2號二樓,120.322536142433,22.6216370260483
高雄市苓雅區林德里22鄰英明路293巷2號三樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,2號三樓,120.322536142433,22.6216370260483
高雄市苓雅區林德里22鄰英明路293巷2號四樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,2號四樓,120.322536142433,22.6216370260483
高雄市苓雅區林德里22鄰英明路293巷4號,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,4號,120.322472386517,22.621621467826
高雄市苓雅區林德里22鄰英明路293巷4號二樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,4號二樓,120.322472386517,22.621621467826
高雄市苓雅區林德里22鄰英明路293巷4號三樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,4號三樓,120.322472386517,22.621621467826
高雄市苓雅區林德里22鄰英明路293巷4號四樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,4號四樓,120.322472386517,22.621621467826
高雄市苓雅區林德里22鄰英明路293巷6號,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,6號,120.32238501985,22.62159242634
高雄市苓雅區林德里22鄰英明路293巷6號二樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,6號二樓,120.32238501985,22.62159242634
高雄市苓雅區林德里22鄰英明路293巷6號三樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,6號三樓,120.32238501985,22.62159242634
高雄市苓雅區林德里22鄰英明路293巷6號四樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,6號四樓,120.32238501985,22.62159242634
高雄市苓雅區林德里22鄰英明路293巷8號,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,8號,120.322316174416,22.62156537755
高雄市苓雅區林德里22鄰英明路293巷8號二樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,8號二樓,120.322316174416,22.62156537755
高雄市苓雅區林德里22鄰英明路293巷8號三樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,8號三樓,120.322316174416,22.62156537755
高雄市苓雅區林德里22鄰英明路293巷8號四樓,64,6400800,6400800-043,22鄰,英明路,,293巷,,,,8號四樓,120.322316174416,22.62156537755
高雄市苓雅區林德里22鄰英明路295號,64,6400800,6400800-043,22鄰,英明路,,,,,,295號,120.322634681965,22.6216967016646
高雄市苓雅區林德里22鄰英明路295號二樓,64,6400800,6400800-043,22鄰,英明路,,,,,,295號二樓,120.322634681965,22.6216967016646
高雄市苓雅區林德里22鄰英明路295號三樓,64,6400800,6400800-043,22鄰,英明路,,,,,,295號三樓,120.322634681965,22.6216967016646
高雄市苓雅區林德里22鄰英明路295號四樓,64,6400800,6400800-043,22鄰,英明路,,,,,,295號四樓,120.322634681965,22.6216967016646
高雄市苓雅區林德里22鄰英明路297號,64,6400800,6400800-043,22鄰,英明路,,,,,,297號,120.322610612329,22.6217768831261
高雄市苓雅區林德里22鄰英明路297號二樓,64,6400800,6400800-043,22鄰,英明路,,,,,,297號二樓,120.322610612329,22.6217768831261
高雄市苓雅區林德里22鄰英明路297號三樓,64,6400800,6400800-043,22鄰,英明路,,,,,,297號三樓,120.322610612329,22.6217768831261
高雄市苓雅區林德里22鄰英明路297號四樓,64,6400800,6400800-043,22鄰,英明路,,,,,,297號四樓,120.322610612329,22.6217768831261
高雄市苓雅區林德里3鄰英明路299號,64,6400800,6400800-043,3鄰,英明路,,,,,,299號,120.322523984044,22.6219088264023
高雄市苓雅區林德里7鄰英明路300號,64,6400800,6400800-043,7鄰,英明路,,,,,,300號,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號二樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號二樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號三樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號三樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號四樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號四樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號五樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號五樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號六樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號六樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里7鄰英明路300號七樓,64,6400800,6400800-043,7鄰,英明路,,,,,,300號七樓,120.322972600394,22.6220994440196
高雄市苓雅區林德里3鄰英明路301號,64,6400800,6400800-043,3鄰,英明路,,,,,,301號,120.322511454688,22.6219446164136
高雄市苓雅區林德里7鄰英明路302號,64,6400800,6400800-043,7鄰,英明路,,,,,,302號,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號二樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號二樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號三樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號三樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號四樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號四樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號五樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號五樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號六樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號六樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里7鄰英明路302號七樓,64,6400800,6400800-043,7鄰,英明路,,,,,,302號七樓,120.322949562418,22.6221954336399
高雄市苓雅區林德里3鄰英明路303號,64,6400800,6400800-043,3鄰,英明路,,,,,,303號,120.322497402427,22.6219775372554
高雄市苓雅區林德里3鄰英明路305號,64,6400800,6400800-043,3鄰,英明路,,,,,,305號,120.322486445113,22.6220061635129
高雄市苓雅區林德里3鄰英明路307號,64,6400800,6400800-043,3鄰,英明路,,,,,,307號,120.322475462389,22.6220419600516
高雄市苓雅區林德里3鄰英明路309號,64,6400800,6400800-043,3鄰,英明路,,,,,,309號,120.322461400426,22.6220748718178
高雄市苓雅區林德里3鄰英明路311號,64,6400800,6400800-043,3鄰,英明路,,,,,,311號,120.322434741023,22.6221177544784
高雄市苓雅區林德里3鄰英明路313號,64,6400800,6400800-043,3鄰,英明路,,,,,,313號,120.322414269364,22.6221723399838
高雄市苓雅區林德里3鄰英明路315號,64,6400800,6400800-043,3鄰,英明路,,,,,,315號,120.322390989893,22.6222341562622
高雄市苓雅區林德里20鄰英明路316號,64,6400800,6400800-043,20鄰,英明路,,,,,,316號,120.322739775374,22.6225255240033
高雄市苓雅區林德里20鄰英明路318號,64,6400800,6400800-043,20鄰,英明路,,,,,,318號,120.322727345897,22.6225607816381
高雄市苓雅區林德里19鄰英明路320號,64,6400800,6400800-043,19鄰,英明路,,,,,,320號,120.322703837894,22.6226255771324
高雄市苓雅區林德里19鄰英明路322號,64,6400800,6400800-043,19鄰,英明路,,,,,,322號,120.322686622086,22.6226728163801
高雄市苓雅區林德里19鄰英明路326號,64,6400800,6400800-043,19鄰,英明路,,,,,,326號,120.322666305956,22.6227214693899
高雄市苓雅區林德里19鄰英明路328號,64,6400800,6400800-043,19鄰,英明路,,,,,,328號,120.322632534882,22.6228061974877
高雄市苓雅區林榮里21鄰英明路138巷1號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,1號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷1之1號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,1之1號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷1之2號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,1之2號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷1之3號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,1之3號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷1之4號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,1之4號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷3號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,3號,120.325563083756,22.6153973017347
高雄市苓雅區林榮里21鄰英明路138巷3之1號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,3之1號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷3之2號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,3之2號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷3之3號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,3之3號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里21鄰英明路138巷3之4號,64,6400800,6400800-045,21鄰,英明路,,138巷,,,,3之4號,120.325472020712,22.6153868858631
高雄市苓雅區林榮里20鄰英明路138巷5弄1號,64,6400800,6400800-045,20鄰,英明路,,138巷,5弄,,,1號,120.325523767799,22.6155347377097
