FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市仁武區赤山里17鄰赤貴街2號,64,6401700,6401700-015,17鄰,赤貴街,,,,,,2號,120.348137342061,22.6744676049364
高雄市仁武區赤山里17鄰赤貴街6號,64,6401700,6401700-015,17鄰,赤貴街,,,,,,6號,120.348141886237,22.6744120846747
高雄市仁武區赤山里17鄰赤貴街8巷1號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,1號,120.348076959313,22.6742514352993
高雄市仁武區赤山里17鄰赤貴街8巷2號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,2號,120.348061841435,22.6744234084481
高雄市仁武區赤山里17鄰赤貴街8巷3號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,3號,120.348035614516,22.6742486480952
高雄市仁武區赤山里17鄰赤貴街8巷5號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,5號,120.347991338011,22.6742484678458
高雄市仁武區赤山里17鄰赤貴街8巷6號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,6號,120.348021950278,22.6744218914538
高雄市仁武區赤山里17鄰赤貴街8巷7號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,7號,120.347952815664,22.6742456018039
高雄市仁武區赤山里17鄰赤貴街8巷8號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,8號,120.347981967788,22.6744191097807
高雄市仁武區赤山里17鄰赤貴街8巷9號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,9號,120.347915758533,22.6742415677286
高雄市仁武區赤山里17鄰赤貴街8巷10號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,10號,120.347941960537,22.6744215657984
高雄市仁武區赤山里17鄰赤貴街8巷11號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,11號,120.347871494842,22.6742386782907
高雄市仁武區赤山里17鄰赤貴街8巷12號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,12號,120.347902081764,22.6744174299239
高雄市仁武區赤山里17鄰赤貴街8巷16號,64,6401700,6401700-015,17鄰,赤貴街,,8巷,,,,16號,120.347862099278,22.674414648221
高雄市仁武區赤山里17鄰赤貴街10號,64,6401700,6401700-015,17鄰,赤貴街,,,,,,10號,120.348146743254,22.6742903707103
高雄市仁武區赤山里17鄰赤貴街12號,64,6401700,6401700-015,17鄰,赤貴街,,,,,,12號,120.348148386868,22.6742308651365
高雄市仁武區赤山里17鄰赤貴街16號,64,6401700,6401700-015,17鄰,赤貴街,,,,,,16號,120.348131464149,22.6741670395683
