FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市楠梓區錦屏里24鄰錦屏街1號,64,6400400,6400400-009,24鄰,錦屏街,,,,,,1號,120.312237140709,22.7140418167225
高雄市楠梓區錦屏里24鄰錦屏街3號,64,6400400,6400400-009,24鄰,錦屏街,,,,,,3號,120.31225187771,22.7140925417691
高雄市楠梓區錦屏里24鄰錦屏街5巷1號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,1號,120.312152687337,22.7141315789282
高雄市楠梓區錦屏里24鄰錦屏街5巷2號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,2號,120.312115749131,22.7141408118847
高雄市楠梓區錦屏里24鄰錦屏街5巷3號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,3號,120.312074904746,22.7141525565992
高雄市楠梓區錦屏里24鄰錦屏街5巷5號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,5號,120.3120366065,22.7141612418511
高雄市楠梓區錦屏里24鄰錦屏街5巷6號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,6號,120.311997702553,22.7141742591767
高雄市楠梓區錦屏里24鄰錦屏街5巷7號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,7號,120.311957552157,22.7141834782779
高雄市楠梓區錦屏里24鄰錦屏街5巷8號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,8號,120.31191522752,22.7141797742554
高雄市楠梓區錦屏里24鄰錦屏街5巷9號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,9號,120.311877698937,22.7141902689004
高雄市楠梓區錦屏里24鄰錦屏街5巷10號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,10號,120.311850211666,22.7142366582266
高雄市楠梓區錦屏里24鄰錦屏街5巷11號,64,6400400,6400400-009,24鄰,錦屏街,,5巷,,,,11號,120.311860262017,22.7142707468349
高雄市楠梓區錦屏里21鄰錦屏街28號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,28號,120.312629659856,22.7141853929986
高雄市楠梓區錦屏里21鄰錦屏街28之1號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,28之1號,120.312810944612,22.7141410190189
高雄市楠梓區錦屏里21鄰錦屏街56號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,56號,120.312761075823,22.7147729649191
高雄市楠梓區錦屏里21鄰錦屏街58號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,58號,120.312779389879,22.7148091660209
高雄市楠梓區錦屏里21鄰錦屏街60號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,60號,120.312796775637,22.7148363325305
高雄市楠梓區錦屏里21鄰錦屏街62號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,62號,120.31281898327,22.7148725503581
高雄市楠梓區錦屏里21鄰錦屏街66號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,66號,120.312837307042,22.7149087605258
高雄市楠梓區錦屏里21鄰錦屏街68巷2號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,2號,120.31292221741,22.7148639632957
高雄市楠梓區錦屏里21鄰錦屏街68巷6號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,6號,120.312960224688,22.7148550959733
高雄市楠梓區錦屏里21鄰錦屏街68巷8號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,8號,120.312993419818,22.7148371773688
高雄市楠梓區錦屏里21鄰錦屏街68巷10號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,10號,120.313032400474,22.7148283142103
高雄市楠梓區錦屏里21鄰錦屏街68巷12號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,12號,120.313070452801,22.714810416453
高雄市楠梓區錦屏里21鄰錦屏街68巷16號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,16號,120.313104566498,22.7148015323721
高雄市楠梓區錦屏里21鄰錦屏街68巷18號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,18號,120.313145548711,22.7147836471803
高雄市楠梓區錦屏里21鄰錦屏街68巷20號,64,6400400,6400400-009,21鄰,錦屏街,,68巷,,,,20號,120.313182582565,22.7147747756236
高雄市楠梓區錦屏里21鄰錦屏街70號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,70號,120.312900964788,22.7150264318452
高雄市楠梓區錦屏里21鄰錦屏街72號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,72號,120.312930959608,22.7150626831133
高雄市楠梓區錦屏里21鄰錦屏街76號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,76號,120.312951230262,22.7150988926015
高雄市楠梓區錦屏里21鄰錦屏街78號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,78號,120.312973483049,22.7151260800009
高雄市楠梓區錦屏里21鄰錦屏街80號,64,6400400,6400400-009,21鄰,錦屏街,,,,,,80號,120.312998565877,22.7151713407568
