FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市前鎮區鎮海里17鄰鎮海路3號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,3號,120.318030234177,22.5923570143967
高雄市前鎮區鎮海里17鄰鎮海路5之1號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,5之1號,120.317988699924,22.5923267295268
高雄市前鎮區鎮海里19鄰鎮海路6號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,6號,120.317928229601,22.5919924796813
高雄市前鎮區鎮海里17鄰鎮海路7號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,7號,120.317927210206,22.5922883044761
高雄市前鎮區鎮海里19鄰鎮海路8號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,8號,120.317908174936,22.5919590710647
高雄市前鎮區鎮海里19鄰鎮海路10號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,10號,120.317871073035,22.5919470832165
高雄市前鎮區鎮海里19鄰鎮海路12號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,12號,120.317841013781,22.5919288850281
高雄市前鎮區鎮海里19鄰鎮海路14號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,14號,120.317810989252,22.5919016652679
高雄市前鎮區鎮海里19鄰鎮海路16號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,16號,120.317784820068,22.5918834926229
高雄市前鎮區鎮海里17鄰鎮海路17號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,17號,120.317756870445,22.5921753920462
高雄市前鎮區鎮海里17鄰鎮海路17號二樓,64,6400900,6400900-019,17鄰,鎮海路,,,,,,17號二樓,120.317756870445,22.5921753920462
高雄市前鎮區鎮海里17鄰鎮海路17號三樓,64,6400900,6400900-019,17鄰,鎮海路,,,,,,17號三樓,120.317756870445,22.5921753920462
高雄市前鎮區鎮海里19鄰鎮海路18號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,18號,120.317793567354,22.5918194837382
高雄市前鎮區鎮海里17鄰鎮海路21號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,21號,120.317700115104,22.592099879694
高雄市前鎮區鎮海里19鄰鎮海路22號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,22號,120.317703439482,22.5918199317136
高雄市前鎮區鎮海里17鄰鎮海路23號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,23號,120.317666254686,22.5920636128673
高雄市前鎮區鎮海里19鄰鎮海路24號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,24號,120.317673415003,22.5917927119286
高雄市前鎮區鎮海里17鄰鎮海路25號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,25號,120.317630350514,22.5920453988385
高雄市前鎮區鎮海里19鄰鎮海路26號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,26號,120.317646273335,22.5917745351302
高雄市前鎮區鎮海里17鄰鎮海路27號,64,6400900,6400900-019,17鄰,鎮海路,,,,,,27號,120.317594500577,22.5920181542883
高雄市前鎮區鎮海里19鄰鎮海路28號,64,6400900,6400900-019,19鄰,鎮海路,,,,,,28號,120.317616214105,22.5917563459315
