FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
高雄市鳳山區鳳東里28鄰鳳捷路2號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,2號,120.38677696828,22.6261607616608
高雄市鳳山區鳳東里28鄰鳳捷路6號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,6號,120.386720150582,22.6262609036676
高雄市鳳山區鳳東里28鄰鳳捷路26號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,26號,120.386351253423,22.6265662870567
高雄市鳳山區鳳東里28鄰鳳捷路28號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,28號,120.386281867164,22.6266378344803
高雄市鳳山區鳳東里28鄰鳳捷路28之1號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,28之1號,120.386182967202,22.6268252604396
高雄市鳳山區鳳東里28鄰鳳捷路33號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,33號,120.385468008909,22.6268447930706
高雄市鳳山區鳳東里28鄰鳳捷路35巷1號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,1號,120.385290412193,22.6267818904758
高雄市鳳山區鳳東里28鄰鳳捷路35巷2號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,2號,120.385248772471,22.6268702778154
高雄市鳳山區鳳東里28鄰鳳捷路35巷3號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,3號,120.385224798337,22.6267553142777
高雄市鳳山區鳳東里28鄰鳳捷路35巷5號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,5號,120.385156618192,22.6267239418979
高雄市鳳山區鳳東里28鄰鳳捷路35巷6號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,6號,120.38517547283,22.6268329074402
高雄市鳳山區鳳東里28鄰鳳捷路35巷7號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,7號,120.385093646127,22.6266830168145
高雄市鳳山區鳳東里28鄰鳳捷路35巷8號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,8號,120.385120166084,22.6268051696076
高雄市鳳山區鳳東里28鄰鳳捷路35巷10號,64,6401200,6401200-035,28鄰,鳳捷路,,35巷,,,,10號,120.385039063718,22.6267833202848
高雄市鳳山區鳳東里28鄰鳳捷路36號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,36號,120.386059914774,22.6269223220993
高雄市鳳山區鳳東里28鄰鳳捷路37號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,37號,120.385373479772,22.6269437515568
高雄市鳳山區鳳東里28鄰鳳捷路38號,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,38號,120.385993229007,22.6269837200834
高雄市鳳山區鳳東里28鄰鳳捷路40號十樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號十樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號二樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號二樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號三樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號三樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號四樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號四樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號五樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號五樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號六樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號六樓,120.386336082103,22.627251259767
高雄市鳳山區鳳東里28鄰鳳捷路40號七樓,64,6401200,6401200-035,28鄰,鳳捷路,,,,,,40號七樓,120.386336082103,22.627251259767
