FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市中和區中原里6鄰中原東街66號四樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號四樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號五樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號五樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號六樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號六樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號七樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號七樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號八樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號八樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號九樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號九樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十一樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十一樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十二樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十二樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十三樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十三樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十四樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十四樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十五樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十五樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十六樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十六樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十七樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十七樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十八樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十八樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號十九樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號十九樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號二十樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號二十樓,121.487338442447,25.0126050914612
新北市中和區中原里6鄰中原東街66號二十一樓,65,6500300,6500300-001,6鄰,中原東街,,,,,,66號二十一樓,121.487338442447,25.0126050914612
