FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市三峽區八張里6鄰中園街1號,65,6500900,6500900-003,6鄰,中園街,,,,,,1號,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之2號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號十樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之1號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號十樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號十樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之3號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號十樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之2號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號二樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之3號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號二樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號二樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號二樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之3號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號三樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號三樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之2號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號三樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號三樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之3號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號四樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號四樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之2號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號四樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號四樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之3號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號五樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號五樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號五樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之2號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號五樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之3號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號六樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號六樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之2號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號六樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號六樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之3號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號七樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號七樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之1號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號七樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之2號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號七樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之3號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號八樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之2號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號八樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之1號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號八樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號八樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之3號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號九樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號九樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街1之1號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號九樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1之2號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號九樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之3號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之3號十一樓,121.368850171566,24.9277456625266
新北市三峽區八張里6鄰中園街1之2號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之2號十一樓,121.368705332279,24.9277018804982
新北市三峽區八張里6鄰中園街1之1號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1之1號十一樓,121.368734836579,24.9277529595298
新北市三峽區八張里6鄰中園街1號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,1號十一樓,121.368764340878,24.9278016062069
新北市三峽區八張里6鄰中園街2號,65,6500900,6500900-003,6鄰,中園街,,,,,,2號,121.368530249391,24.9276147106889
新北市三峽區八張里6鄰中園街2之1號,65,6500900,6500900-003,6鄰,中園街,,,,,,2之1號,121.368530249391,24.9276147106889
新北市三峽區八張里6鄰中園街3號,65,6500900,6500900-003,6鄰,中園街,,,,,,3號,121.368734836579,24.9277529595298
新北市三峽區八張里7鄰中園街4號,65,6500900,6500900-003,7鄰,中園街,,,,,,4號,121.368530249351,24.927614710689
新北市三峽區八張里6鄰中園街5之1號,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號,65,6500900,6500900-003,6鄰,中園街,,,,,,5號,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號二樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號二樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號三樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號三樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5之1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號四樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號四樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號五樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號五樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5之1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號六樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號六樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號七樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號七樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5之1號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號八樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號八樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號九樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號九樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5之1號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號十樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號十樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號十一樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號十一樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5之1號十二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號十二樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街5號十二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號十二樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5號十三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5號十三樓,121.369099701615,24.9278220427244
新北市三峽區八張里6鄰中園街5之1號十三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,5之1號十三樓,121.369064833636,24.9277466403179
新北市三峽區八張里6鄰中園街6之1號,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6號,65,6500900,6500900-003,6鄰,中園街,,,,,,6號,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街6號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6號二樓,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街6之1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號二樓,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6號三樓,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街6之1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號三樓,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6號四樓,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街6之1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號四樓,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6之1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號五樓,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6號五樓,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街6之1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6之1號六樓,121.36844000135,24.9274475320015
新北市三峽區八張里6鄰中園街6號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,6號六樓,121.368457470819,24.9275275780494
新北市三峽區八張里6鄰中園街7號,65,6500900,6500900-003,6鄰,中園街,,,,,,7號,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號二樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號二樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號三樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號三樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號四樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號四樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號五樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號五樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號六樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號六樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號七樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號七樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號七樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號八樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號八樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號八樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號九樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號九樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號九樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號十樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號十樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號十樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號十一樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號十一樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號十一樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7之1號十二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號十二樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街7號十二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號十二樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7號十三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7號十三樓,121.369027281919,24.9276663728485
新北市三峽區八張里6鄰中園街7之1號十三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,7之1號十三樓,121.368992413352,24.9275934035643
新北市三峽區八張里6鄰中園街8號,65,6500900,6500900-003,6鄰,中園街,,,,,,8號,121.368428336503,24.9273970874809
新北市三峽區八張里6鄰中園街9之1號,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號,121.368917311455,24.9274353008067
新北市三峽區八張里6鄰中園街9號,65,6500900,6500900-003,6鄰,中園街,,,,,,9號,121.368960226987,24.9275204330496
新北市三峽區八張里6鄰中園街9之1號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號二樓,121.368917311455,24.9274353008067
新北市三峽區八張里6鄰中園街9號二樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9號二樓,121.368960226987,24.9275204330496
新北市三峽區八張里6鄰中園街9號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9號三樓,121.368960226987,24.9275204330496
新北市三峽區八張里6鄰中園街9之1號三樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號三樓,121.368917311455,24.9274353008067
新北市三峽區八張里6鄰中園街9之1號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號四樓,121.368917311455,24.9274353008067
新北市三峽區八張里6鄰中園街9號四樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9號四樓,121.368960226987,24.9275204330496
新北市三峽區八張里6鄰中園街9之1號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號五樓,121.368917311455,24.9274353008067
新北市三峽區八張里6鄰中園街9號五樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9號五樓,121.368960226987,24.9275204330496
新北市三峽區八張里6鄰中園街9之1號六樓,65,6500900,6500900-003,6鄰,中園街,,,,,,9之1號六樓,121.368917311455,24.9274353008067
