FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市三重區田心里7鄰中華路96號,65,6500200,6500200-015,7鄰,中華路,,,,,,96號,121.483439629654,25.063240173252
新北市三重區田心里7鄰中華路96號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,96號二樓,121.483439827453,25.0632402265248
新北市三重區田心里7鄰中華路96號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,96號三樓,121.483439565072,25.0632403481199
新北市三重區田心里7鄰中華路96號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,96號四樓,121.483439629654,25.063240173252
新北市三重區田心里7鄰中華路98號,65,6500200,6500200-015,7鄰,中華路,,,,,,98號,121.483444004221,25.0632860217492
新北市三重區田心里7鄰中華路98號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,98號二樓,121.483444108221,25.0632860033544
新北市三重區田心里7鄰中華路98號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,98號三樓,121.483444004221,25.0632860217492
新北市三重區田心里7鄰中華路98號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,98號四樓,121.483444294242,25.0632861742826
新北市三重區田心里7鄰中華路100號,65,6500200,6500200-015,7鄰,中華路,,,,,,100號,121.483450471563,25.0633299530866
新北市三重區田心里7鄰中華路100號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,100號二樓,121.483450471563,25.0633299530866
新北市三重區田心里7鄰中華路100號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,100號三樓,121.483450471563,25.0633299530866
新北市三重區田心里7鄰中華路100號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,100號四樓,121.483450471563,25.0633299530866
新北市三重區田心里7鄰中華路102號,65,6500200,6500200-015,7鄰,中華路,,,,,,102號,121.483438064788,25.0633758562197
新北市三重區田心里7鄰中華路102號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,102號二樓,121.483438064788,25.0633758562197
新北市三重區田心里7鄰中華路102號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,102號三樓,121.483438064788,25.0633758562197
新北市三重區田心里7鄰中華路102號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,102號四樓,121.483438064788,25.0633758562197
新北市三重區田心里7鄰中華路104號,65,6500200,6500200-015,7鄰,中華路,,,,,,104號,121.483436132462,25.0634179018503
新北市三重區田心里7鄰中華路104號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,104號二樓,121.483436132462,25.0634179018503
新北市三重區田心里7鄰中華路104號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,104號三樓,121.483436132462,25.0634179018503
新北市三重區田心里7鄰中華路104號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,104號四樓,121.483436132462,25.0634179018503
新北市三重區田心里7鄰中華路106號,65,6500200,6500200-015,7鄰,中華路,,,,,,106號,121.48343842474,25.0634675805254
新北市三重區田心里7鄰中華路106號二樓,65,6500200,6500200-015,7鄰,中華路,,,,,,106號二樓,121.48343842474,25.0634675805254
新北市三重區田心里7鄰中華路106號三樓,65,6500200,6500200-015,7鄰,中華路,,,,,,106號三樓,121.48343842474,25.0634675805254
新北市三重區田心里7鄰中華路106號四樓,65,6500200,6500200-015,7鄰,中華路,,,,,,106號四樓,121.48343842474,25.0634675805254
