FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市三重區大園里20鄰大同北路79號,65,6500200,6500200-042,20鄰,大同北路,,,,,,79號,121.495105761369,25.0638229989653
新北市三重區大園里20鄰大同北路79號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,79號三樓,121.495105761369,25.0638229989653
新北市三重區大園里20鄰大同北路79號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,79號四樓,121.495105761369,25.0638229989653
新北市三重區大園里20鄰大同北路81之1號,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路81之1號地下層,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號地下層,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路81號,65,6500200,6500200-042,20鄰,大同北路,,,,,,81號,121.495015241535,25.0637468635582
新北市三重區大園里20鄰大同北路81號二樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81號二樓,121.495015241535,25.0637468635582
新北市三重區大園里20鄰大同北路81之1號二樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號二樓,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路81之1號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號三樓,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路81號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81號三樓,121.495015241535,25.0637468635582
新北市三重區大園里20鄰大同北路81之1號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號四樓,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路81之1號五樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,81之1號五樓,121.494969929666,25.0639572191864
新北市三重區大園里20鄰大同北路83號,65,6500200,6500200-042,20鄰,大同北路,,,,,,83號,121.494952253683,25.0637356087628
新北市三重區大園里20鄰大同北路83號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,83號三樓,121.494952253683,25.0637356087628
新北市三重區大園里20鄰大同北路83號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,83號四樓,121.494952253683,25.0637356087628
新北市三重區大園里20鄰大同北路85號,65,6500200,6500200-042,20鄰,大同北路,,,,,,85號,121.494891405489,25.0637339012346
新北市三重區大園里20鄰大同北路87號,65,6500200,6500200-042,20鄰,大同北路,,,,,,87號,121.494813775915,25.0637322468964
新北市三重區大園里20鄰大同北路89號,65,6500200,6500200-042,20鄰,大同北路,,,,,,89號,121.494755032695,25.0637324426411
新北市三重區大園里20鄰大同北路89號二樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,89號二樓,121.494755032695,25.0637324426411
新北市三重區大園里20鄰大同北路89號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,89號三樓,121.494755032695,25.0637324426411
新北市三重區大園里20鄰大同北路89號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,89號四樓,121.494755032695,25.0637324426411
新北市三重區大園里20鄰大同北路91號,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號二樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號二樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號三樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號四樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號五樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號五樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號六樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號六樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路91號七樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,91號七樓,121.494711045584,25.0637497877078
新北市三重區大園里20鄰大同北路93號,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號二樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號二樓,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號三樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號三樓,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號四樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號四樓,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號五樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號五樓,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號六樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號六樓,121.494658658619,25.0637652513041
新北市三重區大園里20鄰大同北路93號七樓,65,6500200,6500200-042,20鄰,大同北路,,,,,,93號七樓,121.494658658619,25.0637652513041
新北市三重區大園里14鄰大同北路95巷1號,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,1號,121.494774981175,25.0639980005707
新北市三重區大園里14鄰大同北路95巷1號二樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,1號二樓,121.494774981175,25.0639980005707
新北市三重區大園里14鄰大同北路95巷1號三樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,1號三樓,121.494774981175,25.0639980005707
新北市三重區大園里14鄰大同北路95巷1號四樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,1號四樓,121.494774981175,25.0639980005707
新北市三重區大園里19鄰大同北路95巷2號,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號二樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號二樓,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號三樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號三樓,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號四樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號四樓,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號五樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號五樓,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號六樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號六樓,121.494568991659,25.0639012277086
新北市三重區大園里19鄰大同北路95巷2號七樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,2號七樓,121.494568991659,25.0639012277086
新北市三重區大園里14鄰大同北路95巷3號,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,3號,121.494758342617,25.0640343642724
新北市三重區大園里14鄰大同北路95巷3號二樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,3號二樓,121.494758342617,25.0640343642724
新北市三重區大園里14鄰大同北路95巷3號三樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,3號三樓,121.494758342617,25.0640343642724
新北市三重區大園里14鄰大同北路95巷3號四樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,3號四樓,121.494758342617,25.0640343642724
新北市三重區大園里19鄰大同北路95巷4號,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號二樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號二樓,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號三樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號三樓,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號四樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號四樓,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號五樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號五樓,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號六樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號六樓,121.494577821145,25.0640101221795
新北市三重區大園里19鄰大同北路95巷4號七樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,4號七樓,121.494577821145,25.0640101221795
新北市三重區大園里14鄰大同北路95巷5號,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,5號,121.494748021953,25.0640764370482
新北市三重區大園里14鄰大同北路95巷5號二樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,5號二樓,121.494748021953,25.0640764370482
新北市三重區大園里14鄰大同北路95巷5號三樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,5號三樓,121.494748021953,25.0640764370482
新北市三重區大園里14鄰大同北路95巷5號四樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,5號四樓,121.494748021953,25.0640764370482
新北市三重區大園里19鄰大同北路95巷6號,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號二樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號二樓,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號三樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號三樓,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號四樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號四樓,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號五樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號五樓,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號六樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號六樓,121.494578035962,25.0640636282318
新北市三重區大園里19鄰大同北路95巷6號七樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,6號七樓,121.494578035962,25.0640636282318
新北市三重區大園里14鄰大同北路95巷7號,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,7號,121.494743980833,25.0641146691162
新北市三重區大園里14鄰大同北路95巷7號二樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,7號二樓,121.494743980833,25.0641146691162
新北市三重區大園里14鄰大同北路95巷7號三樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,7號三樓,121.494743980833,25.0641146691162
新北市三重區大園里14鄰大同北路95巷7號四樓,65,6500200,6500200-042,14鄰,大同北路,,95巷,,,,7號四樓,121.494743980833,25.0641146691162
新北市三重區大園里19鄰大同北路95巷8號,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,8號,121.494574267009,25.0641706516116
新北市三重區大園里19鄰大同北路95巷8號二樓,65,6500200,6500200-042,19鄰,大同北路,,95巷,,,,8號二樓,121.494574267009,25.0641706516116
