FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市板橋區自立里1鄰大智街27號,65,6500100,6500100-012,1鄰,大智街,,,,,,27號,121.454931048751,25.0150356410253
新北市板橋區自立里1鄰大智街27號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,27號二樓,121.454931048751,25.0150356410253
新北市板橋區自立里1鄰大智街27號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,27號三樓,121.454931048751,25.0150356410253
新北市板橋區自立里1鄰大智街27號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,27號四樓,121.454931048751,25.0150356410253
新北市板橋區自立里1鄰大智街29號,65,6500100,6500100-012,1鄰,大智街,,,,,,29號,121.454881392011,25.0150764007921
新北市板橋區自立里1鄰大智街29號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,29號二樓,121.454881392011,25.0150764007921
新北市板橋區自立里1鄰大智街29號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,29號三樓,121.454881392011,25.0150764007921
新北市板橋區自立里1鄰大智街29號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,29號四樓,121.454881392011,25.0150764007921
新北市板橋區自立里1鄰大智街31號,65,6500100,6500100-012,1鄰,大智街,,,,,,31號,121.454737555253,25.0151699998225
新北市板橋區自立里1鄰大智街31號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,31號二樓,121.454737555253,25.0151699998225
新北市板橋區自立里1鄰大智街31號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,31號三樓,121.454737555253,25.0151699998225
新北市板橋區自立里1鄰大智街31號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,31號四樓,121.454737555253,25.0151699998225
新北市板橋區自立里1鄰大智街31號五樓,65,6500100,6500100-012,1鄰,大智街,,,,,,31號五樓,121.454737555253,25.0151699998225
新北市板橋區自立里1鄰大智街33號,65,6500100,6500100-012,1鄰,大智街,,,,,,33號,121.454690404641,25.0151796985327
新北市板橋區自立里1鄰大智街33號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,33號二樓,121.454690404641,25.0151796985327
新北市板橋區自立里1鄰大智街33號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,33號三樓,121.454690404641,25.0151796985327
新北市板橋區自立里1鄰大智街33號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,33號四樓,121.454690404641,25.0151796985327
新北市板橋區自立里1鄰大智街33號五樓,65,6500100,6500100-012,1鄰,大智街,,,,,,33號五樓,121.454690404641,25.0151796985327
新北市板橋區自立里1鄰大智街35號,65,6500100,6500100-012,1鄰,大智街,,,,,,35號,121.454648532406,25.0151989365153
新北市板橋區自立里1鄰大智街35號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,35號二樓,121.454648532406,25.0151989365153
新北市板橋區自立里1鄰大智街37號,65,6500100,6500100-012,1鄰,大智街,,,,,,37號,121.454598724997,25.0151990887967
新北市板橋區自立里1鄰大智街37號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,37號二樓,121.454598724997,25.0151990887967
新北市板橋區自立里1鄰大智街37號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,37號三樓,121.454598724997,25.0151990887967
新北市板橋區自立里1鄰大智街37號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,37號四樓,121.454598724997,25.0151990887967
新北市板橋區自立里1鄰大智街37號五樓,65,6500100,6500100-012,1鄰,大智街,,,,,,37號五樓,121.454598724997,25.0151990887967
新北市板橋區自立里1鄰大智街39號,65,6500100,6500100-012,1鄰,大智街,,,,,,39號,121.454530647519,25.0152207948133
新北市板橋區自立里1鄰大智街39號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,39號二樓,121.454530647519,25.0152207948133
新北市板橋區自立里1鄰大智街39號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,39號三樓,121.454530647519,25.0152207948133
新北市板橋區自立里1鄰大智街39號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,39號四樓,121.454530647519,25.0152207948133
新北市板橋區自立里1鄰大智街41號,65,6500100,6500100-012,1鄰,大智街,,,,,,41號,121.454475632074,25.0152305183995
新北市板橋區自立里1鄰大智街41號二樓,65,6500100,6500100-012,1鄰,大智街,,,,,,41號二樓,121.454475632074,25.0152305183995
新北市板橋區自立里1鄰大智街41號三樓,65,6500100,6500100-012,1鄰,大智街,,,,,,41號三樓,121.454475632074,25.0152305183995
新北市板橋區自立里1鄰大智街41號四樓,65,6500100,6500100-012,1鄰,大智街,,,,,,41號四樓,121.454475632074,25.0152305183995
新北市板橋區自立里1鄰大智街43號,65,6500100,6500100-012,1鄰,大智街,,,,,,43號,121.454418066344,25.015259358806
