FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市八里區埤頭里4鄰挖子尾街6號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,6號,121.415693684642,25.1645505816463
新北市八里區埤頭里4鄰挖子尾街8號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,8號,121.415629245642,25.1645857947456
新北市八里區埤頭里4鄰挖子尾街10號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,10號,121.41560054091,25.164614406608
新北市八里區埤頭里4鄰挖子尾街12號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,12號,121.415568713753,25.1646391449055
新北市八里區埤頭里4鄰挖子尾街16號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,16號,121.415511479792,25.1646998894014
新北市八里區埤頭里4鄰挖子尾街18號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,18號,121.415541666854,25.1646740723559
新北市八里區埤頭里4鄰挖子尾街20號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,20號,121.415519979364,25.1648901045482
新北市八里區埤頭里4鄰挖子尾街22號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,22號,121.415596212559,25.1649307011491
新北市八里區埤頭里4鄰挖子尾街26號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,26號,121.415641177355,25.1649677740137
新北市八里區埤頭里4鄰挖子尾街28號,65,6502300,6502300-004,4鄰,挖子尾街,,,,,,28號,121.415951369787,25.1651367365094
新北市八里區埤頭里3鄰挖子尾街30號,65,6502300,6502300-004,3鄰,挖子尾街,,,,,,30號,121.41592085405,25.1653551410116
新北市八里區埤頭里3鄰挖子尾街32號,65,6502300,6502300-004,3鄰,挖子尾街,,,,,,32號,121.415816815629,25.1656568180057
新北市八里區埤頭里3鄰挖子尾街36號,65,6502300,6502300-004,3鄰,挖子尾街,,,,,,36號,121.415748807409,25.1657013408636
新北市八里區埤頭里3鄰挖子尾街38號,65,6502300,6502300-004,3鄰,挖子尾街,,,,,,38號,121.415653843871,25.1657354658654
新北市八里區埤頭里3鄰挖子尾街40號,65,6502300,6502300-004,3鄰,挖子尾街,,,,,,40號,121.415674919621,25.1658700275946
新北市八里區埤頭里2鄰挖子尾街42巷5號,65,6502300,6502300-004,2鄰,挖子尾街,,42巷,,,,5號,121.415870149953,25.166183233619
新北市八里區埤頭里3鄰挖子尾街42巷6弄6號,65,6502300,6502300-004,3鄰,挖子尾街,,42巷,6弄,,,6號,121.415834730215,25.1657760394078
新北市八里區埤頭里2鄰挖子尾街42巷7號,65,6502300,6502300-004,2鄰,挖子尾街,,42巷,,,,7號,121.415753016369,25.1662669896176
新北市八里區埤頭里3鄰挖子尾街42巷8號,65,6502300,6502300-004,3鄰,挖子尾街,,42巷,,,,8號,121.415855706709,25.1659777764155
新北市八里區埤頭里2鄰挖子尾街46號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,46號,121.415712368068,25.1661517143738
新北市八里區埤頭里2鄰挖子尾街48號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,48號,121.415815414624,25.1663294749337
新北市八里區埤頭里2鄰挖子尾街50號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,50號,121.415783927842,25.1663581849228
新北市八里區埤頭里2鄰挖子尾街52號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,52號,121.415765906929,25.1664006714152
新北市八里區埤頭里2鄰挖子尾街58號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,58號,121.415474896157,25.1662911552408
新北市八里區埤頭里2鄰挖子尾街60號,65,6502300,6502300-004,2鄰,挖子尾街,,,,,,60號,121.415420252662,25.1663197495777
新北市八里區埤頭里1鄰挖子尾街62號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,62號,121.415355857176,25.1663439471602
新北市八里區埤頭里1鄰挖子尾街62之1號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,62之1號,121.415358555442,25.1665366162996
新北市八里區埤頭里1鄰挖子尾街66號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,66號,121.415230098252,25.166659498808
新北市八里區埤頭里1鄰挖子尾街68號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,68號,121.4152671427,25.166604679819
新北市八里區埤頭里1鄰挖子尾街70號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,70號,121.415121723084,25.1667927984009
新北市八里區埤頭里1鄰挖子尾街73號,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,73號,121.414840775049,25.1668763809731
新北市八里區埤頭里1鄰挖子尾街152號之1,65,6502300,6502300-004,1鄰,挖子尾街,,,,,,152號之1,121.412301002011,25.1658001631448
