FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市新店區永安里2鄰新和街31巷2號,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,2號,121.518966284083,24.9850935202765
新北市新店區永安里2鄰新和街31巷2號二樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,2號二樓,121.518966284083,24.9850935202765
新北市新店區永安里2鄰新和街31巷2號三樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,2號三樓,121.518966284083,24.9850935202765
新北市新店區永安里2鄰新和街31巷2號四樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,2號四樓,121.518966284083,24.9850935202765
新北市新店區永安里2鄰新和街31巷2號五樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,2號五樓,121.518966284083,24.9850935202765
新北市新店區永安里2鄰新和街31巷4號,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,4號,121.519081998487,24.9851886689748
新北市新店區永安里2鄰新和街31巷4號二樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,4號二樓,121.519081998487,24.9851886689748
新北市新店區永安里2鄰新和街31巷4號三樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,4號三樓,121.519081998487,24.9851886689748
新北市新店區永安里2鄰新和街31巷4號四樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,4號四樓,121.519081998487,24.9851886689748
新北市新店區永安里2鄰新和街31巷4號五樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,4號五樓,121.519081998487,24.9851886689748
新北市新店區永安里2鄰新和街31巷6號,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,6號,121.51897497816,24.9852917564956
新北市新店區永安里2鄰新和街31巷6號二樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,6號二樓,121.51897497816,24.9852917564956
新北市新店區永安里2鄰新和街31巷6號三樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,6號三樓,121.51897497816,24.9852917564956
新北市新店區永安里2鄰新和街31巷6號四樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,6號四樓,121.51897497816,24.9852917564956
新北市新店區永安里2鄰新和街31巷6號五樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,6號五樓,121.51897497816,24.9852917564956
新北市新店區永安里2鄰新和街31巷8號,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,8號,121.518890832332,24.9852251647719
新北市新店區永安里2鄰新和街31巷8號二樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,8號二樓,121.518890832332,24.9852251647719
新北市新店區永安里2鄰新和街31巷8號三樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,8號三樓,121.518890832332,24.9852251647719
新北市新店區永安里2鄰新和街31巷8號四樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,8號四樓,121.518890832332,24.9852251647719
新北市新店區永安里2鄰新和街31巷8號五樓,65,6500600,6500600-015,2鄰,新和街,,31巷,,,,8號五樓,121.518890832332,24.9852251647719
新北市新店區永安里24鄰新和街31巷10弄1號,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,1號,121.518647941686,24.9854266605019
新北市新店區永安里24鄰新和街31巷10弄1號二樓,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,1號二樓,121.518647941686,24.9854266605019
新北市新店區永安里24鄰新和街31巷10弄1號三樓,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,1號三樓,121.518647941686,24.9854266605019
新北市新店區永安里24鄰新和街31巷10弄1號四樓,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,1號四樓,121.518647941686,24.9854266605019
新北市新店區永安里24鄰新和街31巷10弄1號五樓,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,1號五樓,121.518647941686,24.9854266605019
新北市新店區永安里24鄰新和街31巷10弄2號,65,6500600,6500600-015,24鄰,新和街,,31巷,10弄,,,2號,121.518741919828,24.9853379526845
