FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市板橋區新興里1鄰新興路1號,65,6500100,6500100-007,1鄰,新興路,,,,,,1號,121.456185201877,25.0071891560468
新北市板橋區新興里2鄰新興路2之3號,65,6500100,6500100-007,2鄰,新興路,,,,,,2之3號,121.456419173848,25.0073723695109
新北市板橋區新興里2鄰新興路2號,65,6500100,6500100-007,2鄰,新興路,,,,,,2號,121.456374259411,25.0072769584065
新北市板橋區新興里2鄰新興路2之2號,65,6500100,6500100-007,2鄰,新興路,,,,,,2之2號,121.456387550934,25.0073270809451
新北市板橋區新興里1鄰新興路3號,65,6500100,6500100-007,1鄰,新興路,,,,,,3號,121.456154355676,25.0071502651296
新北市板橋區新興里2鄰新興路4號,65,6500100,6500100-007,2鄰,新興路,,,,,,4號,121.456311384351,25.0072867067582
新北市板橋區新興里1鄰新興路5號,65,6500100,6500100-007,1鄰,新興路,,,,,,5號,121.456119392255,25.007114114248
新北市板橋區新興里2鄰新興路6號,65,6500100,6500100-007,2鄰,新興路,,,,,,6號,121.456274743666,25.0073023458477
新北市板橋區新興里1鄰新興路7號,65,6500100,6500100-007,1鄰,新興路,,,,,,7號,121.456074738352,25.0070891690685
新北市板橋區新興里2鄰新興路8號,65,6500100,6500100-007,2鄰,新興路,,,,,,8號,121.456227662354,25.0073299603458
新北市板橋區新興里1鄰新興路9號,65,6500100,6500100-007,1鄰,新興路,,,,,,9號,121.456048446691,25.0070677517642
新北市板橋區新興里1鄰新興路9號二樓,65,6500100,6500100-007,1鄰,新興路,,,,,,9號二樓,121.45604769987,25.0070694116297
新北市板橋區新興里1鄰新興路9號三樓,65,6500100,6500100-007,1鄰,新興路,,,,,,9號三樓,121.45604769987,25.0070694116297
新北市板橋區新興里1鄰新興路9號四樓,65,6500100,6500100-007,1鄰,新興路,,,,,,9號四樓,121.45604769987,25.0070694116297
新北市板橋區新興里2鄰新興路10號,65,6500100,6500100-007,2鄰,新興路,,,,,,10號,121.456193731306,25.0073694778852
新北市板橋區新興里1鄰新興路11號,65,6500100,6500100-007,1鄰,新興路,,,,,,11號,121.45601953703,25.0070475360086
新北市板橋區新興里1鄰新興路11號二樓,65,6500100,6500100-007,1鄰,新興路,,,,,,11號二樓,121.456018195585,25.0070475347046
新北市板橋區新興里1鄰新興路11號三樓,65,6500100,6500100-007,1鄰,新興路,,,,,,11號三樓,121.456018195585,25.0070475347046
新北市板橋區新興里1鄰新興路11號四樓,65,6500100,6500100-007,1鄰,新興路,,,,,,11號四樓,121.456018195585,25.0070475347046
新北市板橋區新興里2鄰新興路12號,65,6500100,6500100-007,2鄰,新興路,,,,,,12號,121.456146824008,25.0074173953175
新北市板橋區新興里1鄰新興路13號,65,6500100,6500100-007,1鄰,新興路,,,,,,13號,121.455990597504,25.0070189602356
新北市板橋區新興里1鄰新興路13號二樓,65,6500100,6500100-007,1鄰,新興路,,,,,,13號二樓,121.455991373023,25.007018364706
新北市板橋區新興里1鄰新興路13號三樓,65,6500100,6500100-007,1鄰,新興路,,,,,,13號三樓,121.455991373023,25.007018364706
新北市板橋區新興里1鄰新興路13號四樓,65,6500100,6500100-007,1鄰,新興路,,,,,,13號四樓,121.455991373023,25.007018364706
新北市板橋區新興里2鄰新興路14號,65,6500100,6500100-007,2鄰,新興路,,,,,,14號,121.45611798378,25.0074425658797
新北市板橋區新興里1鄰新興路15號,65,6500100,6500100-007,1鄰,新興路,,,,,,15號,121.455951176703,25.0069916110179
新北市板橋區新興里2鄰新興路16號,65,6500100,6500100-007,2鄰,新興路,,,,,,16號,121.456086643228,25.0074737153477
新北市板橋區新興里2鄰新興路16號二樓,65,6500100,6500100-007,2鄰,新興路,,,,,,16號二樓,121.456086643228,25.0074737153477
新北市板橋區新興里2鄰新興路16號三樓,65,6500100,6500100-007,2鄰,新興路,,,,,,16號三樓,121.456086643228,25.0074737153477
新北市板橋區新興里1鄰新興路17號,65,6500100,6500100-007,1鄰,新興路,,,,,,17號,121.455922210755,25.0069558696383
新北市板橋區新興里2鄰新興路18號,65,6500100,6500100-007,2鄰,新興路,,,,,,18號,121.456050086249,25.0075120464777
新北市板橋區新興里1鄰新興路19號,65,6500100,6500100-007,1鄰,新興路,,,,,,19號,121.455885399177,25.0069249291159
新北市板橋區新興里2鄰新興路20之1號,65,6500100,6500100-007,2鄰,新興路,,,,,,20之1號,121.456003859639,25.0075547857501
新北市板橋區新興里2鄰新興路20號,65,6500100,6500100-007,2鄰,新興路,,,,,,20號,121.455963849718,25.007584062409
新北市板橋區新興里1鄰新興路21號,65,6500100,6500100-007,1鄰,新興路,,,,,,21號,121.455866952236,25.0068987100149
