FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市新店區柴埕里29鄰柴埕路2之1號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,2之1號,121.514866281575,24.9659735281692
新北市新店區柴埕里29鄰柴埕路2號之2,65,6500600,6500600-014,29鄰,柴埕路,,,,,,2號之2,121.51449944015,24.9659771848113
新北市新店區柴埕里29鄰柴埕路20巷2號,65,6500600,6500600-014,29鄰,柴埕路,,20巷,,,,2號,121.513964567442,24.9659025912832
新北市新店區柴埕里29鄰柴埕路20巷4號,65,6500600,6500600-014,29鄰,柴埕路,,20巷,,,,4號,121.513925421188,24.965940946326
新北市新店區柴埕里29鄰柴埕路20巷6號,65,6500600,6500600-014,29鄰,柴埕路,,20巷,,,,6號,121.513896706444,24.9659673210655
新北市新店區柴埕里29鄰柴埕路20巷8號,65,6500600,6500600-014,29鄰,柴埕路,,20巷,,,,8號,121.513852328999,24.9660080820983
新北市新店區柴埕里29鄰柴埕路20巷10號,65,6500600,6500600-014,29鄰,柴埕路,,20巷,,,,10號,121.513800051245,24.9660393167486
新北市新店區柴埕里29鄰柴埕路21號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,21號,121.514181898803,24.9658636210673
新北市新店區柴埕里29鄰柴埕路22巷2號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,2號,121.513833300856,24.9658433264378
新北市新店區柴埕里29鄰柴埕路22巷4號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,4號,121.513775861449,24.9658936888576
新北市新店區柴埕里29鄰柴埕路22巷5號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,5號,121.513524448113,24.96592919183
新北市新店區柴埕里29鄰柴埕路22巷20之1號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,20之1號,121.512515569485,24.9672590900462
新北市新店區柴埕里29鄰柴埕路22巷20號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,20號,121.512508947566,24.9669212021876
新北市新店區柴埕里29鄰柴埕路22巷22號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,22號,121.512890160084,24.9666058059876
新北市新店區柴埕里29鄰柴埕路22巷30號,65,6500600,6500600-014,29鄰,柴埕路,,22巷,,,,30號,121.511358807762,24.9690811328998
新北市新店區柴埕里29鄰柴埕路23號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,23號,121.514108459447,24.965847152623
新北市新店區柴埕里29鄰柴埕路24號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,24號,121.513732373715,24.965711897856
新北市新店區柴埕里29鄰柴埕路25號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,25號,121.514092559624,24.9658042116708
新北市新店區柴埕里29鄰柴埕路26號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,26號,121.513724430119,24.9654973374022
新北市新店區柴埕里29鄰柴埕路27號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,27號,121.514040143095,24.9658020046671
新北市新店區柴埕里29鄰柴埕路28號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,28號,121.513690027181,24.9654162412007
新北市新店區柴埕里29鄰柴埕路29號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,29號,121.514005968071,24.9657758469957
新北市新店區柴埕里29鄰柴埕路30號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,30號,121.513647925336,24.9653733905809
新北市新店區柴埕里29鄰柴埕路30號二樓,65,6500600,6500600-014,29鄰,柴埕路,,,,,,30號二樓,121.513647925336,24.9653733905809
新北市新店區柴埕里29鄰柴埕路30號三樓,65,6500600,6500600-014,29鄰,柴埕路,,,,,,30號三樓,121.513647925336,24.9653733905809
新北市新店區柴埕里29鄰柴埕路31號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,31號,121.513971796032,24.9657496893059
新北市新店區柴埕里29鄰柴埕路32號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,32號,121.513626803531,24.965335243498
新北市新店區柴埕里29鄰柴埕路32號二樓,65,6500600,6500600-014,29鄰,柴埕路,,,,,,32號二樓,121.513626803531,24.965335243498
新北市新店區柴埕里29鄰柴埕路32號三樓,65,6500600,6500600-014,29鄰,柴埕路,,,,,,32號三樓,121.513626803531,24.965335243498
新北市新店區柴埕里29鄰柴埕路33號,65,6500600,6500600-014,29鄰,柴埕路,,,,,,33號,121.513935021332,24.9657283155997
