FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市新店區直潭里15鄰直潭七街7號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,7號,121.534476578236,24.9401815613136
新北市新店區直潭里15鄰直潭七街8號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,8號,121.534649584357,24.9404174035552
新北市新店區直潭里15鄰直潭七街18號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,18號,121.534070075724,24.940269879771
新北市新店區直潭里15鄰直潭七街19號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,19號,121.533985338561,24.9400607372993
新北市新店區直潭里15鄰直潭七街22號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,22號,121.533943957632,24.9402281447304
新北市新店區直潭里15鄰直潭七街25號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,25號,121.533560174544,24.9398866851819
新北市新店區直潭里15鄰直潭七街26號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,26號,121.533677748272,24.940177314367
新北市新店區直潭里15鄰直潭七街28號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,28號,121.533544629242,24.9401200394377
新北市新店區直潭里15鄰直潭七街29號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,29號,121.533460429856,24.9398428563916
新北市新店區直潭里15鄰直潭七街30號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,30號,121.533393515777,24.9400848386483
新北市新店區直潭里15鄰直潭七街31號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,31號,121.533175864455,24.9397704212953
新北市新店區直潭里15鄰直潭七街33號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,33號,121.533093386473,24.939747318009
新北市新店區直潭里15鄰直潭七街38號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,38號,121.533058827775,24.9399591448433
新北市新店區直潭里15鄰直潭七街58號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,58號,121.532518362773,24.939788896063
新北市新店區直潭里15鄰直潭七街60號,65,6500600,6500600-029,15鄰,直潭七街,,,,,,60號,121.532380840961,24.9397935676649
