FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市新店區華城里5鄰禾豐一路2號,65,6500600,6500600-069,5鄰,禾豐一路,,,,,,2號,121.514284908772,24.9333593626697
新北市新店區華城里5鄰禾豐一路6號,65,6500600,6500600-069,5鄰,禾豐一路,,,,,,6號,121.51439756155,24.9332450481027
新北市新店區華城里5鄰禾豐一路8巷1號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,1號,121.514886858794,24.9331478284322
新北市新店區華城里5鄰禾豐一路8巷2號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,2號,121.514502167702,24.9331307334296
新北市新店區華城里5鄰禾豐一路8巷3號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,3號,121.514915664814,24.9330580551529
新北市新店區華城里5鄰禾豐一路8巷5號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,5號,121.515117286926,24.933015611974
新北市新店區華城里5鄰禾豐一路8巷6號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,6號,121.514550447464,24.9330091219588
新北市新店區華城里5鄰禾豐一路8巷7號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,7號,121.51523608156,24.9330449936264
新北市新店區華城里5鄰禾豐一路8巷8號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,8號,121.514612138272,24.9328875103681
新北市新店區華城里5鄰禾豐一路8巷9號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,9號,121.515374698261,24.9330776344509
新北市新店區華城里5鄰禾豐一路8巷10號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,10號,121.515727937222,24.933026147572
新北市新店區華城里5鄰禾豐一路8巷11號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,11號,121.51544129802,24.933182122557
新北市新店區華城里5鄰禾豐一路8巷12號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,12號,121.515687704087,24.9332231580671
新北市新店區華城里5鄰禾豐一路8巷13號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,13號,121.515403505242,24.9333143380041
新北市新店區華城里5鄰禾豐一路8巷15號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,15號,121.515389101519,24.9334432946318
新北市新店區華城里5鄰禾豐一路8巷17號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,17號,121.515336334706,24.9335825189924
新北市新店區華城里5鄰禾豐一路8巷19號,65,6500600,6500600-069,5鄰,禾豐一路,,8巷,,,,19號,121.515324300213,24.9336848874129
新北市新店區華城里5鄰禾豐一路10號,65,6500600,6500600-069,5鄰,禾豐一路,,,,,,10號,121.51482000947,24.93322619835
