FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市新店區粗坑里7鄰金興路1號,65,6500600,6500600-025,7鄰,金興路,,,,,,1號,121.548445342856,24.9297437266751
新北市新店區粗坑里7鄰金興路10號,65,6500600,6500600-025,7鄰,金興路,,,,,,10號,121.550119139075,24.9305514040941
新北市新店區粗坑里7鄰金興路12之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,12之1號,121.550190721673,24.929627830684
新北市新店區粗坑里7鄰金興路12號,65,6500600,6500600-025,7鄰,金興路,,,,,,12號,121.550094407171,24.9296829177829
新北市新店區粗坑里7鄰金興路12號二樓,65,6500600,6500600-025,7鄰,金興路,,,,,,12號二樓,121.550094407171,24.9296829177829
新北市新店區粗坑里7鄰金興路18號,65,6500600,6500600-025,7鄰,金興路,,,,,,18號,121.550577447112,24.9297382468388
新北市新店區粗坑里7鄰金興路20號,65,6500600,6500600-025,7鄰,金興路,,,,,,20號,121.550812930053,24.9298753972643
新北市新店區粗坑里7鄰金興路22號,65,6500600,6500600-025,7鄰,金興路,,,,,,22號,121.550750266837,24.929868490202
新北市新店區粗坑里7鄰金興路24之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,24之1號,121.551677428632,24.9300292575622
新北市新店區粗坑里7鄰金興路24號,65,6500600,6500600-025,7鄰,金興路,,,,,,24號,121.551693477694,24.9301172465474
新北市新店區粗坑里7鄰金興路24之2號,65,6500600,6500600-025,7鄰,金興路,,,,,,24之2號,121.551666693641,24.9299626673997
新北市新店區粗坑里7鄰金興路28之2號,65,6500600,6500600-025,7鄰,金興路,,,,,,28之2號,121.551276672205,24.9302853651082
新北市新店區粗坑里7鄰金興路28號,65,6500600,6500600-025,7鄰,金興路,,,,,,28號,121.550865662515,24.9299965648414
新北市新店區粗坑里7鄰金興路28之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,28之1號,121.551151153852,24.9302287168846
新北市新店區粗坑里7鄰金興路28之3號,65,6500600,6500600-025,7鄰,金興路,,,,,,28之3號,121.550981169013,24.9301270197118
新北市新店區粗坑里7鄰金興路28之3號二樓,65,6500600,6500600-025,7鄰,金興路,,,,,,28之3號二樓,121.550981169013,24.9301270197118
新北市新店區粗坑里7鄰金興路33號,65,6500600,6500600-025,7鄰,金興路,,,,,,33號,121.552485320807,24.9315349714767
新北市新店區粗坑里7鄰金興路35號,65,6500600,6500600-025,7鄰,金興路,,,,,,35號,121.552566444141,24.9315846445292
新北市新店區粗坑里7鄰金興路36之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,36之1號,121.553348923144,24.9307644968871
新北市新店區粗坑里7鄰金興路36號,65,6500600,6500600-025,7鄰,金興路,,,,,,36號,121.553188917874,24.9307185181876
新北市新店區粗坑里7鄰金興路37之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,37之1號,121.552345776555,24.9318448450874
新北市新店區粗坑里7鄰金興路37號,65,6500600,6500600-025,7鄰,金興路,,,,,,37號,121.552394427192,24.9316352549589
新北市新店區粗坑里7鄰金興路38號之1,65,6500600,6500600-025,7鄰,金興路,,,,,,38號之1,121.553389719435,24.9304790999944
新北市新店區粗坑里7鄰金興路38號,65,6500600,6500600-025,7鄰,金興路,,,,,,38號,121.553490003309,24.9303509317016
新北市新店區粗坑里7鄰金興路38號之6,65,6500600,6500600-025,7鄰,金興路,,,,,,38號之6,121.554815769196,24.9296574626006
新北市新店區粗坑里7鄰金興路39號,65,6500600,6500600-025,7鄰,金興路,,,,,,39號,121.552209669122,24.9317549220975
新北市新店區粗坑里7鄰金興路40號,65,6500600,6500600-025,7鄰,金興路,,,,,,40號,121.552708674463,24.9318768157319
新北市新店區粗坑里7鄰金興路40之1號,65,6500600,6500600-025,7鄰,金興路,,,,,,40之1號,121.552696124764,24.9319887062238
新北市新店區粗坑里7鄰金興路41號,65,6500600,6500600-025,7鄰,金興路,,,,,,41號,121.552118159263,24.9317171864829
新北市新店區粗坑里7鄰金興路43號,65,6500600,6500600-025,7鄰,金興路,,,,,,43號,121.552073476096,24.9316459624477
新北市新店區粗坑里7鄰金興路43號之1,65,6500600,6500600-025,7鄰,金興路,,,,,,43號之1,121.551991788986,24.9315387730424
