FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市土城區頂埔里1鄰頂埔街1之1號,65,6501300,6501300-023,1鄰,頂埔街,,,,,,1之1號,121.416811468445,24.958232215928
新北市土城區頂埔里3鄰頂埔街2號,65,6501300,6501300-023,3鄰,頂埔街,,,,,,2號,121.416830287432,24.958370332035
新北市土城區頂埔里3鄰頂埔街2號二樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,2號二樓,121.416830287432,24.958370332035
新北市土城區頂埔里3鄰頂埔街2號三樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,2號三樓,121.416830287432,24.958370332035
新北市土城區頂埔里3鄰頂埔街2號四樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,2號四樓,121.416830287432,24.958370332035
新北市土城區頂埔里1鄰頂埔街3號,65,6501300,6501300-023,1鄰,頂埔街,,,,,,3號,121.416798772428,24.9582698903493
新北市土城區頂埔里1鄰頂埔街5號,65,6501300,6501300-023,1鄰,頂埔街,,,,,,5號,121.416760913656,24.9583100075475
新北市土城區頂埔里1鄰頂埔街5號二樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,5號二樓,121.416760913656,24.9583100075475
新北市土城區頂埔里1鄰頂埔街5號三樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,5號三樓,121.416760913656,24.9583100075475
新北市土城區頂埔里1鄰頂埔街5號四樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,5號四樓,121.416760913656,24.9583100075475
新北市土城區頂埔里1鄰頂埔街5號五樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,5號五樓,121.416760913656,24.9583100075475
新北市土城區頂埔里3鄰頂埔街6號,65,6501300,6501300-023,3鄰,頂埔街,,,,,,6號,121.416803945984,24.958407548088
新北市土城區頂埔里3鄰頂埔街6號二樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,6號二樓,121.416803945984,24.958407548088
新北市土城區頂埔里3鄰頂埔街6號三樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,6號三樓,121.416803945984,24.958407548088
新北市土城區頂埔里3鄰頂埔街6號四樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,6號四樓,121.416803945984,24.958407548088
新北市土城區頂埔里1鄰頂埔街7號二樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,7號二樓,121.416740142721,24.9583667980504
新北市土城區頂埔里1鄰頂埔街7號三樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,7號三樓,121.416740142721,24.9583667980504
新北市土城區頂埔里1鄰頂埔街7號四樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,7號四樓,121.416740142721,24.9583667980504
新北市土城區頂埔里1鄰頂埔街7號五樓,65,6501300,6501300-023,1鄰,頂埔街,,,,,,7號五樓,121.416740142721,24.9583667980504
新北市土城區頂埔里3鄰頂埔街8號,65,6501300,6501300-023,3鄰,頂埔街,,,,,,8號,121.416763237323,24.9584540673519
新北市土城區頂埔里3鄰頂埔街8號二樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,8號二樓,121.416763237323,24.9584540673519
新北市土城區頂埔里3鄰頂埔街8號三樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,8號三樓,121.416763237323,24.9584540673519
新北市土城區頂埔里3鄰頂埔街8號四樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,8號四樓,121.416763237323,24.9584540673519
新北市土城區頂埔里3鄰頂埔街10號,65,6501300,6501300-023,3鄰,頂埔街,,,,,,10號,121.416720297079,24.9585031388228
新北市土城區頂埔里3鄰頂埔街10號二樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,10號二樓,121.416720297079,24.9585031388228
新北市土城區頂埔里3鄰頂埔街10號三樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,10號三樓,121.416720297079,24.9585031388228
新北市土城區頂埔里3鄰頂埔街10號四樓,65,6501300,6501300-023,3鄰,頂埔街,,,,,,10號四樓,121.416720297079,24.9585031388228
新北市土城區頂埔里1鄰頂埔街11巷1號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,1號,121.416625530823,24.9581342195704
新北市土城區頂埔里1鄰頂埔街11巷1號二樓,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,1號二樓,121.416625530823,24.9581342195704
新北市土城區頂埔里1鄰頂埔街11巷2號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,2號,121.416549709614,24.9582989810438
新北市土城區頂埔里1鄰頂埔街11巷3號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,3號,121.416587618567,24.9581097235534
新北市土城區頂埔里1鄰頂埔街11巷3號二樓,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,3號二樓,121.416587618567,24.9581097235534
新北市土城區頂埔里1鄰頂埔街11巷4號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,4號,121.416494474037,24.9582508432477
新北市土城區頂埔里1鄰頂埔街11巷5號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,5號,121.416564943612,24.9581402574127
新北市土城區頂埔里1鄰頂埔街11巷5號二樓,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,5號二樓,121.416564943612,24.9581402574127
新北市土城區頂埔里1鄰頂埔街11巷6號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,6號,121.416455844415,24.9582271256357
新北市土城區頂埔里1鄰頂埔街11巷7號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,7號,121.416542268647,24.9581707912685
新北市土城區頂埔里1鄰頂埔街11巷7號二樓,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,7號二樓,121.416542268647,24.9581707912685
新北市土城區頂埔里1鄰頂埔街11巷8號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,8號,121.416280372671,24.9583322448831
新北市土城區頂埔里1鄰頂埔街11巷9號,65,6501300,6501300-023,1鄰,頂埔街,,11巷,,,,9號,121.416519010319,24.9582016066289
