FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新北市八里區龍源里15鄰龍形三街1號,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號二樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號三樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號三樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號四樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號五樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號五樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號六樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號六樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號七樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號七樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號八樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號八樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號九樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號九樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號十樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號十樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號十一樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號十一樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號十二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號十二樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號十三樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號十三樓,121.451096666257,25.1318396372995
新北市八里區龍源里15鄰龍形三街1號十四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,1號十四樓,121.451096666257,25.1318396372995
新北市八里區龍源里16鄰龍形三街2號,65,6502300,6502300-001,16鄰,龍形三街,,,,,,2號,121.45047052805,25.1318973405591
新北市八里區龍源里16鄰龍形三街2號二樓,65,6502300,6502300-001,16鄰,龍形三街,,,,,,2號二樓,121.45047052805,25.1318973405591
新北市八里區龍源里15鄰龍形三街3號,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號二樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號二樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號二樓之2,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號二樓之2,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號二樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號四樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號四樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號四樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號五樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號五樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號五樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號五樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號六樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號六樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號六樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號六樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號七樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號七樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號七樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號七樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號八樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號八樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號八樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號八樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號九樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號九樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號九樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號九樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十一樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十一樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十一樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十一樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十二樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十二樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十二樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十三樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十三樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十三樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十三樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十四樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十四樓之1,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街3號十四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,3號十四樓,121.451042429515,25.1318388994905
新北市八里區龍源里15鄰龍形三街5號,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號二樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號二樓之2,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號二樓之2,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號二樓之1,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號二樓之1,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號四樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號五樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號五樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號六樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號六樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號七樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號七樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號八樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號八樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號九樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號九樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號十樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號十樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號十一樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號十一樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號十二樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號十二樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號十三樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號十三樓,121.450978199584,25.1318344902147
新北市八里區龍源里15鄰龍形三街5號十四樓,65,6502300,6502300-001,15鄰,龍形三街,,,,,,5號十四樓,121.450978199584,25.1318344902147
新北市八里區龍源里21鄰龍形三街6巷5號,65,6502300,6502300-001,21鄰,龍形三街,,6巷,,,,5號,121.449913019731,25.1323568002122
新北市八里區龍源里16鄰龍形三街6巷6號,65,6502300,6502300-001,16鄰,龍形三街,,6巷,,,,6號,121.450165227089,25.1322994507842
新北市八里區龍源里16鄰龍形三街6巷6號十樓,65,6502300,6502300-001,16鄰,龍形三街,,6巷,,,,6號十樓,121.450222089871,25.1324427194065
新北市八里區龍源里16鄰龍形三街6巷6號二樓,65,6502300,6502300-001,16鄰,龍形三街,,6巷,,,,6號二樓,121.450222089871,25.1324427194065
新北市八里區龍源里16鄰龍形三街6巷6號三樓,65,6502300,6502300-001,16鄰,龍形三街,,6巷,,,,6號三樓,121.450222089871,25.1324427194065
