FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大雅區秀山里12鄰上山三路12號,66,6601800,秀山里,12鄰,上山三路,,,,,,12號,120.633598435382,24.219932489324
臺中市大雅區秀山里12鄰上山三路16號,66,6601800,秀山里,12鄰,上山三路,,,,,,16號,120.63368938614,24.220076597375
臺中市大雅區秀山里12鄰上山三路18號,66,6601800,秀山里,12鄰,上山三路,,,,,,18號,120.633590439104,24.220055149758
臺中市大雅區秀山里12鄰上山三路22號,66,6601800,秀山里,12鄰,上山三路,,,,,,22號,120.633913270079,24.220376634135
臺中市大雅區秀山里12鄰上山三路28號,66,6601800,秀山里,12鄰,上山三路,,,,,,28號,120.634152000035,24.220314310468
臺中市大雅區秀山里13鄰上山三路30號,66,6601800,秀山里,13鄰,上山三路,,,,,,30號,120.634151436275,24.219971109402
臺中市大雅區秀山里13鄰上山三路32號,66,6601800,秀山里,13鄰,上山三路,,,,,,32號,120.634267737207,24.219951235588
臺中市大雅區秀山里13鄰上山三路57號,66,6601800,秀山里,13鄰,上山三路,,,,,,57號,120.634256669944,24.220991209739
臺中市大雅區秀山里13鄰上山三路59號,66,6601800,秀山里,13鄰,上山三路,,,,,,59號,120.634318248997,24.220983411932
臺中市大雅區秀山里13鄰上山三路63號,66,6601800,秀山里,13鄰,上山三路,,,,,,63號,120.634560144388,24.220928788113
臺中市大雅區秀山里13鄰上山三路80號,66,6601800,秀山里,13鄰,上山三路,,,,,,80號,120.63244268305,24.220688409335
臺中市大雅區秀山里13鄰上山三路81號,66,6601800,秀山里,13鄰,上山三路,,,,,,81號,120.632605388743,24.220571621082
臺中市大雅區秀山里13鄰上山三路82號,66,6601800,秀山里,13鄰,上山三路,,,,,,82號,120.632461705059,24.220506842046
臺中市大雅區秀山里13鄰上山三路83號,66,6601800,秀山里,13鄰,上山三路,,,,,,83號,120.632397999869,24.220665475679
臺中市大雅區秀山里13鄰上山三路85號,66,6601800,秀山里,13鄰,上山三路,,,,,,85號,120.632840667611,24.220684845771
臺中市大雅區秀山里13鄰上山三路86號,66,6601800,秀山里,13鄰,上山三路,,,,,,86號,120.632761581861,24.220648565388
臺中市大雅區秀山里13鄰上山三路87號,66,6601800,秀山里,13鄰,上山三路,,,,,,87號,120.632691365873,24.220613958699
臺中市大雅區秀山里13鄰上山三路88號,66,6601800,秀山里,13鄰,上山三路,,,,,,88號,120.632376267645,24.220462997728
臺中市大雅區秀山里13鄰上山三路89號,66,6601800,秀山里,13鄰,上山三路,,,,,,89號,120.632301981903,24.220435080698
