FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區大石里5鄰中平路239號十樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號二樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號二樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號二樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號二樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號三樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號三樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號三樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號三樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號三樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號三樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號三樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號三樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號四樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號四樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號四樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號四樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號四樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號四樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號四樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號四樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號五樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號五樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號五樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號五樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號五樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號五樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號五樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號五樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號六樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號六樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號六樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號六樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號六樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號六樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號六樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號六樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號七樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號七樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號七樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號七樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號七樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號七樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號七樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號七樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號八樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號八樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號八樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號八樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號八樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號八樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號八樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號八樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號九樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號九樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號九樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號九樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號九樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號九樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號九樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號九樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十一樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十一樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十一樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十一樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十一樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十一樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十一樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十一樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十二樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十二樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十二樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十二樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十二樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十二樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十二樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十二樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十三樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十三樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十三樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十三樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十三樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十三樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十三樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十三樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十四樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十四樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十四樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十四樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十四樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十四樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十四樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十四樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十五樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十五樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十五樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十五樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十五樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十五樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十五樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十五樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十六樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十六樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十六樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十六樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十六樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十六樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十六樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十六樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十七樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十七樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十七樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十七樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十七樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十七樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十七樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十七樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十八樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十八樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十八樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十八樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十八樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十八樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十八樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十八樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十九樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號十九樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十九樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號十九樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十九樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號十九樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號十九樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號十九樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二十樓之1,66,6600600,大石里,5鄰,中平路,,,,,,239號二十樓之1,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二十樓之2,66,6600600,大石里,5鄰,中平路,,,,,,239號二十樓之2,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二十樓之3,66,6600600,大石里,5鄰,中平路,,,,,,239號二十樓之3,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路239號二十樓之5,66,6600600,大石里,5鄰,中平路,,,,,,239號二十樓之5,120.664379195717,24.177139574395
臺中市西屯區大石里5鄰中平路333號,66,6600600,大石里,5鄰,中平路,,,,,,333號,120.664416253343,24.179316719908
臺中市西屯區大石里5鄰中平路335號,66,6600600,大石里,5鄰,中平路,,,,,,335號,120.664401500996,24.17944640183
臺中市西屯區大石里10鄰中平路381號,66,6600600,大石里,10鄰,中平路,,,,,,381號,120.66442194068,24.18024921144
臺中市西屯區大石里5鄰中平路77號,66,6600600,大石里,5鄰,中平路,,,,,,77號,120.660881671278,24.176429540333
