FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市清水區海濱里14鄰北五路6之1號,66,6601200,海濱里,14鄰,北五路,,,,,,6之1號,120.531498426505,24.290554908591
臺中市清水區海濱里14鄰北五路6號,66,6601200,海濱里,14鄰,北五路,,,,,,6號,120.533366705702,24.289745019327
臺中市清水區海濱里14鄰北五路8號,66,6601200,海濱里,14鄰,北五路,,,,,,8號,120.530941989336,24.289705907491
臺中市清水區海濱里14鄰北五路10號,66,6601200,海濱里,14鄰,北五路,,,,,,10號,120.530378613417,24.28960200395
臺中市清水區海濱里14鄰北五路21號,66,6601200,海濱里,14鄰,北五路,,,,,,21號,120.529883191297,24.289145165008
臺中市清水區海濱里14鄰北五路22號,66,6601200,海濱里,14鄰,北五路,,,,,,22號,120.527597799482,24.290386937135
臺中市清水區海濱里14鄰北五路23號,66,6601200,海濱里,14鄰,北五路,,,,,,23號,120.528582776921,24.289008834025
臺中市清水區海濱里14鄰北五路75號,66,6601200,海濱里,14鄰,北五路,,,,,,75號,120.521749130183,24.287965178591
臺中市清水區海濱里14鄰北五路77號,66,6601200,海濱里,14鄰,北五路,,,,,,77號,120.521610271866,24.288301108937
臺中市清水區海濱里14鄰北五路83號,66,6601200,海濱里,14鄰,北五路,,,,,,83號,120.516925364693,24.289893906145
臺中市清水區海濱里14鄰北五路87號,66,6601200,海濱里,14鄰,北五路,,,,,,87號,120.520062118796,24.287989123202
臺中市清水區海濱里14鄰北五路105號,66,6601200,海濱里,14鄰,北五路,,,,,,105號,120.521053411109,24.288575742469
臺中市清水區海濱里14鄰北五路109號,66,6601200,海濱里,14鄰,北五路,,,,,,109號,120.520512331224,24.288763438077
