FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北屯區和平里36鄰和祥七街30號,66,6600800,和平里,36鄰,和祥七街,,,,,,30號,120.729724019494,24.176117976614
臺中市北屯區和平里36鄰和祥七街32號,66,6600800,和平里,36鄰,和祥七街,,,,,,32號,120.729707926797,24.176426298786
臺中市北屯區和平里14鄰和祥七街166之6號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之6號,120.725447420845,24.175820677028
臺中市北屯區和平里14鄰和祥七街166之7號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之7號,120.725394995654,24.175841801492
臺中市北屯區和平里14鄰和祥七街166之8號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之8號,120.725336474851,24.175797317085
臺中市北屯區和平里14鄰和祥七街166之9號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之9號,120.725284049129,24.175825123193
臺中市北屯區和平里14鄰和祥七街166之10號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之10號,120.725237720659,24.175791757723
臺中市北屯區和平里14鄰和祥七街166之11號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之11號,120.725159692501,24.175819562802
臺中市北屯區和平里14鄰和祥七街166之12號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之12號,120.725160911577,24.175661624461
臺中市北屯區和平里14鄰和祥七街166之13號,66,6600800,和平里,14鄰,和祥七街,,,,,,166之13號,120.725308432769,24.175677194926
臺中市北屯區和平里14鄰和祥七街181號,66,6600800,和平里,14鄰,和祥七街,,,,,,181號,120.725572899488,24.175554195376
臺中市北屯區和平里36鄰和祥七街36號,66,6600800,和平里,36鄰,和祥七街,,,,,,36號,120.72944756884,24.176399778519
臺中市北屯區和平里36鄰和祥七街50號,66,6600800,和平里,36鄰,和祥七街,,,,,,50號,120.729234266528,24.176289504291
臺中市北屯區和平里36鄰和祥七街59號,66,6600800,和平里,36鄰,和祥七街,,,,,,59號,120.728820215884,24.175990512626
臺中市北屯區和平里36鄰和祥七街61號,66,6600800,和平里,36鄰,和祥七街,,,,,,61號,120.728748009265,24.175955377599
臺中市北屯區和平里36鄰和祥七街63號,66,6600800,和平里,36鄰,和祥七街,,,,,,63號,120.728667278184,24.175957617714
臺中市北屯區和平里36鄰和祥七街65號,66,6600800,和平里,36鄰,和祥七街,,,,,,65號,120.728625638387,24.175945597852
