FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北屯區和平里8鄰和祥街147巷1號,66,6600800,和平里,8鄰,和祥街,,147巷,,,,1號,120.725183283294,24.178966144584
臺中市北屯區和平里8鄰和祥街147巷3號,66,6600800,和平里,8鄰,和祥街,,147巷,,,,3號,120.725162557068,24.178916093949
臺中市北屯區和平里8鄰和祥街151號,66,6600800,和平里,8鄰,和祥街,,,,,,151號,120.725246681697,24.179084046018
臺中市北屯區和平里8鄰和祥街153號,66,6600800,和平里,8鄰,和祥街,,,,,,153號,120.72516499587,24.179122968578
臺中市北屯區和平里3鄰和祥街217號,66,6600800,和平里,3鄰,和祥街,,,,,,217號,120.723524336921,24.179684423903
臺中市北屯區和平里3鄰和祥街217號二樓,66,6600800,和平里,3鄰,和祥街,,,,,,217號二樓,120.723524336921,24.179684423903
臺中市北屯區和平里3鄰和祥街217號三樓,66,6600800,和平里,3鄰,和祥街,,,,,,217號三樓,120.723524336921,24.179684423903
臺中市北屯區和平里3鄰和祥街217號四樓,66,6600800,和平里,3鄰,和祥街,,,,,,217號四樓,120.723524336921,24.179684423903
臺中市北屯區和平里32鄰和祥街316號,66,6600800,和平里,32鄰,和祥街,,,,,,316號,120.723017979534,24.179985056309
臺中市北屯區和平里32鄰和祥街318號,66,6600800,和平里,32鄰,和祥街,,,,,,318號,120.722937512686,24.179991727233
臺中市北屯區和平里30鄰和祥街1號,66,6600800,和平里,30鄰,和祥街,,,,,,1號,120.727220083833,24.176848413047
臺中市北屯區和平里30鄰和祥街3號,66,6600800,和平里,30鄰,和祥街,,,,,,3號,120.727225727514,24.176887709631
臺中市北屯區和平里30鄰和祥街5號,66,6600800,和平里,30鄰,和祥街,,,,,,5號,120.727231144553,24.176923430206
臺中市北屯區和平里30鄰和祥街7號,66,6600800,和平里,30鄰,和祥街,,,,,,7號,120.727207665862,24.176962792076
臺中市北屯區和平里30鄰和祥街9號,66,6600800,和平里,30鄰,和祥街,,,,,,9號,120.727275376094,24.176988050761
臺中市北屯區和平里30鄰和祥街11號,66,6600800,和平里,30鄰,和祥街,,,,,,11號,120.727274651363,24.177032211776
臺中市北屯區和平里30鄰和祥街13號,66,6600800,和平里,30鄰,和祥街,,,,,,13號,120.727286814866,24.177074617067
臺中市北屯區和平里30鄰和祥街15號,66,6600800,和平里,30鄰,和祥街,,,,,,15號,120.727289390968,24.177112418327
臺中市北屯區和平里30鄰和祥街17號,66,6600800,和平里,30鄰,和祥街,,,,,,17號,120.727306315211,24.177152033048
臺中市北屯區和平里30鄰和祥街18號,66,6600800,和平里,30鄰,和祥街,,,,,,18號,120.727513790678,24.176888035024
臺中市北屯區和平里30鄰和祥街19號,66,6600800,和平里,30鄰,和祥街,,,,,,19號,120.727295011956,24.177195759796
臺中市北屯區和平里30鄰和祥街25號,66,6600800,和平里,30鄰,和祥街,,,,,,25號,120.727347483434,24.177588447607
臺中市北屯區和平里30鄰和祥街27號,66,6600800,和平里,30鄰,和祥街,,,,,,27號,120.727350820111,24.177630078647
臺中市北屯區和平里30鄰和祥街29號,66,6600800,和平里,30鄰,和祥街,,,,,,29號,120.727354032196,24.177670129336
臺中市北屯區和平里30鄰和祥街31號,66,6600800,和平里,30鄰,和祥街,,,,,,31號,120.727356113984,24.177727974754
臺中市北屯區和平里30鄰和祥街32號,66,6600800,和平里,30鄰,和祥街,,,,,,32號,120.727605230214,24.177628528814
臺中市北屯區和平里25鄰和祥街33巷1之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1之5號,120.727241280558,24.177733177943
臺中市北屯區和平里25鄰和祥街33巷1之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1之1號,120.727241723561,24.177733594083
臺中市北屯區和平里25鄰和祥街33巷1之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1之2號,120.727241723561,24.177733594083
臺中市北屯區和平里25鄰和祥街33巷1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1號,120.727241723561,24.177733594083
臺中市北屯區和平里25鄰和祥街33巷1之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1之4號,120.727241723561,24.177733594083
臺中市北屯區和平里25鄰和祥街33巷1之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,1之3號,120.727241723561,24.177733594083
臺中市北屯區和平里11鄰和祥街33巷2號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,2號,120.727322035772,24.177878152342
臺中市北屯區和平里25鄰和祥街33巷3號地下層,66,6600800,和平里,25鄰,和祥街,,33巷,,,,3號地下層,120.727214693458,24.177717464549
臺中市北屯區和平里25鄰和祥街33巷3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,3號,120.727214693458,24.177717464549
臺中市北屯區和平里25鄰和祥街33巷5之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5之4號,120.72717104761,24.177710578372
臺中市北屯區和平里25鄰和祥街33巷5之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5之2號,120.72717104761,24.177710578372
臺中市北屯區和平里25鄰和祥街33巷5之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5之3號,120.72717104761,24.177710578372
臺中市北屯區和平里25鄰和祥街33巷5之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5之1號,120.72717104761,24.177710578372
臺中市北屯區和平里25鄰和祥街33巷5之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5之5號,120.72717104761,24.177710578372
臺中市北屯區和平里25鄰和祥街33巷5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,5號,120.72717104761,24.177710578372
臺中市北屯區和平里11鄰和祥街33巷6號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,6號,120.727268538995,24.177958652199
臺中市北屯區和平里25鄰和祥街33巷7號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,7號,120.727139321168,24.17771277893
臺中市北屯區和平里11鄰和祥街33巷8號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,8號,120.727207202359,24.177935608061
臺中市北屯區和平里25鄰和祥街33巷9之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9之3號,120.727098371895,24.177723585956
臺中市北屯區和平里25鄰和祥街33巷9之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9之2號,120.727098375851,24.177723576934
臺中市北屯區和平里25鄰和祥街33巷9號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9號,120.727098371895,24.177723585956
臺中市北屯區和平里25鄰和祥街33巷9之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9之4號,120.727098371895,24.177723585956
臺中市北屯區和平里25鄰和祥街33巷9之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9之1號,120.727098371895,24.177723585956
臺中市北屯區和平里25鄰和祥街33巷9之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,9之5號,120.727098371895,24.177723585956
臺中市北屯區和平里11鄰和祥街33巷10號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,10號,120.727158118478,24.177935700831
臺中市北屯區和平里25鄰和祥街33巷11號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,11號,120.727057183251,24.177728469323
臺中市北屯區和平里11鄰和祥街33巷12號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,12號,120.727108962361,24.177937364553
臺中市北屯區和平里25鄰和祥街33巷13之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13之1號,120.727013662477,24.177721086714
臺中市北屯區和平里25鄰和祥街33巷13之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13之2號,120.727013662477,24.177721086714
臺中市北屯區和平里25鄰和祥街33巷13之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13之4號,120.727013667379,24.177721095752
臺中市北屯區和平里25鄰和祥街33巷13之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13之5號,120.727013662477,24.177721086714
臺中市北屯區和平里25鄰和祥街33巷13之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13之3號,120.727013662477,24.177721086714
臺中市北屯區和平里25鄰和祥街33巷13號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,13號,120.727013662477,24.177721086714
臺中市北屯區和平里25鄰和祥街33巷15號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,15號,120.726979428958,24.177723860625
臺中市北屯區和平里11鄰和祥街33巷16號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,16號,120.727013026498,24.177920127459
臺中市北屯區和平里25鄰和祥街33巷17之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17之1號,120.726936811195,24.177737075444
臺中市北屯區和平里25鄰和祥街33巷17之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17之4號,120.726937565133,24.177735216758
臺中市北屯區和平里25鄰和祥街33巷17之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17之2號,120.726937565133,24.177735216758
臺中市北屯區和平里25鄰和祥街33巷17之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17之5號,120.726936815112,24.17773708448
臺中市北屯區和平里25鄰和祥街33巷17之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17之3號,120.726937565133,24.177735216758
臺中市北屯區和平里25鄰和祥街33巷17號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,17號,120.726937565153,24.177735207729
臺中市北屯區和平里25鄰和祥街33巷19號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,19號,120.726888928334,24.177738470497
臺中市北屯區和平里25鄰和祥街33巷21之2號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21之2號,120.726840585449,24.177733110794
臺中市北屯區和平里25鄰和祥街33巷21之1號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21之1號,120.726840585449,24.177733110794
臺中市北屯區和平里25鄰和祥街33巷21之5號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21之5號,120.726840585449,24.177733110794
臺中市北屯區和平里25鄰和祥街33巷21之4號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21之4號,120.726840585449,24.177733110794
臺中市北屯區和平里25鄰和祥街33巷21之3號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21之3號,120.726840585449,24.177733110794
臺中市北屯區和平里25鄰和祥街33巷21號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,21號,120.726840584484,24.177733101763
臺中市北屯區和平里25鄰和祥街33巷23號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,23號,120.726792747461,24.177743941515
臺中市北屯區和平里25鄰和祥街33巷25號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,25號,120.726691217539,24.177714631053
臺中市北屯區和平里25鄰和祥街33巷27號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,27號,120.726627670507,24.177717478753
臺中市北屯區和平里25鄰和祥街33巷29號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,29號,120.726571882034,24.177713920507
臺中市北屯區和平里25鄰和祥街33巷31號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,31號,120.726534975804,24.177712779839
臺中市北屯區和平里25鄰和祥街33巷33號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,33號,120.72644063763,24.177712610628
臺中市北屯區和平里25鄰和祥街33巷35號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,35號,120.726386289762,24.177711971362
臺中市北屯區和平里11鄰和祥街33巷36號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,36號,120.726888423172,24.178165004673
臺中市北屯區和平里25鄰和祥街33巷37號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,37號,120.726330041231,24.177702615391
臺中市北屯區和平里11鄰和祥街33巷38號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,38號,120.726870120379,24.178232971543
臺中市北屯區和平里25鄰和祥街33巷39號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,39號,120.726240390223,24.177697253592
臺中市北屯區和平里11鄰和祥街33巷40號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,40號,120.726800857431,24.178321912471
臺中市北屯區和平里25鄰和祥街33巷41號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,41號,120.726202770833,24.177693619476
臺中市北屯區和平里11鄰和祥街33巷42號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,42號,120.726758095165,24.178357591875
臺中市北屯區和平里25鄰和祥街33巷43號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,43號,120.726152011032,24.177690422248
臺中市北屯區和平里25鄰和祥街33巷45號,66,6600800,和平里,25鄰,和祥街,,33巷,,,,45號,120.726091168324,24.177684669658
臺中市北屯區和平里11鄰和祥街33巷46號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,46號,120.72657296673,24.178419291309
臺中市北屯區和平里11鄰和祥街33巷48號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,48號,120.726377282081,24.178465341859
臺中市北屯區和平里11鄰和祥街33巷50號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,50號,120.726304804377,24.178455414997
臺中市北屯區和平里11鄰和祥街33巷52號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,52號,120.726227427494,24.178481777085
臺中市北屯區和平里11鄰和祥街33巷56號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,56號,120.726153851078,24.178493211498
臺中市北屯區和平里11鄰和祥街33巷58號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,58號,120.72606744423,24.178507367734
臺中市北屯區和平里11鄰和祥街33巷60號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,60號,120.725994830628,24.17852421235
臺中市北屯區和平里11鄰和祥街33巷62號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,62號,120.725950750984,24.178236423566
臺中市北屯區和平里11鄰和祥街33巷66號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,66號,120.725999318732,24.178233802055
臺中市北屯區和平里11鄰和祥街33巷68號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,68號,120.726055134659,24.178229207105
臺中市北屯區和平里11鄰和祥街33巷70號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,70號,120.726125092204,24.178211635344
臺中市北屯區和平里11鄰和祥街33巷72號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,72號,120.726197014533,24.178191168674
臺中市北屯區和平里11鄰和祥街33巷76號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,76號,120.726283671255,24.178179270135
臺中市北屯區和平里11鄰和祥街33巷78號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,78號,120.726357163021,24.178170056713
臺中市北屯區和平里11鄰和祥街33巷80號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,80號,120.726436015657,24.178158649723
臺中市北屯區和平里11鄰和祥街33巷82號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,82號,120.726506314322,24.178142613379
臺中市北屯區和平里11鄰和祥街33巷86號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,86號,120.726616575301,24.178152698182
臺中市北屯區和平里11鄰和祥街33巷88號,66,6600800,和平里,11鄰,和祥街,,33巷,,,,88號,120.726617716987,24.17809264636
