FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市太平區豐年里12鄰大源三十街1之2號,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之2號,120.72353378231,24.14006952203
臺中市太平區豐年里12鄰大源三十街1之1號,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之1號,120.723543452774,24.140148094822
臺中市太平區豐年里12鄰大源三十街1號,66,6602700,豐年里,12鄰,大源三十街,,,,,,1號,120.723489686196,24.140168223176
臺中市太平區豐年里12鄰大源三十街1之1號二樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之1號二樓,120.723543452774,24.140148094822
臺中市太平區豐年里12鄰大源三十街1之2號二樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之2號二樓,120.72353378231,24.14006952203
臺中市太平區豐年里12鄰大源三十街1之1號三樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之1號三樓,120.723543452774,24.140148094822
臺中市太平區豐年里12鄰大源三十街1之2號三樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之2號三樓,120.72353378231,24.14006952203
臺中市太平區豐年里12鄰大源三十街1之2號四樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之2號四樓,120.72353378231,24.14006952203
臺中市太平區豐年里12鄰大源三十街1之1號四樓,66,6602700,豐年里,12鄰,大源三十街,,,,,,1之1號四樓,120.723543452774,24.140148094822
臺中市太平區豐年里12鄰大源三十街2號,66,6602700,豐年里,12鄰,大源三十街,,,,,,2號,120.723719810403,24.140223357622
臺中市太平區豐年里12鄰大源三十街2之1號,66,6602700,豐年里,12鄰,大源三十街,,,,,,2之1號,120.723794126563,24.140210128668
臺中市太平區豐年里12鄰大源三十街2之2號,66,6602700,豐年里,12鄰,大源三十街,,,,,,2之2號,120.723857274541,24.140219994594
臺中市太平區豐年里12鄰大源三十街3號,66,6602700,豐年里,12鄰,大源三十街,,,,,,3號,120.723429055141,24.140177594157
臺中市太平區豐年里12鄰大源三十街4號,66,6602700,豐年里,12鄰,大源三十街,,,,,,4號,120.723660261089,24.140233001533
臺中市太平區豐年里12鄰大源三十街5號,66,6602700,豐年里,12鄰,大源三十街,,,,,,5號,120.723370390402,24.140187691025
臺中市太平區豐年里12鄰大源三十街6號,66,6602700,豐年里,12鄰,大源三十街,,,,,,6號,120.723510760439,24.140251421588
臺中市太平區豐年里12鄰大源三十街7號,66,6602700,豐年里,12鄰,大源三十街,,,,,,7號,120.723312514165,24.140197157245
臺中市太平區豐年里12鄰大源三十街8號,66,6602700,豐年里,12鄰,大源三十街,,,,,,8號,120.723447369652,24.14026295462
臺中市太平區豐年里12鄰大源三十街9號,66,6602700,豐年里,12鄰,大源三十街,,,,,,9號,120.723252473837,24.14020634864
臺中市太平區豐年里12鄰大源三十街10號,66,6602700,豐年里,12鄰,大源三十街,,,,,,10號,120.723386442784,24.140272595929
臺中市太平區豐年里12鄰大源三十街11號,66,6602700,豐年里,12鄰,大源三十街,,,,,,11號,120.723193219874,24.140215902611
臺中市太平區豐年里12鄰大源三十街12號,66,6602700,豐年里,12鄰,大源三十街,,,,,,12號,120.723324627252,24.140283680297
臺中市太平區豐年里12鄰大源三十街13號,66,6602700,豐年里,12鄰,大源三十街,,,,,,13號,120.723134260306,24.140225818266
臺中市太平區豐年里12鄰大源三十街14號,66,6602700,豐年里,12鄰,大源三十街,,,,,,14號,120.723263499885,24.140295036768
臺中市太平區豐年里12鄰大源三十街15號,66,6602700,豐年里,12鄰,大源三十街,,,,,,15號,120.723075399513,24.140235553491
臺中市太平區豐年里12鄰大源三十街16號,66,6602700,豐年里,12鄰,大源三十街,,,,,,16號,120.723198237236,24.140307649825
臺中市太平區豐年里12鄰大源三十街17號,66,6602700,豐年里,12鄰,大源三十街,,,,,,17號,120.723013783291,24.140245464281
臺中市太平區豐年里12鄰大源三十街18號,66,6602700,豐年里,12鄰,大源三十街,,,,,,18號,120.723136918698,24.140316387389
臺中市太平區豐年里12鄰大源三十街19號,66,6602700,豐年里,12鄰,大源三十街,,,,,,19號,120.722910360238,24.140296021504
臺中市太平區豐年里12鄰大源三十街20號,66,6602700,豐年里,12鄰,大源三十街,,,,,,20號,120.7230769695,24.140328919736
臺中市太平區豐年里12鄰大源三十街21號,66,6602700,豐年里,12鄰,大源三十街,,,,,,21號,120.722846279647,24.140308004501
臺中市太平區豐年里12鄰大源三十街22號,66,6602700,豐年里,12鄰,大源三十街,,,,,,22號,120.723011612119,24.140339816966
臺中市太平區豐年里12鄰大源三十街23號,66,6602700,豐年里,12鄰,大源三十街,,,,,,23號,120.722779348732,24.140318537601
臺中市太平區豐年里12鄰大源三十街24號,66,6602700,豐年里,12鄰,大源三十街,,,,,,24號,120.722949500369,24.140351352112
臺中市太平區豐年里12鄰大源三十街25號,66,6602700,豐年里,12鄰,大源三十街,,,,,,25號,120.722713598535,24.140329072816
臺中市太平區豐年里12鄰大源三十街26號,66,6602700,豐年里,12鄰,大源三十街,,,,,,26號,120.722888471916,24.140362437731
臺中市太平區豐年里12鄰大源三十街27號,66,6602700,豐年里,12鄰,大源三十街,,,,,,27號,120.722646860296,24.140341502369
臺中市太平區豐年里12鄰大源三十街28號,66,6602700,豐年里,12鄰,大源三十街,,,,,,28號,120.722827146907,24.140374154842
臺中市太平區豐年里12鄰大源三十街29號,66,6602700,豐年里,12鄰,大源三十街,,,,,,29號,120.722583172845,24.140353666557
臺中市太平區豐年里12鄰大源三十街30號,66,6602700,豐年里,12鄰,大源三十街,,,,,,30號,120.722759527587,24.140384506096
臺中市太平區豐年里12鄰大源三十街31號,66,6602700,豐年里,12鄰,大源三十街,,,,,,31號,120.722517812489,24.14036591797
臺中市太平區豐年里12鄰大源三十街32號,66,6602700,豐年里,12鄰,大源三十街,,,,,,32號,120.722695055115,24.140395675677
臺中市太平區豐年里12鄰大源三十街33號,66,6602700,豐年里,12鄰,大源三十街,,,,,,33號,120.72245235509,24.140377537126
臺中市太平區豐年里12鄰大源三十街34號,66,6602700,豐年里,12鄰,大源三十街,,,,,,34號,120.722633727931,24.140408385933
臺中市太平區豐年里12鄰大源三十街35號,66,6602700,豐年里,12鄰,大源三十街,,,,,,35號,120.722396739624,24.140388000335
臺中市太平區豐年里12鄰大源三十街36號,66,6602700,豐年里,12鄰,大源三十街,,,,,,36號,120.722570537483,24.140418203389
臺中市太平區豐年里12鄰大源三十街38號,66,6602700,豐年里,12鄰,大源三十街,,,,,,38號,120.722507541474,24.140429104693
臺中市太平區豐年里12鄰大源三十街40號,66,6602700,豐年里,12鄰,大源三十街,,,,,,40號,120.722443461755,24.140440636055
