FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區何福里8鄰寧漢三街8號,66,6600600,何福里,8鄰,寧漢三街,,,,,,8號,120.66393962644,24.165368670129
臺中市西屯區何福里8鄰寧漢三街10號,66,6600600,何福里,8鄰,寧漢三街,,,,,,10號,120.66397282922,24.165316725594
臺中市西屯區何福里8鄰寧漢三街12號,66,6600600,何福里,8鄰,寧漢三街,,,,,,12號,120.663984874895,24.16526411143
臺中市西屯區何福里8鄰寧漢三街14號,66,6600600,何福里,8鄰,寧漢三街,,,,,,14號,120.66400444824,24.165230655917
臺中市西屯區何福里8鄰寧漢三街16號,66,6600600,何福里,8鄰,寧漢三街,,,,,,16號,120.664025307317,24.165194765327
臺中市西屯區何福里8鄰寧漢三街18號,66,6600600,何福里,8鄰,寧漢三街,,,,,,18號,120.664046262173,24.165159877196
臺中市西屯區何福里8鄰寧漢三街20號,66,6600600,何福里,8鄰,寧漢三街,,,,,,20號,120.664071281006,24.165113882967
臺中市西屯區何福里8鄰寧漢三街22號,66,6600600,何福里,8鄰,寧漢三街,,,,,,22號,120.664201685798,24.165110639632
臺中市西屯區何福里8鄰寧漢三街24巷1號,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號二樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號二樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號二樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號二樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號二樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號二樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之4,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之4,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之8,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之8,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之7,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之7,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之6,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之6,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號三樓之5,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號三樓之5,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之4,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之4,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之7,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之7,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之5,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之5,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之6,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之6,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之8,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之8,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號四樓之10,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號四樓之10,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之10,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之10,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之8,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之8,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之4,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之4,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之6,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之6,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之7,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之7,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號五樓之5,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號五樓之5,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之5,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之5,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之10,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之10,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之6,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之6,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之7,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之7,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之4,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之4,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號六樓之8,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號六樓之8,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之7,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之7,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之3,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之3,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之6,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之6,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之8,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之8,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之5,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之5,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之10,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之10,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之1,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之4,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之4,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號七樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號七樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號八樓之9,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號八樓之9,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷1號八樓之2,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,1號八樓之2,120.664155936144,24.165083315639
臺中市西屯區何福里8鄰寧漢三街24巷2號,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,2號,120.664110403765,24.165056082405
臺中市西屯區何福里8鄰寧漢三街24巷2號地下一樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,2號地下一樓之1,120.664110403765,24.165056082405
臺中市西屯區何福里8鄰寧漢三街24巷3號地下一樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,3號地下一樓之1,120.664052866171,24.165024271961
臺中市西屯區何福里8鄰寧漢三街24巷3號,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,3號,120.664052866171,24.165024271961
臺中市西屯區何福里8鄰寧漢三街24巷4號,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,4號,120.66399708832,24.164993178686
臺中市西屯區何福里8鄰寧漢三街24巷5號地下一樓之1,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,5號地下一樓之1,120.663923146257,24.164957259855
臺中市西屯區何福里8鄰寧漢三街24巷5號,66,6600600,何福里,8鄰,寧漢三街,,24巷,,,,5號,120.663923146257,24.164957259855
