FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市南屯區寶山里17鄰工業區二十三路1號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,1號,120.606068342444,24.163820357861
臺中市南屯區寶山里17鄰工業區二十三路2之1號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,2之1號,120.60553075745,24.164388262389
臺中市南屯區寶山里17鄰工業區二十三路2號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,2號,120.605572310771,24.164537632215
臺中市南屯區寶山里17鄰工業區二十三路3號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,3號,120.605977653585,24.163580306981
臺中市南屯區寶山里17鄰工業區二十三路4號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,4號,120.605485574735,24.164167795948
臺中市南屯區寶山里17鄰工業區二十三路5號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,5號,120.605812950713,24.163379441341
臺中市南屯區寶山里17鄰工業區二十三路6號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,6號,120.605173236769,24.163933898026
臺中市南屯區寶山里17鄰工業區二十三路7號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,7號,120.605766827546,24.163109438098
臺中市南屯區寶山里17鄰工業區二十三路9號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,9號,120.605843779092,24.162758661235
臺中市南屯區寶山里17鄰工業區二十三路11號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,11號,120.605639624912,24.162326635129
臺中市南屯區寶山里17鄰工業區二十三路12號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,12號,120.605013703304,24.163220129818
臺中市南屯區寶山里17鄰工業區二十三路13號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,13號,120.605328290621,24.161834729468
臺中市南屯區寶山里17鄰工業區二十三路14號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,14號,120.604826346093,24.162693411348
臺中市南屯區寶山里17鄰工業區二十三路18號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,18號,120.604729724008,24.162083795501
臺中市南屯區寶山里17鄰工業區二十三路19號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,19號,120.604872125008,24.160438891625
臺中市南屯區寶山里17鄰工業區二十三路20號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,20號,120.604628689355,24.161833414631
臺中市南屯區寶山里17鄰工業區二十三路20之1號,66,6600700,寶山里,17鄰,工業區二十三路,,,,,,20之1號,120.604635431546,24.161794696649
