FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市沙鹿區六路里10鄰平等八街71號,66,6601300,六路里,10鄰,平等八街,,,,,,71號,120.574911050302,24.220243727188
臺中市沙鹿區六路里10鄰平等八街73號,66,6601300,六路里,10鄰,平等八街,,,,,,73號,120.574958734517,24.220232853749
臺中市沙鹿區六路里10鄰平等八街73之1號,66,6601300,六路里,10鄰,平等八街,,,,,,73之1號,120.574992634156,24.220355771917
臺中市沙鹿區六路里10鄰平等八街73之2號,66,6601300,六路里,10鄰,平等八街,,,,,,73之2號,120.575003065629,24.220395177162
臺中市沙鹿區六路里10鄰平等八街73之3號,66,6601300,六路里,10鄰,平等八街,,,,,,73之3號,120.575014986407,24.220435272777
臺中市沙鹿區六路里10鄰平等八街73之5號,66,6601300,六路里,10鄰,平等八街,,,,,,73之5號,120.575030631923,24.220472642952
臺中市沙鹿區六路里10鄰平等八街73之6號,66,6601300,六路里,10鄰,平等八街,,,,,,73之6號,120.575041063139,24.220512725379
臺中市沙鹿區六路里10鄰平等八街73之7號,66,6601300,六路里,10鄰,平等八街,,,,,,73之7號,120.57505819923,24.220554858074
臺中市沙鹿區六路里10鄰平等八街75號,66,6601300,六路里,10鄰,平等八街,,,,,,75號,120.575060806701,24.220211107474
臺中市沙鹿區六路里10鄰平等八街75之1號,66,6601300,六路里,10鄰,平等八街,,,,,,75之1號,120.575099178024,24.220325189529
臺中市沙鹿區六路里10鄰平等八街75之2號,66,6601300,六路里,10鄰,平等八街,,,,,,75之2號,120.575111844153,24.220365278187
臺中市沙鹿區六路里10鄰平等八街75之3號,66,6601300,六路里,10鄰,平等八街,,,,,,75之3號,120.57512674507,24.220403332491
臺中市沙鹿區六路里10鄰平等八街75之5號,66,6601300,六路里,10鄰,平等八街,,,,,,75之5號,120.575139410385,24.220440703371
臺中市沙鹿區六路里10鄰平等八街75之6號,66,6601300,六路里,10鄰,平等八街,,,,,,75之6號,120.575152822111,24.220480116919
臺中市沙鹿區六路里10鄰平等八街75之7號,66,6601300,六路里,10鄰,平等八街,,,,,,75之7號,120.575161763019,24.220519527023
臺中市沙鹿區六路里10鄰平等八街77號,66,6601300,六路里,10鄰,平等八街,,,,,,77號,120.575104020632,24.220198876172
臺中市沙鹿區六路里10鄰平等八街5號,66,6601300,六路里,10鄰,平等八街,,,,,,5號,120.573842416487,24.219529640604
