FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區東英里23鄰德興一街50號十樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號十樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號十樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號十樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號十樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號十樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號十樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號二樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號二樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號三樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號三樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號四樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號四樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號五樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號五樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號六樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號六樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之7,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號七樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號七樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之1,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之1,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之2,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之2,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之3,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之3,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之5,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之5,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之6,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之6,120.708126385548,24.136899726468
臺中市東區東英里23鄰德興一街50號八樓之7,66,6600200,東英里,23鄰,德興一街,,,,,,50號八樓之7,120.708126385548,24.136899726468
