FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區惠來里39鄰惠文路767號,66,6600600,惠來里,39鄰,惠文路,,,,,,767號,120.643633961359,24.15540796576
臺中市西屯區惠來里39鄰惠文路751號,66,6600600,惠來里,39鄰,惠文路,,,,,,751號,120.643658604138,24.154799133928
臺中市西屯區惠來里39鄰惠文路753號,66,6600600,惠來里,39鄰,惠文路,,,,,,753號,120.643658749813,24.154853048091
臺中市西屯區惠來里39鄰惠文路755號,66,6600600,惠來里,39鄰,惠文路,,,,,,755號,120.643658813144,24.154936650329
臺中市西屯區惠來里39鄰惠文路757號,66,6600600,惠來里,39鄰,惠文路,,,,,,757號,120.643658659598,24.154992008476
臺中市西屯區惠來里39鄰惠文路759號,66,6600600,惠來里,39鄰,惠文路,,,,,,759號,120.643490460824,24.155072066472
臺中市西屯區惠來里39鄰惠文路761號,66,6600600,惠來里,39鄰,惠文路,,,,,,761號,120.643595422882,24.155155742192
臺中市西屯區惠來里46鄰惠文路788號地下一層,66,6600600,惠來里,46鄰,惠文路,,,,,,788號地下一層,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號四樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號四樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號四樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號四樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號四樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號四樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號四樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號四樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號五樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號五樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號五樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號五樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號五樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號五樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號五樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號五樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號六樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號六樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號六樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號六樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號六樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號六樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號六樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號六樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號七樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號七樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號七樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號七樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號七樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號七樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號八樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號八樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號八樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號八樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號八樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號八樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號八樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號八樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號九樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號九樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號九樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號九樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號九樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號九樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號九樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號九樓之5,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號十樓之1,66,6600600,惠來里,46鄰,惠文路,,,,,,788號十樓之1,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號十樓之2,66,6600600,惠來里,46鄰,惠文路,,,,,,788號十樓之2,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號十樓之3,66,6600600,惠來里,46鄰,惠文路,,,,,,788號十樓之3,120.644357236555,24.15681564714
臺中市西屯區惠來里46鄰惠文路788號十樓之5,66,6600600,惠來里,46鄰,惠文路,,,,,,788號十樓之5,120.644357236555,24.15681564714
