FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區旱溪里11鄰旱溪二街22號二樓,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,22號二樓,120.697927163062,24.14145049009
臺中市東區旱溪里11鄰旱溪二街22號三樓,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,22號三樓,120.697927163062,24.14145049009
臺中市東區旱溪里11鄰旱溪二街22號四樓,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,22號四樓,120.697927163062,24.14145049009
臺中市東區旱溪里11鄰旱溪二街22號五樓,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,22號五樓,120.697927163062,24.14145049009
臺中市東區旱溪里11鄰旱溪二街7號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,7號,120.697625787237,24.141690759775
臺中市東區旱溪里11鄰旱溪二街9號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,9號,120.697669694496,24.141688535229
臺中市東區旱溪里11鄰旱溪二街10號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,10號,120.697499480771,24.141404045117
臺中市東區旱溪里11鄰旱溪二街11號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,11號,120.697711134994,24.141686305786
臺中市東區旱溪里11鄰旱溪二街12號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,12號,120.697552973588,24.141385090196
臺中市東區旱溪里11鄰旱溪二街13號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,13號,120.697745889764,24.141693182715
臺中市東區旱溪里5鄰旱溪二街15號,66,6600200,旱溪里,5鄰,旱溪二街,,,,,,15號,120.697900533457,24.141707132135
臺中市東區旱溪里11鄰旱溪二街16號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,16號,120.697639074114,24.141424457063
臺中市東區旱溪里5鄰旱溪二街17號,66,6600200,旱溪里,5鄰,旱溪二街,,,,,,17號,120.697968167039,24.141691816783
臺中市東區旱溪里11鄰旱溪二街18號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,18號,120.697679908983,24.14142407744
臺中市東區旱溪里11鄰旱溪二街20號,66,6600200,旱溪里,11鄰,旱溪二街,,,,,,20號,120.697728418593,24.141423731061
