FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之1,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之1,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之2,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之2,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之3,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之3,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之5,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之5,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之6,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之6,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之7,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之7,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之8,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之8,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之9,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之9,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之10,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之10,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號二樓之11,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號二樓之11,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之1,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之1,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之2,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之2,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之3,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之3,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之5,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之5,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之6,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之6,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之7,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之7,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之8,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之8,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之9,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之9,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之10,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之10,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號三樓之11,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號三樓之11,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之1,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之1,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之2,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之2,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之3,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之3,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之5,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之5,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之6,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之6,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之7,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之7,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之8,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之8,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之9,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之9,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之10,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之10,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號四樓之11,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號四樓之11,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之1,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之1,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之2,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之2,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之3,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之3,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之5,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之5,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之6,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之6,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之7,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之7,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之8,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之8,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之9,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之9,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之10,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之10,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里16鄰星河路59號五樓之11,66,6601300,鹿峰里,16鄰,星河路,,,,,,59號五樓之11,120.569236725099,24.251716860851
臺中市沙鹿區鹿峰里14鄰星河路105號,66,6601300,鹿峰里,14鄰,星河路,,,,,,105號,120.569294505185,24.253918510883
臺中市沙鹿區鹿峰里13鄰星河路203之1號,66,6601300,鹿峰里,13鄰,星河路,,,,,,203之1號,120.571165233764,24.254938775973
臺中市沙鹿區鹿峰里13鄰星河路203之2號,66,6601300,鹿峰里,13鄰,星河路,,,,,,203之2號,120.571118295154,24.254964448837
臺中市沙鹿區鹿峰里13鄰星河路203之3號,66,6601300,鹿峰里,13鄰,星河路,,,,,,203之3號,120.571067333538,24.254990128402
臺中市沙鹿區鹿峰里13鄰星河路203之8號,66,6601300,鹿峰里,13鄰,星河路,,,,,,203之8號,120.571011006458,24.25485440654
臺中市沙鹿區鹿峰里13鄰星河路203之9號,66,6601300,鹿峰里,13鄰,星河路,,,,,,203之9號,120.570992231303,24.254815275612
臺中市沙鹿區鹿峰里14鄰星河路206之10號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之10號,120.570622086523,24.254120768701
臺中市沙鹿區鹿峰里14鄰星河路206之11號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之11號,120.570596605241,24.254065745622
臺中市沙鹿區鹿峰里14鄰星河路206之12號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之12號,120.570569783796,24.254024172128
臺中市沙鹿區鹿峰里14鄰星河路206之13號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之13號,120.570549667079,24.253981380568
臺中市沙鹿區鹿峰里14鄰星河路206之15號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之15號,120.570528209267,24.253937357261
臺中市沙鹿區鹿峰里14鄰星河路206之16號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之16號,120.570681095176,24.253873781442
臺中市沙鹿區鹿峰里14鄰星河路206之17號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之17號,120.570706576472,24.253914132206
臺中市沙鹿區鹿峰里14鄰星河路206之18號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之18號,120.570724010951,24.253954478317
臺中市沙鹿區鹿峰里14鄰星河路206之19號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之19號,120.570742785567,24.253996056167
臺中市沙鹿區鹿峰里14鄰星河路206之20號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之20號,120.570770949525,24.25403640546
臺中市沙鹿區鹿峰里14鄰星河路206之21號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之21號,120.570886284476,24.253989941992
臺中市沙鹿區鹿峰里14鄰星河路206之22號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之22號,120.570860803454,24.253939803704
臺中市沙鹿區鹿峰里14鄰星河路206之23號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之23號,120.57084068697,24.253901905959
臺中市沙鹿區鹿峰里14鄰星河路206之25號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之25號,120.570816546305,24.253859103082
臺中市沙鹿區鹿峰里14鄰星河路206之26號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之26號,120.570797771654,24.25381753427
臺中市沙鹿區鹿峰里14鄰星河路206之27號,66,6601300,鹿峰里,14鄰,星河路,,,,,,206之27號,120.570778996042,24.253783297089
臺中市沙鹿區鹿峰里13鄰星河路208之51號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之51號,120.5692233148,24.254448462392
臺中市沙鹿區鹿峰里13鄰星河路208之31號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之31號,120.569535792334,24.254963229527
臺中市沙鹿區鹿峰里13鄰星河路208之33號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之33號,120.569515674868,24.254920428807
臺中市沙鹿區鹿峰里13鄰星河路208之35號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之35號,120.569641738907,24.25494733107
臺中市沙鹿區鹿峰里13鄰星河路208之37號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之37號,120.569684654355,24.2549387755
臺中市沙鹿區鹿峰里13鄰星河路208之39號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之39號,120.569731593058,24.254935107016
臺中市沙鹿區鹿峰里13鄰星河路208之41號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之41號,120.569777191133,24.254926549978
臺中市沙鹿區鹿峰里13鄰星河路208之43號,66,6601300,鹿峰里,13鄰,星河路,,,,,,208之43號,120.569816082348,24.254913098243
臺中市沙鹿區鹿峰里13鄰星河路210號,66,6601300,鹿峰里,13鄰,星河路,,,,,,210號,120.570447966484,24.255241331192
臺中市沙鹿區鹿峰里12鄰星河路214之3號,66,6601300,鹿峰里,12鄰,星河路,,,,,,214之3號,120.571127682938,24.25555624303
臺中市沙鹿區鹿峰里11鄰星河路305號,66,6601300,鹿峰里,11鄰,星河路,,,,,,305號,120.572284348292,24.257351208579
臺中市沙鹿區鹿峰里6鄰星河路501號,66,6601300,鹿峰里,6鄰,星河路,,,,,,501號,120.575178750109,24.258471814089
臺中市沙鹿區鹿峰里4鄰星河路546號,66,6601300,鹿峰里,4鄰,星河路,,,,,,546號,120.573387183239,24.259154546805
臺中市沙鹿區鹿峰里13鄰星河路206之5巷18號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,18號,120.571112591576,24.254075796911
臺中市沙鹿區鹿峰里13鄰星河路206之5巷30號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,30號,120.571309063822,24.253982872322
臺中市沙鹿區鹿峰里13鄰星河路206之5巷1號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,1號,120.570946295491,24.254375365276
臺中市沙鹿區鹿峰里13鄰星河路206之5巷3號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,3號,120.570999939328,24.254350912241
臺中市沙鹿區鹿峰里13鄰星河路206之5巷7號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,7號,120.571103204006,24.254331953355
臺中市沙鹿區鹿峰里13鄰星河路206之5巷22號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,22號,120.571191046206,24.254038502126
臺中市沙鹿區鹿峰里13鄰星河路206之5巷21號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,21號,120.571380813205,24.254199899525
臺中市沙鹿區鹿峰里13鄰星河路206之5巷17號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,17號,120.57130235844,24.254237808386
臺中市沙鹿區鹿峰里13鄰星河路206之5巷15號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,15號,120.571261454839,24.254257367541
臺中市沙鹿區鹿峰里13鄰星河路206之5巷9號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,9號,120.571144107565,24.254313008222
臺中市沙鹿區鹿峰里13鄰星河路206之5巷2號,66,6601300,鹿峰里,13鄰,星河路,,206之5巷,,,,2號,120.570861805673,24.254221912012
