FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西區忠明里12鄰梅亭街667號,66,6600400,忠明里,12鄰,梅亭街,,,,,,667號,120.664895127078,24.159821293544
臺中市西區忠明里12鄰梅亭街669號,66,6600400,忠明里,12鄰,梅亭街,,,,,,669號,120.664881068191,24.159992223168
臺中市西區忠明里12鄰梅亭街671號,66,6600400,忠明里,12鄰,梅亭街,,,,,,671號,120.664811719058,24.159955727952
臺中市西區忠明里12鄰梅亭街673號,66,6600400,忠明里,12鄰,梅亭街,,,,,,673號,120.664791232947,24.159924540937
臺中市西區忠明里12鄰梅亭街675號,66,6600400,忠明里,12鄰,梅亭街,,,,,,675號,120.664761564779,24.159905234343
臺中市西區忠明里12鄰梅亭街677號,66,6600400,忠明里,12鄰,梅亭街,,,,,,677號,120.664727961159,24.159885205781
臺中市西區忠明里12鄰梅亭街679號,66,6600400,忠明里,12鄰,梅亭街,,,,,,679號,120.664692488708,24.159864820963
臺中市西區忠明里12鄰梅亭街680號,66,6600400,忠明里,12鄰,梅亭街,,,,,,680號,120.664605294915,24.160184193796
臺中市西區忠明里12鄰梅亭街681號,66,6600400,忠明里,12鄰,梅亭街,,,,,,681號,120.664619675376,24.159861238824
臺中市西區忠明里12鄰梅亭街682號,66,6600400,忠明里,12鄰,梅亭街,,,,,,682號,120.664563724413,24.160149700828
臺中市西區忠明里12鄰梅亭街686號,66,6600400,忠明里,12鄰,梅亭街,,,,,,686號,120.664511739345,24.160115184948
臺中市西區忠明里12鄰梅亭街688號,66,6600400,忠明里,12鄰,梅亭街,,,,,,688號,120.664455563711,24.160090212819
臺中市西區忠明里12鄰梅亭街690巷2號,66,6600400,忠明里,12鄰,梅亭街,,690巷,,,,2號,120.664484065874,24.160143430905
臺中市西區忠明里12鄰梅亭街690巷6號,66,6600400,忠明里,12鄰,梅亭街,,690巷,,,,6號,120.664465733669,24.160184004316
臺中市西區忠明里12鄰梅亭街690巷8號,66,6600400,忠明里,12鄰,梅亭街,,690巷,,,,8號,120.664443495856,24.160224569135
臺中市西區忠明里12鄰梅亭街690巷10號,66,6600400,忠明里,12鄰,梅亭街,,690巷,,,,10號,120.664409525617,24.160271085531
臺中市北區金龍里17鄰梅亭街1號,66,6600500,金龍里,17鄰,梅亭街,,,,,,1號,120.691381171609,24.160082990716
臺中市北區金龍里1鄰梅亭街90巷2號,66,6600500,金龍里,1鄰,梅亭街,,90巷,,,,2號,120.68826980925,24.160409702056
臺中市北區金龍里2鄰梅亭街90巷3弄28號,66,6600500,金龍里,2鄰,梅亭街,,90巷,3弄,,,28號,120.687051415676,24.160511505197
臺中市北區金龍里1鄰梅亭街90巷6號,66,6600500,金龍里,1鄰,梅亭街,,90巷,,,,6號,120.688275843554,24.160455592255
臺中市北區金龍里17鄰梅亭街3號,66,6600500,金龍里,17鄰,梅亭街,,,,,,3號,120.691267295337,24.160091545836
臺中市北區金龍里17鄰梅亭街5號地下層之2,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號地下層之2,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號地下層之1,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號地下層之1,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號二樓之2,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號二樓之2,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號二樓之3,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號二樓之3,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號二樓之1,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號二樓之1,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號三樓之9,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號三樓之9,120.690777446808,24.159892929505
臺中市北區金龍里17鄰梅亭街5號三樓之1,66,6600500,金龍里,17鄰,梅亭街,,,,,,5號三樓之1,120.690777446808,24.159892929505
