FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市東區十甲里10鄰樂業路285號,66,6600200,十甲里,10鄰,樂業路,,,,,,285號,120.702303867006,24.139048518143
臺中市東區十甲里10鄰樂業路287號,66,6600200,十甲里,10鄰,樂業路,,,,,,287號,120.702347159877,24.139048602555
臺中市東區十甲里10鄰樂業路289號,66,6600200,十甲里,10鄰,樂業路,,,,,,289號,120.702390451535,24.139048786274
臺中市東區十甲里10鄰樂業路291號,66,6600200,十甲里,10鄰,樂業路,,,,,,291號,120.702433842799,24.139048870853
臺中市東區十甲里10鄰樂業路293號,66,6600200,十甲里,10鄰,樂業路,,,,,,293號,120.70247713567,24.139048955228
臺中市東區十甲里10鄰樂業路295號,66,6600200,十甲里,10鄰,樂業路,,,,,,295號,120.702521018482,24.139049221327
臺中市東區十甲里10鄰樂業路297號,66,6600200,十甲里,10鄰,樂業路,,,,,,297號,120.702575612541,24.139055377346
臺中市東區十甲里10鄰樂業路299號,66,6600200,十甲里,10鄰,樂業路,,,,,,299號,120.702476500091,24.139238569972
臺中市東區十甲里10鄰樂業路301號,66,6600200,十甲里,10鄰,樂業路,,,,,,301號,120.70254025886,24.139238233716
臺中市東區十甲里10鄰樂業路303號,66,6600200,十甲里,10鄰,樂業路,,,,,,303號,120.702578288851,24.139216998584
臺中市東區十甲里10鄰樂業路305號,66,6600200,十甲里,10鄰,樂業路,,,,,,305號,120.702619973995,24.139201784097
臺中市東區十甲里10鄰樂業路307號,66,6600200,十甲里,10鄰,樂業路,,,,,,307號,120.702648109854,24.139191039818
臺中市東區十甲里10鄰樂業路309號,66,6600200,十甲里,10鄰,樂業路,,,,,,309號,120.702694890854,24.139171537273
臺中市東區十甲里10鄰樂業路311巷1號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,1號,120.702716091126,24.139321564799
臺中市東區十甲里10鄰樂業路311巷2號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,2號,120.703016978642,24.139193753292
臺中市東區十甲里10鄰樂業路311巷3號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,3號,120.702749737817,24.139366235216
臺中市東區十甲里10鄰樂業路311巷4號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,4號,120.703003318399,24.139271821417
臺中市東區十甲里10鄰樂業路311巷5號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,5號,120.702783773383,24.139412522632
臺中市東區十甲里10鄰樂業路311巷7號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,7號,120.702865055072,24.139436915578
臺中市東區十甲里10鄰樂業路311巷9號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,9號,120.702881910826,24.139480794821
臺中市東區十甲里10鄰樂業路311巷10號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,10號,120.703105437175,24.139405572899
臺中市東區十甲里10鄰樂業路311巷11號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,11號,120.70291408098,24.139524929597
臺中市東區十甲里10鄰樂業路311巷12號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,12號,120.703152775855,24.139445827422
臺中市東區十甲里10鄰樂業路311巷13號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,13號,120.70295734989,24.139578467438
臺中市東區十甲里10鄰樂業路311巷14號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,14號,120.703211817534,24.139483513263
臺中市東區十甲里10鄰樂業路311巷15號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,15號,120.703042184115,24.13961249247
臺中市東區十甲里10鄰樂業路311巷16號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,16號,120.703271366288,24.139517227161
臺中市東區十甲里10鄰樂業路311巷17號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,17號,120.703100255544,24.139646826584
臺中市東區十甲里10鄰樂業路311巷18號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,18號,120.703330815508,24.139551022106
臺中市東區十甲里10鄰樂業路311巷19號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,19號,120.703158034138,24.139680157851
臺中市東區十甲里10鄰樂業路311巷21號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,21號,120.703215812115,24.139713769005
臺中市東區十甲里10鄰樂業路311巷22號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,22號,120.703460788035,24.139638759819
臺中市東區十甲里10鄰樂業路311巷23號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,23號,120.703273195961,24.139747207813
臺中市東區十甲里10鄰樂業路311巷25號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,25號,120.70331625672,24.139805341077
臺中市東區十甲里10鄰樂業路311巷27號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,27號,120.703372650182,24.139842028483
臺中市東區十甲里10鄰樂業路311巷29號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,29號,120.703448788427,24.139850122211
臺中市東區十甲里10鄰樂業路311巷31號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,31號,120.703506663286,24.139884455789
臺中市東區十甲里10鄰樂業路311巷31之1號,66,6600200,十甲里,10鄰,樂業路,,311巷,,,,31之1號,120.703560048604,24.139987855019
臺中市東區十甲里10鄰樂業路313號,66,6600200,十甲里,10鄰,樂業路,,,,,,313號,120.702829863585,24.139138942313
臺中市東區十甲里10鄰樂業路315號,66,6600200,十甲里,10鄰,樂業路,,,,,,315號,120.702869560417,24.139119778069
臺中市東區十甲里10鄰樂業路317號,66,6600200,十甲里,10鄰,樂業路,,,,,,317號,120.702909257822,24.139100360995
臺中市東區十甲里10鄰樂業路319號,66,6600200,十甲里,10鄰,樂業路,,,,,,319號,120.702949252521,24.139080023496
臺中市東區十甲里10鄰樂業路321號,66,6600200,十甲里,10鄰,樂業路,,,,,,321號,120.702962163132,24.139028310538
臺中市東區十甲里10鄰樂業路323號,66,6600200,十甲里,10鄰,樂業路,,,,,,323號,120.70300441128,24.139011688465
臺中市東區十甲里10鄰樂業路327號,66,6600200,十甲里,10鄰,樂業路,,,,,,327號,120.703139960795,24.138961785119
臺中市東區十甲里10鄰樂業路337號,66,6600200,十甲里,10鄰,樂業路,,,,,,337號,120.703400380083,24.138911167181
臺中市東區十甲里10鄰樂業路339號,66,6600200,十甲里,10鄰,樂業路,,,,,,339號,120.703447318188,24.13891048184
臺中市東區十甲里10鄰樂業路341號,66,6600200,十甲里,10鄰,樂業路,,,,,,341號,120.703497243677,24.138934470424
臺中市東區十甲里10鄰樂業路343號,66,6600200,十甲里,10鄰,樂業路,,,,,,343號,120.703543870316,24.138896899621
臺中市東區十甲里10鄰樂業路345號,66,6600200,十甲里,10鄰,樂業路,,,,,,345號,120.703606218415,24.138783260102
臺中市東區十甲里10鄰樂業路347號,66,6600200,十甲里,10鄰,樂業路,,,,,,347號,120.703678849575,24.138775446247
臺中市東區十甲里10鄰樂業路349號,66,6600200,十甲里,10鄰,樂業路,,,,,,349號,120.703891726507,24.138880780128
臺中市東區十甲里10鄰樂業路353號,66,6600200,十甲里,10鄰,樂業路,,,,,,353號,120.703966258789,24.138731037726
臺中市東區十甲里10鄰樂業路359號,66,6600200,十甲里,10鄰,樂業路,,,,,,359號,120.70416666938,24.138554180367
臺中市東區十甲里10鄰樂業路361號,66,6600200,十甲里,10鄰,樂業路,,,,,,361號,120.704224563554,24.138541028445
臺中市東區十甲里13鄰樂業路361之1號,66,6600200,十甲里,13鄰,樂業路,,,,,,361之1號,120.704431205899,24.138474936617
臺中市東區十甲里13鄰樂業路361之2號,66,6600200,十甲里,13鄰,樂業路,,,,,,361之2號,120.704466186849,24.138460250402
臺中市東區十甲里13鄰樂業路361之1號二樓,66,6600200,十甲里,13鄰,樂業路,,,,,,361之1號二樓,120.704431205899,24.138474936617
臺中市東區十甲里13鄰樂業路361之1號三樓,66,6600200,十甲里,13鄰,樂業路,,,,,,361之1號三樓,120.704431205899,24.138474936617
臺中市東區十甲里13鄰樂業路361之1號四樓,66,6600200,十甲里,13鄰,樂業路,,,,,,361之1號四樓,120.704431205899,24.138474936617
臺中市東區十甲里13鄰樂業路361之1號五樓,66,6600200,十甲里,13鄰,樂業路,,,,,,361之1號五樓,120.704431205899,24.138474936617
臺中市東區十甲里13鄰樂業路363號,66,6600200,十甲里,13鄰,樂業路,,,,,,363號,120.704540453036,24.138443030733
臺中市東區十甲里13鄰樂業路365號,66,6600200,十甲里,13鄰,樂業路,,,,,,365號,120.704564233855,24.138413379271
臺中市東區十甲里13鄰樂業路367號,66,6600200,十甲里,13鄰,樂業路,,,,,,367號,120.704603446805,24.138390060141
臺中市東區十甲里13鄰樂業路369號,66,6600200,十甲里,13鄰,樂業路,,,,,,369號,120.70464088402,24.138369193543
臺中市東區十甲里13鄰樂業路371號,66,6600200,十甲里,13鄰,樂業路,,,,,,371號,120.704686185013,24.138351222505
臺中市東區十甲里13鄰樂業路373號,66,6600200,十甲里,13鄰,樂業路,,,,,,373號,120.70472549849,24.138327813244
臺中市東區十甲里13鄰樂業路381號,66,6600200,十甲里,13鄰,樂業路,,,,,,381號,120.704848598896,24.138267292879
臺中市東區十甲里13鄰樂業路383號,66,6600200,十甲里,13鄰,樂業路,,,,,,383號,120.704857261451,24.138214117813
臺中市東區十甲里13鄰樂業路385號,66,6600200,十甲里,13鄰,樂業路,,,,,,385號,120.704891879603,24.138195403715
臺中市東區十甲里13鄰樂業路387號,66,6600200,十甲里,13鄰,樂業路,,,,,,387號,120.704944963513,24.138177366378
臺中市東區十甲里13鄰樂業路393號,66,6600200,十甲里,13鄰,樂業路,,,,,,393號,120.705084530498,24.138032841619
臺中市東區十甲里13鄰樂業路395號,66,6600200,十甲里,13鄰,樂業路,,,,,,395號,120.705122343809,24.138003641551
臺中市東區東信里1鄰樂業路426號,66,6600200,東信里,1鄰,樂業路,,,,,,426號,120.705808469384,24.136959584752
臺中市東區東信里1鄰樂業路458之3號,66,6600200,東信里,1鄰,樂業路,,,,,,458之3號,120.706735782013,24.136356556589
臺中市東區東信里22鄰樂業路266號,66,6600200,東信里,22鄰,樂業路,,,,,,266號,120.701680183031,24.138758524626
臺中市東區東信里22鄰樂業路268號,66,6600200,東信里,22鄰,樂業路,,,,,,268號,120.701733772834,24.138735198212
臺中市東區東信里22鄰樂業路270號,66,6600200,東信里,22鄰,樂業路,,,,,,270號,120.701782691909,24.138745803918
臺中市東區東信里22鄰樂業路272號,66,6600200,東信里,22鄰,樂業路,,,,,,272號,120.701855610226,24.138736393299
臺中市東區東信里22鄰樂業路276號,66,6600200,東信里,22鄰,樂業路,,,,,,276號,120.701918089556,24.138736515299
臺中市東區東信里22鄰樂業路278號,66,6600200,東信里,22鄰,樂業路,,,,,,278號,120.70196808089,24.138732793487
臺中市東區東信里22鄰樂業路280號,66,6600200,東信里,22鄰,樂業路,,,,,,280號,120.702047222029,24.138732947958
臺中市東區東信里22鄰樂業路280號二樓,66,6600200,東信里,22鄰,樂業路,,,,,,280號二樓,120.702047222029,24.138732947958
臺中市東區東信里22鄰樂業路280號三樓,66,6600200,東信里,22鄰,樂業路,,,,,,280號三樓,120.702047222029,24.138732947958
臺中市東區東信里22鄰樂業路280號四樓,66,6600200,東信里,22鄰,樂業路,,,,,,280號四樓,120.702047222029,24.138732947958
