FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市霧峰區本堂里33鄰樹仁二街1號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,1號,120.696756910735,24.063961961579
臺中市霧峰區本堂里33鄰樹仁二街2之1號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,2之1號,120.696743982081,24.064185973872
臺中市霧峰區本堂里33鄰樹仁二街3號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,3號,120.696711313179,24.063942367672
臺中市霧峰區本堂里33鄰樹仁二街5號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,5號,120.696664374193,24.063920324121
臺中市霧峰區本堂里33鄰樹仁二街6號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,6號,120.696682357514,24.064214113814
臺中市霧峰區本堂里33鄰樹仁二街7號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,7號,120.696628164837,24.063986447004
臺中市霧峰區本堂里33鄰樹仁二街8號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,8號,120.69660670706,24.064141963271
臺中市霧峰區本堂里33鄰樹仁二街9號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,9號,120.696578543929,24.063959513195
臺中市霧峰區本堂里33鄰樹仁二街10號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,10號,120.696566474237,24.064166461575
臺中市霧峰區本堂里33鄰樹仁二街11號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,11號,120.696529083158,24.063932651922
臺中市霧峰區本堂里33鄰樹仁二街12號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,12號,120.696528922847,24.064187272153
臺中市霧峰區本堂里33鄰樹仁二街14號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,14號,120.69649137155,24.064227685587
臺中市霧峰區本堂里33鄰樹仁二街16號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,16號,120.696437727554,24.064164012083
臺中市霧峰區本堂里33鄰樹仁二街17號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,17號,120.696394972863,24.0639546976
臺中市霧峰區本堂里33鄰樹仁二街20號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,20號,120.696365307689,24.0642301353
臺中市霧峰區本堂里33鄰樹仁二街22號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,22號,120.696322392516,24.064277887994
臺中市霧峰區本堂里33鄰樹仁二街28號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,28號,120.696249973646,24.064454224222
臺中市霧峰區本堂里33鄰樹仁二街30號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,30號,120.696203034453,24.064412595723
臺中市霧峰區本堂里33鄰樹仁二街32號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,32號,120.696232538974,24.064370956447
臺中市霧峰區本堂里33鄰樹仁二街36號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,36號,120.696182917807,24.064340347537
臺中市霧峰區本堂里33鄰樹仁二街38號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,38號,120.696212422259,24.064297480263
臺中市霧峰區本堂里33鄰樹仁二街40號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,40號,120.696169506542,24.064264419629
臺中市霧峰區本堂里33鄰樹仁二街42號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,42號,120.696197669719,24.064222786724
臺中市霧峰區本堂里33鄰樹仁二街46號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,46號,120.696135979701,24.064189724925
臺中市霧峰區本堂里33鄰樹仁二街48號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,48號,120.696162801575,24.064148089363
臺中市霧峰區本堂里33鄰樹仁二街50號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,50號,120.696114521421,24.064113889385
臺中市霧峰區本堂里33鄰樹仁二街52號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,52號,120.696145367332,24.064070943521
臺中市霧峰區本堂里33鄰樹仁二街56號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,56號,120.696097087618,24.064040328217
臺中市霧峰區本堂里33鄰樹仁二街58號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,58號,120.696137320201,24.063992570258
臺中市霧峰區本堂里33鄰樹仁二街60號,66,6602600,本堂里,33鄰,樹仁二街,,,,,,60號,120.69608904044,24.06396073598
