FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區大河里13鄰櫻城二街2號,66,6600600,大河里,13鄰,櫻城二街,,,,,,2號,120.65089106014,24.169676015129
臺中市西屯區大河里13鄰櫻城二街6號,66,6600600,大河里,13鄰,櫻城二街,,,,,,6號,120.650971471766,24.169746437818
臺中市西屯區大河里13鄰櫻城二街8號,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之12,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之12,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之9,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之9,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之8,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之8,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之3,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之3,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之2,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之2,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之5,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之5,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之11,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之11,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之7,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之7,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之1,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之1,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之10,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之10,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號三樓之6,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號三樓之6,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之9,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之9,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之10,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之10,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之12,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之12,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之3,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之3,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之6,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之6,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之8,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之8,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之5,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之5,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之14,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之14,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之13,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之13,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之2,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之2,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之7,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之7,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之11,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之11,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號四樓之1,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號四樓之1,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之12,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之12,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之9,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之9,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之1,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之1,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之7,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之7,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之6,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之6,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之2,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之2,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之13,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之13,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之10,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之10,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之8,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之8,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之3,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之3,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之11,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之11,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號五樓之5,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號五樓之5,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號六樓之3,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號六樓之3,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號六樓之8,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號六樓之8,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號六樓之2,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號六樓之2,120.651022004771,24.169765966367
臺中市西屯區大河里13鄰櫻城二街8號六樓之10,66,6600600,大河里,13鄰,櫻城二街,,,,,,8號六樓之10,120.651022004771,24.169765966367
