FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區永隆里12鄰永隆五街15號,66,6602800,永隆里,12鄰,永隆五街,,,,,,15號,120.677952558249,24.11076083993
臺中市大里區永隆里12鄰永隆五街29號,66,6602800,永隆里,12鄰,永隆五街,,,,,,29號,120.677667707412,24.110731092572
臺中市大里區永隆里12鄰永隆五街31號,66,6602800,永隆里,12鄰,永隆五街,,,,,,31號,120.677619427149,24.110730114873
臺中市大里區永隆里12鄰永隆五街33號,66,6602800,永隆里,12鄰,永隆五街,,,,,,33號,120.677573293365,24.110729132659
臺中市大里區永隆里12鄰永隆五街35號,66,6602800,永隆里,12鄰,永隆五街,,,,,,35號,120.677533596505,24.110729139185
臺中市大里區永隆里12鄰永隆五街37號,66,6602800,永隆里,12鄰,永隆五街,,,,,,37號,120.677474588366,24.110729132029
臺中市大里區永隆里12鄰永隆五街39號,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號二樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號二樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號二樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號二樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號二樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號二樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號二樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號二樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號三樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號三樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號三樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號三樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號三樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號三樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號三樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號三樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號四樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號四樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號四樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號四樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號四樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號四樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號四樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號四樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號五樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號五樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號五樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號五樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號五樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號五樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號五樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號五樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號六樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號六樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號六樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號六樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號六樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號六樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號六樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號六樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號七樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號七樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號七樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號七樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號七樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號七樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號七樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號七樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號八樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號八樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號八樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號八樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號八樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號八樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號八樓之5,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號八樓之5,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號九樓之1,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號九樓之1,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號九樓之2,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號九樓之2,120.677417725694,24.110733057148
臺中市大里區永隆里12鄰永隆五街39號九樓之3,66,6602800,永隆里,12鄰,永隆五街,,,,,,39號九樓之3,120.677417725694,24.110733057148
臺中市大里區永隆里15鄰永隆五街111號,66,6602800,永隆里,15鄰,永隆五街,,,,,,111號,120.675764412035,24.110723011659
臺中市大里區永隆里8鄰永隆五街2號,66,6602800,永隆里,8鄰,永隆五街,,,,,,2號,120.677611962305,24.111179670537
臺中市大里區永隆里12鄰永隆五街3號,66,6602800,永隆里,12鄰,永隆五街,,,,,,3號,120.67827334484,24.110735285407
臺中市大里區永隆里12鄰永隆五街7號,66,6602800,永隆里,12鄰,永隆五街,,,,,,7號,120.678110150943,24.110733497023
臺中市大里區永隆里12鄰永隆五街9號,66,6602800,永隆里,12鄰,永隆五街,,,,,,9號,120.67803019812,24.110724208933
臺中市大里區永隆里12鄰永隆五街21號,66,6602800,永隆里,12鄰,永隆五街,,,,,,21號,120.677888112762,24.110778266182
臺中市大里區永隆里12鄰永隆五街25號,66,6602800,永隆里,12鄰,永隆五街,,,,,,25號,120.67778065152,24.110754743889
臺中市大里區永隆里12鄰永隆五街27號,66,6602800,永隆里,12鄰,永隆五街,,,,,,27號,120.677719585312,24.110785044022
臺中市大里區永隆里13鄰永隆五街55號,66,6602800,永隆里,13鄰,永隆五街,,,,,,55號,120.677225788936,24.11077352771
臺中市大里區永隆里13鄰永隆五街57號,66,6602800,永隆里,13鄰,永隆五街,,,,,,57號,120.677173233672,24.110783439266
臺中市大里區永隆里13鄰永隆五街59號,66,6602800,永隆里,13鄰,永隆五街,,,,,,59號,120.6771266058,24.11078334075
臺中市大里區永隆里13鄰永隆五街61號,66,6602800,永隆里,13鄰,永隆五街,,,,,,61號,120.677084597516,24.110784786971
臺中市大里區永隆里13鄰永隆五街63號,66,6602800,永隆里,13鄰,永隆五街,,,,,,63號,120.677040629513,24.110783159059
臺中市大里區永隆里13鄰永隆五街65號,66,6602800,永隆里,13鄰,永隆五街,,,,,,65號,120.676988393359,24.110783500114
臺中市大里區永隆里13鄰永隆五街67號,66,6602800,永隆里,13鄰,永隆五街,,,,,,67號,120.676945897071,24.110783410276
臺中市大里區永隆里13鄰永隆五街69號,66,6602800,永隆里,13鄰,永隆五街,,,,,,69號,120.676899859426,24.110783312938
臺中市大里區永隆里13鄰永隆五街71號,66,6602800,永隆里,13鄰,永隆五街,,,,,,71號,120.676860608702,24.110783500819
臺中市大里區永隆里13鄰永隆五街73號,66,6602800,永隆里,13鄰,永隆五街,,,,,,73號,120.676820280657,24.110781790248
臺中市大里區永隆里13鄰永隆五街75號,66,6602800,永隆里,13鄰,永隆五街,,,,,,75號,120.676776013692,24.110781696618
臺中市大里區永隆里15鄰永隆五街95號,66,6602800,永隆里,15鄰,永隆五街,,,,,,95號,120.676219233615,24.11074142077
臺中市大里區永隆里15鄰永隆五街97號,66,6602800,永隆里,15鄰,永隆五街,,,,,,97號,120.676171525952,24.110740416739
臺中市大里區永隆里15鄰永隆五街99號,66,6602800,永隆里,15鄰,永隆五街,,,,,,99號,120.676119881179,24.110740307283
臺中市大里區永隆里15鄰永隆五街101號,66,6602800,永隆里,15鄰,永隆五街,,,,,,101號,120.676072768969,24.110737227733
臺中市大里區永隆里15鄰永隆五街103號,66,6602800,永隆里,15鄰,永隆五街,,,,,,103號,120.675964553797,24.110778894479
臺中市大里區永隆里15鄰永隆五街105號,66,6602800,永隆里,15鄰,永隆五街,,,,,,105號,120.675920584904,24.110777627418
臺中市大里區永隆里15鄰永隆五街115號,66,6602800,永隆里,15鄰,永隆五街,,,,,,115號,120.675572904782,24.11075251039
臺中市大里區永隆里15鄰永隆五街117號,66,6602800,永隆里,15鄰,永隆五街,,,,,,117號,120.675530017529,24.110751426099
臺中市大里區永隆里15鄰永隆五街119號,66,6602800,永隆里,15鄰,永隆五街,,,,,,119號,120.675488999554,24.110750255473
臺中市大里區永隆里15鄰永隆五街121號,66,6602800,永隆里,15鄰,永隆五街,,,,,,121號,120.675441491598,24.110748077822
臺中市大里區永隆里15鄰永隆五街123號,66,6602800,永隆里,15鄰,永隆五街,,,,,,123號,120.67535166544,24.110714207527
臺中市大里區永隆里14鄰永隆五街130號,66,6602800,永隆里,14鄰,永隆五街,,,,,,130號,120.676045988613,24.110902859546
臺中市大里區永隆里14鄰永隆五街138號,66,6602800,永隆里,14鄰,永隆五街,,,,,,138號,120.675941624313,24.110938755654
臺中市大里區永隆里14鄰永隆五街142號,66,6602800,永隆里,14鄰,永隆五街,,,,,,142號,120.675871362521,24.111013703738
臺中市大里區永隆里14鄰永隆五街148號,66,6602800,永隆里,14鄰,永隆五街,,,,,,148號,120.675740123015,24.110914039235
臺中市大里區永隆里14鄰永隆五街156號,66,6602800,永隆里,14鄰,永隆五街,,,,,,156號,120.67552878998,24.110926231717
臺中市大里區永隆里14鄰永隆五街158號,66,6602800,永隆里,14鄰,永隆五街,,,,,,158號,120.675478725219,24.110923687474
臺中市大里區永隆里14鄰永隆五街160號,66,6602800,永隆里,14鄰,永隆五街,,,,,,160號,120.675429844784,24.110919610741
臺中市大里區永隆里14鄰永隆五街162號,66,6602800,永隆里,14鄰,永隆五街,,,,,,162號,120.675378991466,24.110917696845
臺中市大里區永隆里14鄰永隆五街166號,66,6602800,永隆里,14鄰,永隆五街,,,,,,166號,120.67535030833,24.111057319954
