FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區何仁里22鄰洛陽路103之4號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103之4號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路103號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路103之3號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103之3號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路103之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103之1號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路103之5號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103之5號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路103之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,103之2號,120.65122834631,24.167062732538
臺中市西屯區何仁里22鄰洛陽路105之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105之2號,120.651284505161,24.167111790542
臺中市西屯區何仁里22鄰洛陽路105之3號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105之3號,120.651284505161,24.167111790542
臺中市西屯區何仁里22鄰洛陽路105之5號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105之5號,120.651284505161,24.167111790542
臺中市西屯區何仁里22鄰洛陽路105號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105號,120.651284505161,24.167111790542
臺中市西屯區何仁里22鄰洛陽路105之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105之1號,120.651284505161,24.167111790542
臺中市西屯區何仁里22鄰洛陽路105之4號,66,6600600,何仁里,22鄰,洛陽路,,,,,,105之4號,120.651284505161,24.167111790542
臺中市西屯區何仁里34鄰洛陽路106號,66,6600600,何仁里,34鄰,洛陽路,,,,,,106號,120.651725296223,24.167186747312
臺中市西屯區何仁里34鄰洛陽路106之1號,66,6600600,何仁里,34鄰,洛陽路,,,,,,106之1號,120.651764771941,24.167218801052
臺中市西屯區何仁里22鄰洛陽路107之4號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107之4號,120.651344318319,24.167156450595
臺中市西屯區何仁里22鄰洛陽路107之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107之1號,120.651344318319,24.167156450595
臺中市西屯區何仁里22鄰洛陽路107之3號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107之3號,120.651344318319,24.167156450595
臺中市西屯區何仁里22鄰洛陽路107之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107之2號,120.651344318319,24.167156450595
臺中市西屯區何仁里22鄰洛陽路107之5號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107之5號,120.651344318319,24.167156450595
臺中市西屯區何仁里22鄰洛陽路107號,66,6600600,何仁里,22鄰,洛陽路,,,,,,107號,120.651344318319,24.167156450595
臺中市西屯區何仁里34鄰洛陽路108號,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號三樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號三樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號三樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號三樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號三樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號三樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號三樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號三樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號四樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號四樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號四樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號四樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號四樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號四樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號四樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號四樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號五樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號五樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號五樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號五樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號五樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號五樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號五樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號五樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號六樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號六樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號六樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號六樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號六樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號六樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號六樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號六樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號七樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號七樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號七樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號七樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號七樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號七樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號七樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號七樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號八樓之2,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號八樓之2,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號八樓之5,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號八樓之5,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號八樓之3,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號八樓之3,120.651799225846,24.167251845567
臺中市西屯區何仁里34鄰洛陽路108號八樓之1,66,6600600,何仁里,34鄰,洛陽路,,,,,,108號八樓之1,120.651799225846,24.167251845567
臺中市西屯區何仁里22鄰洛陽路109號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之5之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之5之2號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之3之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之3之1號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之4之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之4之2號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之5之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之5之1號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之3之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之3之2號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之2號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之2號,120.651408207658,24.16720408154
臺中市西屯區何仁里22鄰洛陽路109之4之1號,66,6600600,何仁里,22鄰,洛陽路,,,,,,109之4之1號,120.651408207658,24.16720408154
臺中市西屯區何仁里34鄰洛陽路110號,66,6600600,何仁里,34鄰,洛陽路,,,,,,110號,120.651833890602,24.167279725813
臺中市西屯區何仁里29鄰洛陽路111巷1號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,1號,120.651328322865,24.167299293185
臺中市西屯區何仁里29鄰洛陽路111巷2號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,2號,120.651489482264,24.167409330982
臺中市西屯區何仁里29鄰洛陽路111巷3號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,3號,120.651297050878,24.167324205686
臺中市西屯區何仁里29鄰洛陽路111巷4號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,4號,120.651457325732,24.167436345315
臺中市西屯區何仁里29鄰洛陽路111巷5號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,5號,120.651270229189,24.167352017722
臺中市西屯區何仁里29鄰洛陽路111巷6號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,6號,120.651426441952,24.167465800451
臺中市西屯區何仁里29鄰洛陽路111巷7號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,7號,120.651245844884,24.167385388325
臺中市西屯區何仁里29鄰洛陽路111巷8號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,8號,120.651388860355,24.167497317006
臺中市西屯區何仁里29鄰洛陽路111巷9弄1號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,1號,120.651158580684,24.167240088433
臺中市西屯區何仁里29鄰洛陽路111巷9弄2號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,2號,120.651038848971,24.167370639642
臺中市西屯區何仁里29鄰洛陽路111巷9弄3號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,3號,120.651145262805,24.167217421598
臺中市西屯區何仁里29鄰洛陽路111巷9弄4號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,4號,120.651004967015,24.167344476568
臺中市西屯區何仁里29鄰洛陽路111巷9弄5號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,5號,120.651111780765,24.167187151146
臺中市西屯區何仁里29鄰洛陽路111巷9弄6號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,6號,120.650975818789,24.167314703582
臺中市西屯區何仁里29鄰洛陽路111巷9弄7號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,7號,120.651081052995,24.167159189449
臺中市西屯區何仁里29鄰洛陽路111巷9弄8號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,8號,120.650945681773,24.167286643889
臺中市西屯區何仁里29鄰洛陽路111巷9弄10號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,10號,120.650922647761,24.167252279957
臺中市西屯區何仁里29鄰洛陽路111巷9弄12號,66,6600600,何仁里,29鄰,洛陽路,,111巷,9弄,,,12號,120.650867109658,24.167228315579
臺中市西屯區何仁里29鄰洛陽路111巷10弄1號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,1號,120.651351858091,24.167677908099
臺中市西屯區何仁里29鄰洛陽路111巷10弄2號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,2號,120.651517918492,24.167519823907
臺中市西屯區何仁里29鄰洛陽路111巷10弄2之1號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,2之1號,120.651521921807,24.167560509909
臺中市西屯區何仁里29鄰洛陽路111巷10弄3號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,3號,120.651386535365,24.167701183547
臺中市西屯區何仁里29鄰洛陽路111巷10弄5號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,5號,120.651416579039,24.167727446116
臺中市西屯區何仁里29鄰洛陽路111巷10弄6號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,6號,120.651582102845,24.167549496238
臺中市西屯區何仁里29鄰洛陽路111巷10弄7號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,7號,120.651449971804,24.167752614761
臺中市西屯區何仁里29鄰洛陽路111巷10弄8號,66,6600600,何仁里,29鄰,洛陽路,,111巷,10弄,,,8號,120.651612103184,24.167591731446
臺中市西屯區何仁里29鄰洛陽路111巷11號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,11號,120.651170011975,24.167454740292
臺中市西屯區何仁里29鄰洛陽路111巷12號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,12號,120.651329488859,24.167579880375
臺中市西屯區何仁里29鄰洛陽路111巷13號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,13號,120.651145018856,24.167481436857
臺中市西屯區何仁里29鄰洛陽路111巷14號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,14號,120.651290267488,24.167599122381
臺中市西屯區何仁里29鄰洛陽路111巷15號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,15號,120.651113929675,24.167504236889
臺中市西屯區何仁里29鄰洛陽路111巷16號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,16號,120.651264114898,24.167625870489
臺中市西屯區何仁里29鄰洛陽路111巷17號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,17號,120.651085888491,24.167533156701
臺中市西屯區何仁里29鄰洛陽路111巷18號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,18號,120.651235209124,24.1676517184
臺中市西屯區何仁里29鄰洛陽路111巷19號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,19號,120.651053580095,24.167560965175
臺中市西屯區何仁里29鄰洛陽路111巷20號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,20號,120.651196874182,24.16767069153
臺中市西屯區何仁里29鄰洛陽路111巷21弄1號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,1號,120.650944809708,24.167462261166
臺中市西屯區何仁里29鄰洛陽路111巷21弄2號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,2號,120.650770449986,24.167632415918
臺中市西屯區何仁里29鄰洛陽路111巷21弄3號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,3號,120.650924239482,24.167426990917
臺中市西屯區何仁里29鄰洛陽路111巷21弄4號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,4號,120.650760738208,24.167584728176
臺中市西屯區何仁里29鄰洛陽路111巷21弄5號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,5號,120.650883840602,24.16740911983
臺中市西屯區何仁里29鄰洛陽路111巷21弄7號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,7號,120.650865352783,24.167367723465
臺中市西屯區何仁里29鄰洛陽路111巷21弄9號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,9號,120.650833534637,24.167342639561
臺中市西屯區何仁里29鄰洛陽路111巷21弄11號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,11號,120.650795883064,24.167327474491
臺中市西屯區何仁里29鄰洛陽路111巷21弄13號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,13號,120.650771063904,24.16729815381
臺中市西屯區何仁里29鄰洛陽路111巷21弄15號,66,6600600,何仁里,29鄰,洛陽路,,111巷,21弄,,,15號,120.650730493579,24.167270611944
臺中市西屯區何仁里29鄰洛陽路111巷22號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,22號,120.65117806633,24.167711180906
臺中市西屯區何仁里29鄰洛陽路111巷23號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,23號,120.650872074838,24.167646291779
臺中市西屯區何仁里29鄰洛陽路111巷24號,66,6600600,何仁里,29鄰,洛陽路,,111巷,,,,24號,120.651142578288,24.16773276999
