FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北屯區同榮里33鄰洲際路16號,66,6600800,同榮里,33鄰,洲際路,,,,,,16號,120.682994330874,24.199626040216
臺中市北屯區同榮里33鄰洲際路18號,66,6600800,同榮里,33鄰,洲際路,,,,,,18號,120.682889480242,24.199628268986
臺中市北屯區同榮里33鄰洲際路20號,66,6600800,同榮里,33鄰,洲際路,,,,,,20號,120.682809014223,24.19961492784
臺中市北屯區同榮里33鄰洲際路22號十樓之5,66,6600800,同榮里,33鄰,洲際路,,,,,,22號十樓之5,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號十樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號十樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號十樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號十樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號十樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號十樓之3,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號二樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號二樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號二樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號二樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號二樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號二樓之3,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號二樓之5,66,6600800,同榮里,33鄰,洲際路,,,,,,22號二樓之5,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號三樓之5,66,6600800,同榮里,33鄰,洲際路,,,,,,22號三樓之5,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號三樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號三樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號三樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號三樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號三樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號三樓之3,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號四樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號四樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號四樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號四樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號四樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號四樓之3,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號四樓之5,66,6600800,同榮里,33鄰,洲際路,,,,,,22號四樓之5,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號五樓之5,66,6600800,同榮里,33鄰,洲際路,,,,,,22號五樓之5,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號五樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號五樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號五樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號五樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號五樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號五樓之3,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號六樓之1,66,6600800,同榮里,33鄰,洲際路,,,,,,22號六樓之1,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號六樓之2,66,6600800,同榮里,33鄰,洲際路,,,,,,22號六樓之2,120.68288460339,24.199832888728
臺中市北屯區同榮里33鄰洲際路22號六樓之3,66,6600800,同榮里,33鄰,洲際路,,,,,,22號六樓之3,120.68288460339,24.199832888728
