FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市西屯區何源里5鄰漢成一街1號,66,6600600,何源里,5鄰,漢成一街,,,,,,1號,120.664577491023,24.167948908043
臺中市西屯區何源里5鄰漢成一街2號,66,6600600,何源里,5鄰,漢成一街,,,,,,2號,120.664356501523,24.167854065987
臺中市西屯區何源里5鄰漢成一街3號,66,6600600,何源里,5鄰,漢成一街,,,,,,3號,120.664616343013,24.167919287154
臺中市西屯區何源里5鄰漢成一街4號,66,6600600,何源里,5鄰,漢成一街,,,,,,4號,120.664399181122,24.167828877921
臺中市西屯區何源里5鄰漢成一街5號,66,6600600,何源里,5鄰,漢成一街,,,,,,5號,120.664637301253,24.167883216128
臺中市西屯區何源里5鄰漢成一街6號,66,6600600,何源里,5鄰,漢成一街,,,,,,6號,120.66439015599,24.167780109
臺中市西屯區何源里5鄰漢成一街7號,66,6600600,何源里,5鄰,漢成一街,,,,,,7號,120.664635454183,24.167836801585
臺中市西屯區何源里5鄰漢成一街8號,66,6600600,何源里,5鄰,漢成一街,,,,,,8號,120.664533640308,24.167480643611
臺中市西屯區何源里5鄰漢成一街10號,66,6600600,何源里,5鄰,漢成一街,,,,,,10號,120.664556970088,24.167440884835
臺中市西屯區何源里5鄰漢成一街12號,66,6600600,何源里,5鄰,漢成一街,,,,,,12號,120.66457674234,24.167406707355
臺中市西屯區何源里5鄰漢成一街13號,66,6600600,何源里,5鄰,漢成一街,,,,,,13號,120.664801632772,24.167627696665
臺中市西屯區何源里5鄰漢成一街14號,66,6600600,何源里,5鄰,漢成一街,,,,,,14號,120.664594649924,24.167370530302
臺中市西屯區何源里5鄰漢成一街15號,66,6600600,何源里,5鄰,漢成一街,,,,,,15號,120.664815943046,24.167574635962
臺中市西屯區何源里5鄰漢成一街16號,66,6600600,何源里,5鄰,漢成一街,,,,,,16號,120.66461422627,24.167335991215
臺中市西屯區何源里5鄰漢成一街17號,66,6600600,何源里,5鄰,漢成一街,,,,,,17號,120.664835622258,24.167538381511
臺中市西屯區何源里5鄰漢成一街18號,66,6600600,何源里,5鄰,漢成一街,,,,,,18號,120.664633307705,24.16730253455
臺中市西屯區何源里5鄰漢成一街19號,66,6600600,何源里,5鄰,漢成一街,,,,,,19號,120.664862864772,24.167507732796
臺中市西屯區何源里5鄰漢成一街20號,66,6600600,何源里,5鄰,漢成一街,,,,,,20號,120.66464757479,24.167265645202
臺中市西屯區何源里5鄰漢成一街21號,66,6600600,何源里,5鄰,漢成一街,,,,,,21號,120.664880477472,24.167471392534
