FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大里區大元里23鄰現岱路8號,66,6602800,大元里,23鄰,現岱路,,,,,,8號,120.688358921824,24.100113275767
臺中市大里區大元里23鄰現岱路10號,66,6602800,大元里,23鄰,現岱路,,,,,,10號,120.688407747222,24.10009793508
臺中市大里區大元里23鄰現岱路12號,66,6602800,大元里,23鄰,現岱路,,,,,,12號,120.688449591239,24.100081586918
臺中市大里區大元里23鄰現岱路16巷1號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,1號,120.688579885396,24.099883070828
臺中市大里區大元里23鄰現岱路16巷6弄1號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,1號,120.688294420928,24.099804375888
臺中市大里區大元里23鄰現岱路16巷11弄1號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,1號,120.688635445035,24.099723923964
臺中市大里區大元里23鄰現岱路16巷2號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,2號,120.688378719016,24.099921550353
臺中市大里區大元里23鄰現岱路16巷6弄2號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,2號,120.688325074886,24.099937287527
臺中市大里區大元里23鄰現岱路16巷11弄2號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,2號,120.68845918639,24.099617243985
臺中市大里區大元里23鄰現岱路16巷3號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,3號,120.688564557892,24.099839355503
臺中市大里區大元里23鄰現岱路16巷6弄3號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,3號,120.688229281993,24.099832351474
臺中市大里區大元里23鄰現岱路16巷11弄3號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,3號,120.688675677905,24.099709938151
臺中市大里區大元里23鄰現岱路16巷5號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,5號,120.688551147128,24.099792131657
臺中市大里區大元里23鄰現岱路16巷6弄5號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,5號,120.688183301263,24.099842849135
臺中市大里區大元里23鄰現岱路16巷11弄5號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,5號,120.688713995667,24.099695939398
臺中市大里區大元里23鄰現岱路16巷6弄6號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,6號,120.688284842495,24.099947778881
臺中市大里區大元里23鄰現岱路16巷11弄6號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,6號,120.68849750284,24.099605006011
臺中市大里區大元里23鄰現岱路16巷7號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,7號,120.688530072288,24.099748413647
臺中市大里區大元里23鄰現岱路16巷11弄7號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,7號,120.688773387003,24.099680204758
臺中市大里區大元里23鄰現岱路16巷6弄8號,66,6602800,大元里,23鄰,現岱路,,16巷,6弄,,,8號,120.688231198254,24.099958269958
臺中市大里區大元里23鄰現岱路16巷11弄8號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,8號,120.688539651813,24.099591015109
臺中市大里區大元里23鄰現岱路16巷9號,66,6602800,大元里,23鄰,現岱路,,16巷,,,,9號,120.688508998167,24.099706438304
臺中市大里區大元里23鄰現岱路16巷11弄9號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,9號,120.688821284258,24.099678451251
臺中市大里區大元里23鄰現岱路16巷11弄10號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,10號,120.688581801378,24.0995735208
臺中市大里區大元里23鄰現岱路16巷11弄11號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,11號,120.688947731572,24.099657471531
臺中市大里區大元里23鄰現岱路16巷11弄12號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,12號,120.688633529606,24.099561283027
臺中市大里區大元里23鄰現岱路16巷11弄13號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,13號,120.688963057988,24.099618992449
臺中市大里區大元里23鄰現岱路16巷11弄16號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,16號,120.688681426495,24.099543791368
臺中市大里區大元里23鄰現岱路16巷11弄18號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,18號,120.688727407278,24.099543794714
臺中市大里區大元里23鄰現岱路16巷11弄20號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,20號,120.688763808749,24.09952455501
臺中市大里區大元里23鄰現岱路16巷11弄22號,66,6602800,大元里,23鄰,現岱路,,16巷,11弄,,,22號,120.688815536255,24.099510565475
臺中市大里區大元里23鄰現岱路50號,66,6602800,大元里,23鄰,現岱路,,,,,,50號,120.689277259822,24.100063208369
臺中市大里區大元里23鄰現岱路52號,66,6602800,大元里,23鄰,現岱路,,,,,,52號,120.689332819778,24.100115673594
臺中市大里區大元里23鄰現岱路56號,66,6602800,大元里,23鄰,現岱路,,,,,,56號,120.689360242451,24.100202989169
臺中市大里區大元里23鄰現岱路56號二樓,66,6602800,大元里,23鄰,現岱路,,,,,,56號二樓,120.689360242451,24.100202989169
臺中市大里區大元里23鄰現岱路56號三樓,66,6602800,大元里,23鄰,現岱路,,,,,,56號三樓,120.689360242451,24.100202989169
臺中市大里區大元里23鄰現岱路56號四樓,66,6602800,大元里,23鄰,現岱路,,,,,,56號四樓,120.689360242451,24.100202989169
臺中市大里區大元里23鄰現岱路56號五樓,66,6602800,大元里,23鄰,現岱路,,,,,,56號五樓,120.689360242451,24.100202989169
臺中市大里區大元里1鄰現岱路60號,66,6602800,大元里,1鄰,現岱路,,,,,,60號,120.689810066601,24.100444896578
臺中市大里區中新里14鄰現岱路79號,66,6602800,中新里,14鄰,現岱路,,,,,,79號,120.690159291026,24.101659432176
臺中市大里區中新里14鄰現岱路81號,66,6602800,中新里,14鄰,現岱路,,,,,,81號,120.690206497688,24.101710354184
臺中市大里區中新里14鄰現岱路83號,66,6602800,中新里,14鄰,現岱路,,,,,,83號,120.690238684169,24.101743656527
臺中市大里區中新里14鄰現岱路85號,66,6602800,中新里,14鄰,現岱路,,,,,,85號,120.690271944097,24.101788708248
臺中市大里區中新里14鄰現岱路87號,66,6602800,中新里,14鄰,現岱路,,,,,,87號,120.69030520305,24.101828857012
臺中市大里區中新里14鄰現岱路89號,66,6602800,中新里,14鄰,現岱路,,,,,,89號,120.690330952069,24.101870967985
臺中市大里區中新里14鄰現岱路91號,66,6602800,中新里,14鄰,現岱路,,,,,,91號,120.690364748753,24.10191822394
臺中市大里區中新里14鄰現岱路105巷1弄2號,66,6602800,中新里,14鄰,現岱路,,105巷,1弄,,,2號,120.690244585509,24.102004409592
臺中市大里區中新里14鄰現岱路105巷1弄6號,66,6602800,中新里,14鄰,現岱路,,105巷,1弄,,,6號,120.690213471502,24.101965231305
臺中市大里區中新里14鄰現岱路105巷1弄8號,66,6602800,中新里,14鄰,現岱路,,105巷,1弄,,,8號,120.690181285484,24.101918222376
臺中市大里區中新里14鄰現岱路105巷1弄10號,66,6602800,中新里,14鄰,現岱路,,105巷,1弄,,,10號,120.690156609086,24.101880032299
臺中市大里區中新里14鄰現岱路105巷1弄12號,66,6602800,中新里,14鄰,現岱路,,105巷,1弄,,,12號,120.690135151409,24.101843799086
