FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市潭子區栗林里7鄰福貴路1031巷6號,66,6601700,栗林里,7鄰,福貴路,,1031巷,,,,6號,120.712220147351,24.225765316284
臺中市潭子區栗林里7鄰福貴路1059號,66,6601700,栗林里,7鄰,福貴路,,,,,,1059號,120.712433382431,24.22614566938
臺中市潭子區栗林里7鄰福貴路1231號,66,6601700,栗林里,7鄰,福貴路,,,,,,1231號,120.711211145007,24.226803429219
臺中市潭子區栗林里7鄰福貴路1033號,66,6601700,栗林里,7鄰,福貴路,,,,,,1033號,120.712606333285,24.225905014664
臺中市潭子區栗林里7鄰福貴路1033之1號,66,6601700,栗林里,7鄰,福貴路,,,,,,1033之1號,120.712550007006,24.225877495578
臺中市潭子區栗林里7鄰福貴路1033之2號,66,6601700,栗林里,7鄰,福貴路,,,,,,1033之2號,120.712512456797,24.22586281538
臺中市潭子區栗林里7鄰福貴路1033之3號,66,6601700,栗林里,7鄰,福貴路,,,,,,1033之3號,120.712474905535,24.225842031408
臺中市潭子區栗林里7鄰福貴路1033之5號,66,6601700,栗林里,7鄰,福貴路,,,,,,1033之5號,120.712435342364,24.225818787675
臺中市潭子區栗林里7鄰福貴路1037之1號,66,6601700,栗林里,7鄰,福貴路,,,,,,1037之1號,120.712496362597,24.22595881994
臺中市潭子區栗林里7鄰福貴路1037之2號,66,6601700,栗林里,7鄰,福貴路,,,,,,1037之2號,120.71245680035,24.225935585243
臺中市潭子區栗林里7鄰福貴路1037之3號,66,6601700,栗林里,7鄰,福貴路,,,,,,1037之3號,120.712420590311,24.225916022738
臺中市潭子區栗林里7鄰福貴路1037之5號,66,6601700,栗林里,7鄰,福貴路,,,,,,1037之5號,120.712381028291,24.225890946058
臺中市潭子區栗林里7鄰福貴路1037號,66,6601700,栗林里,7鄰,福貴路,,,,,,1037號,120.712586887231,24.226007748716
臺中市潭子區栗林里7鄰福貴路1039號,66,6601700,栗林里,7鄰,福貴路,,,,,,1039號,120.712550007416,24.226047488994
臺中市潭子區栗林里7鄰福貴路1207號,66,6601700,栗林里,7鄰,福貴路,,,,,,1207號,120.711610390962,24.22659027437
臺中市潭子區栗林里7鄰福貴路1209號,66,6601700,栗林里,7鄰,福貴路,,,,,,1209號,120.711527698109,24.226603724776
臺中市潭子區栗林里7鄰福貴路1239號,66,6601700,栗林里,7鄰,福貴路,,,,,,1239號,120.711054771713,24.226871917243
臺中市潭子區栗林里7鄰福貴路1241號,66,6601700,栗林里,7鄰,福貴路,,,,,,1241號,120.710951775265,24.226894421239
臺中市潭子區栗林里7鄰福貴路1243號,66,6601700,栗林里,7鄰,福貴路,,,,,,1243號,120.710905641723,24.226933556641
臺中市潭子區栗林里7鄰福貴路1338號,66,6601700,栗林里,7鄰,福貴路,,,,,,1338號,120.712547592618,24.225982166947
臺中市潭子區栗林里7鄰福貴路1378巷1號,66,6601700,栗林里,7鄰,福貴路,,1378巷,,,,1號,120.712369934447,24.226766381657
臺中市潭子區栗林里7鄰福貴路1378巷5號,66,6601700,栗林里,7鄰,福貴路,,1378巷,,,,5號,120.712533085145,24.226582728154
臺中市潭子區栗林里7鄰福貴路1378巷9號,66,6601700,栗林里,7鄰,福貴路,,1378巷,,,,9號,120.712920118329,24.226881043908
臺中市潭子區栗林里17鄰福貴路1388號,66,6601700,栗林里,17鄰,福貴路,,,,,,1388號,120.71198046672,24.226936081235
臺中市潭子區嘉仁里18鄰福貴路738巷18弄22號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,18弄,,,22號,120.714282788254,24.213964530303
臺中市潭子區嘉仁里11鄰福貴路821號,66,6601700,嘉仁里,11鄰,福貴路,,,,,,821號,120.712695792316,24.220188176389
臺中市潭子區嘉仁里3鄰福貴路1198號,66,6601700,嘉仁里,3鄰,福貴路,,,,,,1198號,120.713174417423,24.22439188287
臺中市潭子區嘉仁里17鄰福貴路553號,66,6601700,嘉仁里,17鄰,福貴路,,,,,,553號,120.712260135208,24.214554576487
臺中市潭子區嘉仁里17鄰福貴路555號,66,6601700,嘉仁里,17鄰,福貴路,,,,,,555號,120.712274043729,24.214607044637
臺中市潭子區嘉仁里17鄰福貴路557號,66,6601700,嘉仁里,17鄰,福貴路,,,,,,557號,120.712299237134,24.214815857483
臺中市潭子區嘉仁里17鄰福貴路559號,66,6601700,嘉仁里,17鄰,福貴路,,,,,,559號,120.712272414638,24.214720457952
臺中市潭子區嘉仁里9鄰福貴路681號,66,6601700,嘉仁里,9鄰,福貴路,,,,,,681號,120.712669102135,24.217306614364
臺中市潭子區嘉仁里9鄰福貴路689號,66,6601700,嘉仁里,9鄰,福貴路,,,,,,689號,120.712687110878,24.217535006988
臺中市潭子區嘉仁里18鄰福貴路738巷5號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,5號,120.713006044285,24.214954643168
臺中市潭子區嘉仁里18鄰福貴路738巷8號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,8號,120.712923781611,24.214765478879
臺中市潭子區嘉仁里18鄰福貴路738巷15號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,15號,120.713306452623,24.215021519717
臺中市潭子區嘉仁里18鄰福貴路738巷17號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,17號,120.713309025318,24.215073849056
臺中市潭子區嘉仁里18鄰福貴路738巷18弄1號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,18弄,,,1號,120.713533528245,24.214679052204
臺中市潭子區嘉仁里18鄰福貴路738巷18弄8號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,18弄,,,8號,120.713327909561,24.214351255734
臺中市潭子區嘉仁里18鄰福貴路738巷18弄28號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,18弄,,,28號,120.714670103158,24.213878954758
臺中市潭子區嘉仁里18鄰福貴路738巷18弄38號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,18弄,,,38號,120.714773980388,24.214233384874
臺中市潭子區嘉仁里18鄰福貴路738巷19號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,19號,120.713322519082,24.215166649984
臺中市潭子區嘉仁里18鄰福貴路738巷22號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,22號,120.713378416381,24.214681080913
臺中市潭子區嘉仁里18鄰福貴路738巷23號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,23號,120.713527645336,24.215137672813
臺中市潭子區嘉仁里18鄰福貴路738巷28號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,28號,120.714363215701,24.214881258375
臺中市潭子區嘉仁里18鄰福貴路738巷53號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,53號,120.713782061568,24.2151128331
臺中市潭子區嘉仁里18鄰福貴路738巷55號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,55號,120.713798154638,24.2151682939
臺中市潭子區嘉仁里18鄰福貴路738巷57號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,57號,120.713806674685,24.215206124403
臺中市潭子區嘉仁里18鄰福貴路738巷58號,66,6601700,嘉仁里,18鄰,福貴路,,738巷,,,,58號,120.713785380021,24.215382245031
臺中市潭子區嘉仁里18鄰福貴路758號,66,6601700,嘉仁里,18鄰,福貴路,,,,,,758號,120.71275209332,24.215274287422
臺中市潭子區嘉仁里9鄰福貴路798號,66,6601700,嘉仁里,9鄰,福貴路,,,,,,798號,120.712904769075,24.216359701228
臺中市潭子區嘉仁里9鄰福貴路868號,66,6601700,嘉仁里,9鄰,福貴路,,,,,,868號,120.71306481627,24.217170675675
臺中市潭子區嘉仁里3鄰福貴路877號,66,6601700,嘉仁里,3鄰,福貴路,,,,,,877號,120.712673096605,24.221449816581
臺中市潭子區嘉仁里3鄰福貴路919號,66,6601700,嘉仁里,3鄰,福貴路,,,,,,919號,120.712632218877,24.222566421692
臺中市潭子區嘉仁里7鄰福貴路938號,66,6601700,嘉仁里,7鄰,福貴路,,,,,,938號,120.713088659772,24.218544493176
臺中市潭子區嘉仁里3鄰福貴路969巷2號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,2號,120.712360819061,24.224057999963
臺中市潭子區嘉仁里3鄰福貴路969巷3號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,3號,120.712497263321,24.223740121481
臺中市潭子區嘉仁里3鄰福貴路969巷19弄9號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,19弄,,,9號,120.7119158517,24.223014083139
臺中市潭子區嘉仁里3鄰福貴路969巷23號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,23號,120.711792532214,24.223702961235
臺中市潭子區嘉仁里3鄰福貴路969巷39號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,39號,120.711363332793,24.223809063475
臺中市潭子區嘉仁里3鄰福貴路969巷56號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,56號,120.71125147811,24.223909202351
臺中市潭子區嘉仁里3鄰福貴路969巷58號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,58號,120.711161055754,24.223924199976
臺中市潭子區嘉仁里3鄰福貴路969巷95號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,95號,120.71025331744,24.223118611449
臺中市潭子區嘉仁里3鄰福貴路969巷97號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,97號,120.710413068899,24.2230508078
臺中市潭子區嘉仁里3鄰福貴路969巷99號,66,6601700,嘉仁里,3鄰,福貴路,,969巷,,,,99號,120.710285381725,24.22278470804
臺中市潭子區嘉仁里7鄰福貴路978號,66,6601700,嘉仁里,7鄰,福貴路,,,,,,978號,120.713058672018,24.21977046351
臺中市潭子區嘉仁里7鄰福貴路988號,66,6601700,嘉仁里,7鄰,福貴路,,,,,,988號,120.713061705801,24.219940887156
臺中市潭子區嘉仁里7鄰福貴路998號,66,6601700,嘉仁里,7鄰,福貴路,,,,,,998號,120.713087027871,24.220598128276
臺中市潭子區嘉仁里7鄰福貴路1000號,66,6601700,嘉仁里,7鄰,福貴路,,,,,,1000號,120.713033332913,24.220696933419
臺中市潭子區嘉仁里3鄰福貴路1200號,66,6601700,嘉仁里,3鄰,福貴路,,,,,,1200號,120.713167636858,24.224505466935
臺中市潭子區嘉仁里3鄰福貴路1258號,66,6601700,嘉仁里,3鄰,福貴路,,,,,,1258號,120.713138246101,24.224180693095
臺中市潭子區嘉仁里3鄰福貴路1298巷12號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,12號,120.713107167711,24.225490054498
臺中市潭子區嘉仁里3鄰福貴路1298巷13號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,13號,120.713180090502,24.225494372418
臺中市潭子區嘉仁里3鄰福貴路1298巷15號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,15號,120.713176585493,24.225405716773
臺中市潭子區嘉仁里3鄰福貴路1298巷16號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,16號,120.713103828142,24.225405408144
臺中市潭子區嘉仁里3鄰福貴路1298巷17號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,17號,120.713172352553,24.22530316376
臺中市潭子區嘉仁里3鄰福貴路1298巷18號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,18號,120.713099429871,24.225298845838
臺中市潭子區嘉仁里3鄰福貴路1298巷19號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,19號,120.713167461463,24.225213051795
臺中市潭子區嘉仁里3鄰福貴路1298巷20號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,20號,120.713094312537,24.225204561937
臺中市潭子區嘉仁里3鄰福貴路1298巷21號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,21號,120.713162467563,24.225121034466
臺中市潭子區嘉仁里3鄰福貴路1298巷22號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,22號,120.713089544985,24.22511671654
臺中市潭子區嘉仁里3鄰福貴路1298巷23號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,23號,120.713159243192,24.225046022522
臺中市潭子區嘉仁里3鄰福貴路1298巷25號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,25號,120.713155805286,24.224966035065
臺中市潭子區嘉仁里3鄰福貴路1298巷26號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,26號,120.713086298348,24.225041180857
臺中市潭子區嘉仁里3鄰福貴路1298巷27號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,27號,120.713147983209,24.224878879163
臺中市潭子區嘉仁里3鄰福貴路1298巷28號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,28號,120.713078245554,24.22496938325
臺中市潭子區嘉仁里3鄰福貴路1298巷30號,66,6601700,嘉仁里,3鄰,福貴路,,1298巷,,,,30號,120.713075563063,24.22487643123
臺中市潭子區嘉仁里7鄰福貴路1368巷2號,66,6601700,嘉仁里,7鄰,福貴路,,1368巷,,,,2號,120.712955548466,24.226450027951
臺中市潭子區嘉仁里3鄰福貴路1368巷8號,66,6601700,嘉仁里,3鄰,福貴路,,1368巷,,,,8號,120.713432223805,24.22653020254
臺中市潭子區福仁里4鄰福貴路85號,66,6601700,福仁里,4鄰,福貴路,,,,,,85號,120.710512585967,24.203271866246
臺中市潭子區福仁里4鄰福貴路288號,66,6601700,福仁里,4鄰,福貴路,,,,,,288號,120.711328089649,24.206262486723
臺中市潭子區福仁里23鄰福貴路1號,66,6601700,福仁里,23鄰,福貴路,,,,,,1號,120.709452305845,24.200969806144
臺中市潭子區福仁里23鄰福貴路3號,66,6601700,福仁里,23鄰,福貴路,,,,,,3號,120.709545676034,24.201008548133
臺中市潭子區福仁里23鄰福貴路5號,66,6601700,福仁里,23鄰,福貴路,,,,,,5號,120.709567959675,24.201064481747
臺中市潭子區福仁里23鄰福貴路7號,66,6601700,福仁里,23鄰,福貴路,,,,,,7號,120.709621354869,24.201186406328
臺中市潭子區福仁里23鄰福貴路9號,66,6601700,福仁里,23鄰,福貴路,,,,,,9號,120.709658261416,24.201239117259
臺中市潭子區福仁里23鄰福貴路17號,66,6601700,福仁里,23鄰,福貴路,,,,,,17號,120.709769344641,24.201355526465
臺中市潭子區福仁里23鄰福貴路19巷1號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,1號,120.70970902411,24.20137366873
臺中市潭子區福仁里23鄰福貴路19巷2號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,2號,120.709701863169,24.201482927228
臺中市潭子區福仁里23鄰福貴路19巷3號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,3號,120.709641513825,24.201380591957
臺中市潭子區福仁里23鄰福貴路19巷5號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,5號,120.709592300549,24.201383929291
臺中市潭子區福仁里23鄰福貴路19巷6號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,6號,120.709657150398,24.201484566626
臺中市潭子區福仁里23鄰福貴路19巷7號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,7號,120.709542519994,24.201386814065
臺中市潭子區福仁里23鄰福貴路19巷8號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,8號,120.70961066766,24.201486202638
臺中市潭子區福仁里23鄰福貴路19巷10號,66,6601700,福仁里,23鄰,福貴路,,19巷,,,,10號,120.709549405901,24.20147881732
臺中市潭子區福仁里23鄰福貴路21號,66,6601700,福仁里,23鄰,福貴路,,,,,,21號,120.709807566747,24.201463778861
臺中市潭子區福仁里23鄰福貴路23號,66,6601700,福仁里,23鄰,福貴路,,,,,,23號,120.709832406305,24.201510669981
臺中市潭子區福仁里23鄰福貴路27號,66,6601700,福仁里,23鄰,福貴路,,,,,,27號,120.709867157813,24.201618726137
臺中市潭子區福仁里23鄰福貴路29號,66,6601700,福仁里,23鄰,福貴路,,,,,,29號,120.709887843358,24.201663370081
臺中市潭子區福仁里23鄰福貴路31號,66,6601700,福仁里,23鄰,福貴路,,,,,,31號,120.709912099475,24.201708932774
臺中市潭子區福仁里23鄰福貴路33號,66,6601700,福仁里,23鄰,福貴路,,,,,,33號,120.70992856629,24.201752033705
臺中市潭子區福仁里23鄰福貴路35號,66,6601700,福仁里,23鄰,福貴路,,,,,,35號,120.709948197296,24.201796233199
臺中市潭子區福仁里23鄰福貴路37號,66,6601700,福仁里,23鄰,福貴路,,,,,,37號,120.709969614239,24.201840607644
臺中市潭子區福仁里3鄰福貴路38巷2弄9號,66,6601700,福仁里,3鄰,福貴路,,38巷,2弄,,,9號,120.710389940722,24.201511622317
臺中市潭子區福仁里3鄰福貴路38巷2弄11號,66,6601700,福仁里,3鄰,福貴路,,38巷,2弄,,,11號,120.710356206047,24.201419793794
臺中市潭子區福仁里3鄰福貴路38巷2弄13號,66,6601700,福仁里,3鄰,福貴路,,38巷,2弄,,,13號,120.710360586802,24.201349635716
臺中市潭子區福仁里3鄰福貴路38巷2弄15號,66,6601700,福仁里,3鄰,福貴路,,38巷,2弄,,,15號,120.710362863835,24.201276223103
臺中市潭子區福仁里3鄰福貴路38巷2弄17號,66,6601700,福仁里,3鄰,福貴路,,38巷,2弄,,,17號,120.710365859759,24.201208048829
臺中市潭子區福仁里3鄰福貴路38巷6弄1號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,1號,120.710765307255,24.201694112415
臺中市潭子區福仁里3鄰福貴路38巷6弄2號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,2號,120.710578419062,24.201714272039
臺中市潭子區福仁里3鄰福貴路38巷6弄3號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,3號,120.710759422782,24.201639113033
臺中市潭子區福仁里3鄰福貴路38巷6弄5號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,5號,120.710753617208,24.201585097989
臺中市潭子區福仁里3鄰福貴路38巷6弄6號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,6號,120.710571886096,24.201658810926
臺中市潭子區福仁里3鄰福貴路38巷6弄7號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,7號,120.710744969118,24.201531357456
臺中市潭子區福仁里3鄰福貴路38巷6弄8號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,8號,120.710564052057,24.201604169004
臺中市潭子區福仁里3鄰福貴路38巷6弄9號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,9號,120.710735425456,24.201478689704
臺中市潭子區福仁里3鄰福貴路38巷6弄10號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,10號,120.710557513801,24.201551055487
臺中市潭子區福仁里3鄰福貴路38巷6弄11號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,11號,120.710731162867,24.201424587295
臺中市潭子區福仁里3鄰福貴路38巷6弄12號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,12號,120.71055244279,24.201495425593
臺中市潭子區福仁里3鄰福貴路38巷6弄13號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,13號,120.710723328464,24.201370125963
臺中市潭子區福仁里3鄰福貴路38巷6弄15號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,15號,120.710719794774,24.20131683757
臺中市潭子區福仁里3鄰福貴路38巷6弄16號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,16號,120.710545654584,24.201445110672
臺中市潭子區福仁里3鄰福貴路38巷6弄17號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,17號,120.710712770894,24.201263009825
臺中市潭子區福仁里3鄰福貴路38巷6弄18號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,18號,120.710540657357,24.201392731452
臺中市潭子區福仁里3鄰福貴路38巷6弄19號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,19號,120.710705830292,24.201208270281
臺中市潭子區福仁里3鄰福貴路38巷6弄20號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,20號,120.710531860312,24.201333112573
臺中市潭子區福仁里3鄰福貴路38巷6弄22號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,22號,120.710527430697,24.201281086571
臺中市潭子區福仁里3鄰福貴路38巷6弄26號,66,6601700,福仁里,3鄰,福貴路,,38巷,6弄,,,26號,120.710519923387,24.201225632631
臺中市潭子區福仁里3鄰福貴路38巷8弄5號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,5號,120.71113314237,24.201571560742
臺中市潭子區福仁里3鄰福貴路38巷8弄6號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,6號,120.710939246639,24.201592213165
臺中市潭子區福仁里3鄰福貴路38巷8弄7號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,7號,120.711125818981,24.201506445868
臺中市潭子區福仁里3鄰福貴路38巷8弄8號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,8號,120.710929639501,24.201530245163
臺中市潭子區福仁里3鄰福貴路38巷8弄9號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,9號,120.71111968545,24.201453784604
臺中市潭子區福仁里3鄰福貴路38巷8弄10號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,10號,120.710922604955,24.201481103595
臺中市潭子區福仁里3鄰福貴路38巷8弄11號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,11號,120.711111125977,24.201396694401
臺中市潭子區福仁里3鄰福貴路38巷8弄12號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,12號,120.710919458902,24.201435951309
臺中市潭子區福仁里3鄰福貴路38巷8弄13號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,13號,120.711105561036,24.20134395295
臺中市潭子區福仁里3鄰福貴路38巷8弄15號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,15號,120.711099599616,24.201286957964
臺中市潭子區福仁里3鄰福貴路38巷8弄16號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,16號,120.710915010801,24.20139205162
臺中市潭子區福仁里3鄰福貴路38巷8弄17號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,17號,120.711091437565,24.201233669832
臺中市潭子區福仁里3鄰福貴路38巷8弄18號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,18號,120.710909926608,24.201342200439
臺中市潭子區福仁里3鄰福貴路38巷8弄19號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,19號,120.711087585986,24.201177310894
臺中市潭子區福仁里3鄰福貴路38巷8弄20號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,20號,120.710905565224,24.201295863013
臺中市潭子區福仁里3鄰福貴路38巷8弄21號,66,6601700,福仁里,3鄰,福貴路,,38巷,8弄,,,21號,120.71103208948,24.201139400132
