FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北屯區北屯里9鄰舊街一巷27之3號,66,6600800,北屯里,9鄰,舊街,,一巷,,,,27之3號,120.69181685281,24.166374520209
臺中市北屯區北屯里4鄰舊街二巷41之2號,66,6600800,北屯里,4鄰,舊街,,二巷,,,,41之2號,120.6934454782,24.166254461693
臺中市北屯區北屯里10鄰舊街二巷90之6號,66,6600800,北屯里,10鄰,舊街,,二巷,,,,90之6號,120.692485039123,24.166098308171
臺中市大里區新里里7鄰舊街10之1號,66,6602800,新里里,7鄰,舊街,,,,,,10之1號,120.676193028453,24.099293909467
臺中市大里區新里里24鄰舊街21號,66,6602800,新里里,24鄰,舊街,,,,,,21號,120.676568404065,24.099174180217
臺中市大里區新里里24鄰舊街路1號,66,6602800,新里里,24鄰,舊街,路,,,,,1號,120.676827276227,24.099449689953
臺中市大里區新里里6鄰舊街路2之3號,66,6602800,新里里,6鄰,舊街,路,,,,,2之3號,120.676769008128,24.099621720615
臺中市大里區新里里6鄰舊街路2號,66,6602800,新里里,6鄰,舊街,路,,,,,2號,120.67684500834,24.099671506692
臺中市大里區新里里6鄰舊街路2之5號,66,6602800,新里里,6鄰,舊街,路,,,,,2之5號,120.676693059181,24.099548006793
臺中市大里區新里里6鄰舊街路2之4之1號,66,6602800,新里里,6鄰,舊街,路,,,,,2之4之1號,120.676595223059,24.099769109548
臺中市大里區新里里6鄰舊街路2之4號,66,6602800,新里里,6鄰,舊街,路,,,,,2之4號,120.676735038181,24.09959478642
臺中市大里區新里里24鄰舊街路3號,66,6602800,新里里,24鄰,舊街,路,,,,,3號,120.676779331577,24.099427195757
臺中市大里區新里里6鄰舊街路4巷2號,66,6602800,新里里,6鄰,舊街,路,4巷,,,,2號,120.676601834569,24.099564789024
臺中市大里區新里里6鄰舊街路4巷3號,66,6602800,新里里,6鄰,舊街,路,4巷,,,,3號,120.676050639502,24.09968696299
臺中市大里區新里里6鄰舊街路4巷4號,66,6602800,新里里,6鄰,舊街,路,4巷,,,,4號,120.676342896413,24.099857424424
臺中市大里區新里里24鄰舊街路5號,66,6602800,新里里,24鄰,舊街,路,,,,,5號,120.676748384142,24.099412502745
臺中市大里區新里里6鄰舊街路6之3號,66,6602800,新里里,6鄰,舊街,路,,,,,6之3號,120.676393533763,24.09943459622
臺中市大里區新里里6鄰舊街路6之1號,66,6602800,新里里,6鄰,舊街,路,,,,,6之1號,120.676475155637,24.099481450808
臺中市大里區新里里6鄰舊街路6之2號,66,6602800,新里里,6鄰,舊街,路,,,,,6之2號,120.676431732079,24.099460410771
