FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市龍井區田中里8鄰茄投路一段222巷239弄29號,66,6602500,田中里,8鄰,茄投路,一段,222巷,239弄,,,29號,120.536723315648,24.186149355391
臺中市龍井區竹坑里3鄰茄投路一段1巷10弄13號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,10弄,,,13號,120.541911721202,24.175392456012
臺中市龍井區竹坑里3鄰茄投路一段1巷10弄13號二樓,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,10弄,,,13號二樓,120.541911721202,24.175392456012
臺中市龍井區竹坑里3鄰茄投路一段1巷15號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,15號,120.542445481273,24.174964233422
臺中市龍井區竹坑里3鄰茄投路一段1巷25號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,25號,120.542209446034,24.174680388049
臺中市龍井區竹坑里3鄰茄投路一段1巷25號三樓,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,25號三樓,120.542209446034,24.174680388049
臺中市龍井區竹坑里3鄰茄投路一段1巷25號四樓,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,25號四樓,120.542209446034,24.174680388049
臺中市龍井區竹坑里3鄰茄投路一段85巷5之1號,66,6602500,竹坑里,3鄰,茄投路,一段,85巷,,,,5之1號,120.541678368736,24.175840252173
臺中市龍井區竹坑里3鄰茄投路一段85巷49號,66,6602500,竹坑里,3鄰,茄投路,一段,85巷,,,,49號,120.54077178271,24.172930779428
臺中市龍井區竹坑里3鄰茄投路一段85巷49之1號,66,6602500,竹坑里,3鄰,茄投路,一段,85巷,,,,49之1號,120.540769100275,24.172801085237
臺中市龍井區竹坑里3鄰茄投路一段85巷51號,66,6602500,竹坑里,3鄰,茄投路,一段,85巷,,,,51號,120.540763736024,24.172720339183
臺中市龍井區竹坑里3鄰茄投路一段160巷52號,66,6602500,竹坑里,3鄰,茄投路,一段,160巷,,,,52號,120.540358722693,24.180610997492
臺中市龍井區竹坑里3鄰茄投路一段1巷1號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,1號,120.542643844745,24.175709230073
臺中市龍井區竹坑里3鄰茄投路一段1號,66,6602500,竹坑里,3鄰,茄投路,一段,,,,,1號,120.542830649799,24.175846401684
臺中市龍井區竹坑里3鄰茄投路一段1巷10弄2號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,10弄,,,2號,120.542547508337,24.175455943537
臺中市龍井區竹坑里3鄰茄投路一段1巷10弄4號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,10弄,,,4號,120.542495110185,24.175466801944
臺中市龍井區竹坑里3鄰茄投路一段1巷6號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,6號,120.542678597542,24.17548532038
臺中市龍井區竹坑里3鄰茄投路一段1巷10弄6號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,10弄,,,6號,120.542451470991,24.175477776906
臺中市龍井區竹坑里3鄰茄投路一段1巷7號,66,6602500,竹坑里,3鄰,茄投路,一段,1巷,,,,7號,120.542670682578,24.17544168571
