FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市北區健行里26鄰華興街96號,66,6600500,健行里,26鄰,華興街,,,,,,96號,120.669287815591,24.160216365706
臺中市北區健行里26鄰華興街98號二樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號二樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號二樓之2,66,6600500,健行里,26鄰,華興街,,,,,,98號二樓之2,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號二樓之3,66,6600500,健行里,26鄰,華興街,,,,,,98號二樓之3,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號三樓之3,66,6600500,健行里,26鄰,華興街,,,,,,98號三樓之3,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號三樓之2,66,6600500,健行里,26鄰,華興街,,,,,,98號三樓之2,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號三樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號三樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號四樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號四樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號四樓之2,66,6600500,健行里,26鄰,華興街,,,,,,98號四樓之2,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號四樓之3,66,6600500,健行里,26鄰,華興街,,,,,,98號四樓之3,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號五樓之3,66,6600500,健行里,26鄰,華興街,,,,,,98號五樓之3,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號五樓之2,66,6600500,健行里,26鄰,華興街,,,,,,98號五樓之2,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號五樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號五樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號六樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號六樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號六樓之2,66,6600500,健行里,26鄰,華興街,,,,,,98號六樓之2,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號六樓之3,66,6600500,健行里,26鄰,華興街,,,,,,98號六樓之3,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號六樓之5,66,6600500,健行里,26鄰,華興街,,,,,,98號六樓之5,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號七樓之5,66,6600500,健行里,26鄰,華興街,,,,,,98號七樓之5,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街98號七樓之1,66,6600500,健行里,26鄰,華興街,,,,,,98號七樓之1,120.669344141889,24.160260424306
臺中市北區健行里26鄰華興街100號,66,6600500,健行里,26鄰,華興街,,,,,,100號,120.669285133596,24.160318544349
臺中市北區健行里22鄰華興街120號,66,6600500,健行里,22鄰,華興街,,,,,,120號,120.669301629019,24.160873881318
臺中市北區健行里22鄰華興街126巷6號,66,6600500,健行里,22鄰,華興街,,126巷,,,,6號,120.669381022195,24.160962170205
臺中市北區健行里22鄰華興街126巷6之1號,66,6600500,健行里,22鄰,華興街,,126巷,,,,6之1號,120.669440701891,24.160962173112
臺中市北區健行里22鄰華興街126巷8號,66,6600500,健行里,22鄰,華興街,,126巷,,,,8號,120.66949166366,24.160964008114
臺中市北區健行里22鄰華興街126巷8之1號,66,6600500,健行里,22鄰,華興街,,126巷,,,,8之1號,120.669543966364,24.160962171083
臺中市北區健行里24鄰華興街47巷2之2號,66,6600500,健行里,24鄰,華興街,,47巷,,,,2之2號,120.668955299671,24.159849299259
臺中市北區健行里24鄰華興街47巷2之1號,66,6600500,健行里,24鄰,華興街,,47巷,,,,2之1號,120.668955299671,24.159849299259
臺中市北區健行里24鄰華興街47巷2之3號,66,6600500,健行里,24鄰,華興街,,47巷,,,,2之3號,120.668955299671,24.159849299259
臺中市北區健行里24鄰華興街47巷2之4號,66,6600500,健行里,24鄰,華興街,,47巷,,,,2之4號,120.668955299671,24.159849299259
臺中市北區健行里24鄰華興街47巷2號,66,6600500,健行里,24鄰,華興街,,47巷,,,,2號,120.668955299671,24.159849299259
臺中市北區健行里24鄰華興街47巷4之2號,66,6600500,健行里,24鄰,華興街,,47巷,,,,4之2號,120.668888283482,24.159849153835
臺中市北區健行里24鄰華興街47巷4之5號,66,6600500,健行里,24鄰,華興街,,47巷,,,,4之5號,120.668888283482,24.159849153835
臺中市北區健行里24鄰華興街47巷4號,66,6600500,健行里,24鄰,華興街,,47巷,,,,4號,120.668888283482,24.159849153835
