FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市沙鹿區竹林里26鄰賢忠街2號,66,6601300,竹林里,26鄰,賢忠街,,,,,,2號,120.570231502331,24.242452874987
臺中市沙鹿區竹林里26鄰賢忠街3號,66,6601300,竹林里,26鄰,賢忠街,,,,,,3號,120.569894884924,24.242450434187
臺中市沙鹿區竹林里26鄰賢忠街5號,66,6601300,竹林里,26鄰,賢忠街,,,,,,5號,120.569889521246,24.242492007163
臺中市沙鹿區竹林里26鄰賢忠街6號,66,6601300,竹林里,26鄰,賢忠街,,,,,,6號,120.570207363001,24.242488336411
臺中市沙鹿區竹林里26鄰賢忠街7號,66,6601300,竹林里,26鄰,賢忠街,,,,,,7號,120.569885497274,24.242529918102
臺中市沙鹿區竹林里26鄰賢忠街8號,66,6601300,竹林里,26鄰,賢忠街,,,,,,8號,120.570185905206,24.242522577443
臺中市沙鹿區竹林里26鄰賢忠街9號,66,6601300,竹林里,26鄰,賢忠街,,,,,,9號,120.569884155997,24.242572712349
臺中市沙鹿區竹林里26鄰賢忠街10號,66,6601300,竹林里,26鄰,賢忠街,,,,,,10號,120.570163105883,24.242559261574
臺中市沙鹿區竹林里26鄰賢忠街11號,66,6601300,竹林里,26鄰,賢忠街,,,,,,11號,120.56981710072,24.242606950854
臺中市沙鹿區竹林里26鄰賢忠街12號,66,6601300,竹林里,26鄰,賢忠街,,,,,,12號,120.57014298908,24.242594725319
臺中市沙鹿區竹林里26鄰賢忠街13號,66,6601300,竹林里,26鄰,賢忠街,,,,,,13號,120.569814419072,24.242643637624
臺中市沙鹿區竹林里26鄰賢忠街14號,66,6601300,竹林里,26鄰,賢忠街,,,,,,14號,120.570118849699,24.242630186727
臺中市沙鹿區竹林里26鄰賢忠街15號,66,6601300,竹林里,26鄰,賢忠街,,,,,,15號,120.569809054534,24.242683991662
臺中市沙鹿區竹林里26鄰賢忠街16號,66,6601300,竹林里,26鄰,賢忠街,,,,,,16號,120.570096050838,24.242663205025
臺中市沙鹿區竹林里26鄰賢忠街17號,66,6601300,竹林里,26鄰,賢忠街,,,,,,17號,120.569809054722,24.242724351836
臺中市沙鹿區竹林里26鄰賢忠街18號,66,6601300,竹林里,26鄰,賢忠街,,,,,,18號,120.570073252448,24.242699889145
臺中市沙鹿區竹林里26鄰賢忠街19號,66,6601300,竹林里,26鄰,賢忠街,,,,,,19號,120.569653486638,24.242683994244
臺中市沙鹿區竹林里26鄰賢忠街20號,66,6601300,竹林里,26鄰,賢忠街,,,,,,20號,120.570051794236,24.242736577047
臺中市沙鹿區竹林里26鄰賢忠街21號,66,6601300,竹林里,26鄰,賢忠街,,,,,,21號,120.569593136275,24.242690107838
臺中市沙鹿區竹林里26鄰賢忠街22號,66,6601300,竹林里,26鄰,賢忠街,,,,,,22號,120.570030337183,24.242772036989
臺中市沙鹿區竹林里26鄰賢忠街23號,66,6601300,竹林里,26鄰,賢忠街,,,,,,23號,120.569546198165,24.242707229728
臺中市沙鹿區竹林里26鄰賢忠街24號,66,6601300,竹林里,26鄰,賢忠街,,,,,,24號,120.570010220468,24.242806281783
臺中市沙鹿區竹林里26鄰賢忠街25號,66,6601300,竹林里,26鄰,賢忠街,,,,,,25號,120.569535469203,24.242827069994
臺中市沙鹿區竹林里26鄰賢忠街26號,66,6601300,竹林里,26鄰,賢忠街,,,,,,26號,120.569990103614,24.242841736476
臺中市沙鹿區竹林里26鄰賢忠街27號,66,6601300,竹林里,26鄰,賢忠街,,,,,,27號,120.569577043572,24.242830736033
臺中市沙鹿區竹林里26鄰賢忠街28號,66,6601300,竹林里,26鄰,賢忠街,,,,,,28號,120.569978033682,24.242878423807
臺中市沙鹿區竹林里26鄰賢忠街29號,66,6601300,竹林里,26鄰,賢忠街,,,,,,29號,120.569622640516,24.242834404407
臺中市沙鹿區竹林里26鄰賢忠街30號,66,6601300,竹林里,26鄰,賢忠街,,,,,,30號,120.569968646284,24.242913890757
臺中市沙鹿區竹林里26鄰賢忠街31號,66,6601300,竹林里,26鄰,賢忠街,,,,,,31號,120.569758092784,24.242806273451
臺中市沙鹿區竹林里26鄰賢忠街32號,66,6601300,竹林里,26鄰,賢忠街,,,,,,32號,120.569963281782,24.2429542448
臺中市沙鹿區竹林里26鄰賢忠街33號,66,6601300,竹林里,26鄰,賢忠街,,,,,,33號,120.569754068762,24.242844184384
臺中市沙鹿區竹林里26鄰賢忠街34號,66,6601300,竹林里,26鄰,賢忠街,,,,,,34號,120.569956576256,24.242993376121
臺中市沙鹿區竹林里26鄰賢忠街35號,66,6601300,竹林里,26鄰,賢忠街,,,,,,35號,120.569751387373,24.242885764936
臺中市沙鹿區竹林里26鄰賢忠街36號,66,6601300,竹林里,26鄰,賢忠街,,,,,,36號,120.569951211587,24.243034949094
臺中市沙鹿區竹林里26鄰賢忠街37號,66,6601300,竹林里,26鄰,賢忠街,,,,,,37號,120.569748705188,24.242926117525
臺中市沙鹿區竹林里26鄰賢忠街38號,66,6601300,竹林里,26鄰,賢忠街,,,,,,38號,120.569943164686,24.243075304584
臺中市沙鹿區竹林里26鄰賢忠街39號,66,6601300,竹林里,26鄰,賢忠街,,,,,,39號,120.569725906491,24.242964020521
臺中市沙鹿區竹林里26鄰賢忠街40號,66,6601300,竹林里,26鄰,賢忠街,,,,,,40號,120.569936459147,24.243114435904
臺中市沙鹿區竹林里26鄰賢忠街41號,66,6601300,竹林里,26鄰,賢忠街,,,,,,41號,120.569720541276,24.24300192766
臺中市沙鹿區竹林里26鄰賢忠街42號,66,6601300,竹林里,26鄰,賢忠街,,,,,,42號,120.569929754082,24.243157233047
臺中市沙鹿區竹林里26鄰賢忠街43號,66,6601300,竹林里,26鄰,賢忠街,,,,,,43號,120.569713836467,24.243042286932
臺中市沙鹿區竹林里26鄰賢忠街45號,66,6601300,竹林里,26鄰,賢忠街,,,,,,45號,120.569708471878,24.243082640964
臺中市沙鹿區竹林里26鄰賢忠街46號,66,6601300,竹林里,26鄰,賢忠街,,,,,,46號,120.569923048376,24.243197583297
臺中市沙鹿區竹林里26鄰賢忠街47號,66,6601300,竹林里,26鄰,賢忠街,,,,,,47號,120.569704447862,24.243120542865
臺中市沙鹿區竹林里26鄰賢忠街48號,66,6601300,竹林里,26鄰,賢忠街,,,,,,48號,120.569917684004,24.243236718405
臺中市沙鹿區竹林里26鄰賢忠街50號,66,6601300,竹林里,26鄰,賢忠街,,,,,,50號,120.569909636919,24.243278292823
臺中市沙鹿區竹林里26鄰賢忠街51號,66,6601300,竹林里,26鄰,賢忠街,,,,,,51號,120.569699084251,24.243160896899
臺中市沙鹿區竹林里26鄰賢忠街53號,66,6601300,竹林里,26鄰,賢忠街,,,,,,53號,120.569696401379,24.24319881162
臺中市沙鹿區竹林里26鄰賢忠街55號,66,6601300,竹林里,26鄰,賢忠街,,,,,,55號,120.56969640156,24.243239162762
臺中市沙鹿區竹林里26鄰賢忠街56號,66,6601300,竹林里,26鄰,賢忠街,,,,,,56號,120.569910484496,24.243397596993
臺中市沙鹿區竹林里26鄰賢忠街57號,66,6601300,竹林里,26鄰,賢忠街,,,,,,57號,120.56971316556,24.243398131718
