FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市龍井區南寮里8鄰遊園南路450巷86號,66,6602500,南寮里,8鄰,遊園南路,,450巷,,,,86號,120.579317808001,24.175125737682
臺中市龍井區南寮里8鄰遊園南路450巷122號,66,6602500,南寮里,8鄰,遊園南路,,450巷,,,,122號,120.577850640096,24.175761944382
臺中市龍井區南寮里8鄰遊園南路450巷168號,66,6602500,南寮里,8鄰,遊園南路,,450巷,,,,168號,120.577303469374,24.175588214629
臺中市龍井區南寮里8鄰遊園南路386巷11號,66,6602500,南寮里,8鄰,遊園南路,,386巷,,,,11號,120.581472443049,24.176981083035
臺中市龍井區南寮里8鄰遊園南路386號,66,6602500,南寮里,8鄰,遊園南路,,,,,,386號,120.58198155993,24.17686564156
臺中市龍井區南寮里8鄰遊園南路388號,66,6602500,南寮里,8鄰,遊園南路,,,,,,388號,120.581622692945,24.176389450132
臺中市龍井區南寮里8鄰遊園南路450巷58弄1號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,1號,120.579947615702,24.175201567456
臺中市龍井區南寮里8鄰遊園南路450巷58弄2號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,2號,120.580133384243,24.175186368213
臺中市龍井區南寮里8鄰遊園南路450巷58弄3號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,3號,120.579962652005,24.175238357753
臺中市龍井區南寮里8鄰遊園南路450巷58弄4號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,4號,120.580148818705,24.175221805207
臺中市龍井區南寮里8鄰遊園南路450巷58弄5號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,5號,120.579977200948,24.175273702033
臺中市龍井區南寮里8鄰遊園南路450巷58弄6號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,6號,120.58016298229,24.17525462023
臺中市龍井區南寮里8鄰遊園南路450巷58弄7號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,7號,120.579991750785,24.175308775437
臺中市龍井區南寮里8鄰遊園南路450巷58弄8號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,8號,120.580177732559,24.175288610664
臺中市龍井區南寮里8鄰遊園南路450巷58弄9號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,9號,120.580006300334,24.175343939132
臺中市龍井區南寮里8鄰遊園南路450巷58弄10號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,10號,120.580198386225,24.175323159101
臺中市龍井區南寮里8鄰遊園南路450巷58弄11號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,11號,120.580020066673,24.175377836578
臺中市龍井區南寮里8鄰遊園南路450巷58弄12號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,12號,120.580212159109,24.175355070123
臺中市龍井區南寮里8鄰遊園南路450巷58弄13號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,13號,120.580034997211,24.175416883879
臺中市龍井區南寮里8鄰遊園南路450巷58弄14號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,14號,120.58022632361,24.175387614266
臺中市龍井區南寮里8鄰遊園南路450巷58弄15號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,15號,120.580049253298,24.175451505008
臺中市龍井區南寮里8鄰遊園南路450巷58弄16號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,16號,120.580240280058,24.175423588935
臺中市龍井區南寮里8鄰遊園南路450巷58弄17號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,17號,120.58006165508,24.175481335549
臺中市龍井區南寮里8鄰遊園南路450巷58弄18號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,18號,120.580254835299,24.175457037072
臺中市龍井區南寮里8鄰遊園南路450巷58弄19號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,19號,120.580076204668,24.175516499237
臺中市龍井區南寮里8鄰遊園南路450巷58弄20號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,20號,120.580269292423,24.175490394645
臺中市龍井區南寮里8鄰遊園南路450巷58弄21號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,21號,120.580089770363,24.175551569921
臺中市龍井區南寮里8鄰遊園南路450巷58弄22號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,22號,120.580287659466,24.175531979558
臺中市龍井區南寮里8鄰遊園南路450巷58弄23號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,23號,120.580103536449,24.175585557652
臺中市龍井區南寮里8鄰遊園南路450巷58弄24號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,24號,120.580302800229,24.175566964268
臺中市龍井區南寮里8鄰遊園南路450巷58弄25號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,25號,120.580118379251,24.175621354187
臺中市龍井區南寮里8鄰遊園南路450巷58弄26號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,26號,120.580317257672,24.175600231545
臺中市龍井區南寮里8鄰遊園南路450巷58弄27號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,27號,120.58013136597,24.175652901882
臺中市龍井區南寮里8鄰遊園南路450巷58弄28號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,28號,120.580333293085,24.175632509951
臺中市龍井區南寮里8鄰遊園南路450巷58弄29號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,29號,120.580146891817,24.175690506137
臺中市龍井區南寮里8鄰遊園南路450巷30號,66,6602500,南寮里,8鄰,遊園南路,,450巷,,,,30號,120.580561336179,24.175059421387
臺中市龍井區南寮里8鄰遊園南路450巷58弄30號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,30號,120.58035068099,24.175672557196
臺中市龍井區南寮里8鄰遊園南路450巷58弄31號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,31號,120.580157393839,24.17572945094
臺中市龍井區南寮里8鄰遊園南路450巷32號,66,6602500,南寮里,8鄰,遊園南路,,450巷,,,,32號,120.580518076756,24.175075645268
臺中市龍井區南寮里8鄰遊園南路450巷58弄32號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,32號,120.580365919321,24.175707813043
臺中市龍井區南寮里8鄰遊園南路450巷58弄33號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,33號,120.580167230854,24.175761080252
臺中市龍井區南寮里8鄰遊園南路450巷58弄34號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,34號,120.580376539905,24.175740618296
臺中市龍井區南寮里8鄰遊園南路450巷58弄35號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,35號,120.580181682671,24.175796063075
臺中市龍井區南寮里8鄰遊園南路450巷58弄36號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,36號,120.580391582886,24.175775422143
臺中市龍井區南寮里8鄰遊園南路450巷58弄37號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,37號,120.580195353046,24.175829237904
臺中市龍井區南寮里8鄰遊園南路450巷58弄38號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,38號,120.580405649649,24.175807785416
臺中市龍井區南寮里8鄰遊園南路450巷58弄39號,66,6602500,南寮里,8鄰,遊園南路,,450巷,58弄,,,39號,120.580215807894,24.175864417834
