FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺中市大甲區日南里12鄰青三路4巷37號,66,6601100,日南里,12鄰,青三路,,4巷,,,,37號,120.64557062653,24.40396011963
臺中市大甲區日南里12鄰青三路4巷39號,66,6601100,日南里,12鄰,青三路,,4巷,,,,39號,120.64561695524,24.403937908405
臺中市大甲區日南里12鄰青三路4巷39號二樓,66,6601100,日南里,12鄰,青三路,,4巷,,,,39號二樓,120.64561695524,24.403937908405
臺中市大甲區日南里12鄰青三路4巷39號三樓,66,6601100,日南里,12鄰,青三路,,4巷,,,,39號三樓,120.64561695524,24.403937908405
臺中市大甲區日南里12鄰青三路4巷39號四樓,66,6601100,日南里,12鄰,青三路,,4巷,,,,39號四樓,120.64561695524,24.403937908405
臺中市大甲區日南里12鄰青三路4巷39號五樓,66,6601100,日南里,12鄰,青三路,,4巷,,,,39號五樓,120.64561695524,24.403937908405
臺中市大甲區日南里8鄰青三路10巷8號,66,6601100,日南里,8鄰,青三路,,10巷,,,,8號,120.646064579118,24.406203045279
臺中市大甲區日南里8鄰青三路10巷10號,66,6601100,日南里,8鄰,青三路,,10巷,,,,10號,120.646146387108,24.406163960402
臺中市大甲區日南里17鄰青三路1巷1號,66,6601100,日南里,17鄰,青三路,,1巷,,,,1號,120.644326009494,24.403457483277
臺中市大甲區日南里17鄰青三路1巷3號,66,6601100,日南里,17鄰,青三路,,1巷,,,,3號,120.644367672689,24.403437717359
臺中市大甲區日南里17鄰青三路1巷9號,66,6601100,日南里,17鄰,青三路,,1巷,,,,9號,120.644516862715,24.403362585332
臺中市大甲區日南里17鄰青三路1巷11號,66,6601100,日南里,17鄰,青三路,,1巷,,,,11號,120.644572254453,24.403334364338
臺中市大甲區日南里17鄰青三路1巷13號,66,6601100,日南里,17鄰,青三路,,1巷,,,,13號,120.644684162369,24.40328401949
臺中市大甲區日南里17鄰青三路1巷17號,66,6601100,日南里,17鄰,青三路,,1巷,,,,17號,120.64475697535,24.403227939736
臺中市大甲區日南里17鄰青三路1巷19號,66,6601100,日南里,17鄰,青三路,,1巷,,,,19號,120.644800667117,24.403205839949
臺中市大甲區日南里17鄰青三路1巷23號,66,6601100,日南里,17鄰,青三路,,1巷,,,,23號,120.644860743975,24.403178785546
臺中市大甲區日南里17鄰青三路1巷25號,66,6601100,日南里,17鄰,青三路,,1巷,,,,25號,120.644901633423,24.403147162606
臺中市大甲區日南里17鄰青三路1巷27號,66,6601100,日南里,17鄰,青三路,,1巷,,,,27號,120.644978211274,24.40312110392
臺中市大甲區日南里17鄰青三路1巷29號,66,6601100,日南里,17鄰,青三路,,1巷,,,,29號,120.64499661569,24.403099802544
臺中市大甲區日南里17鄰青三路1巷33號,66,6601100,日南里,17鄰,青三路,,1巷,,,,33號,120.645087163093,24.403051709708
